Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median
15perc_5repeat	0.3	0.6477	0.0126	0.0009	0.0375	0.0007	0.0014	0.6483
15perc_10repeat	0.3	0.6493	0.0122	0.0009	0.029	0.0003	0.0006	0.6483
5perc_2repeat	0.25	0.6477	0.0109	0.0008	0.0421	0.0007	0.0014	0.6471
5perc_5repeat	0.25	0.6463	0.0161	0.0011	0.0491	0.0073	0.0127	0.6471
5perc_10repeat	0.25	0.6481	0.011	0.0008	0.0458	0.0007	0.0013	0.6471
15perc_2repeat	0.25	0.6482	0.0125	0.0009	0.0252	0.0017	0.0033	0.6471
15perc_5repeat	0.25	0.6469	0.0125	0.0009	0.0287	0.0003	0.0005	0.6471
15perc_10repeat	0.25	0.6487	0.0134	0.0009	0.0385	0.002	0.0038	0.6495
5perc_2repeat	0.2	0.6475	0.0109	0.0008	0.0432	0.0055	0.0097	0.6468
5perc_5repeat	0.2	0.6445	0.0291	0.0021	0.0597	0.0157	0.0249	0.6468
5perc_10repeat	0.2	0.6472	0.0161	0.0011	0.0556	0.005	0.0092	0.6491
15perc_2repeat	0.2	0.6455	0.027	0.0019	0.0437	0.0141	0.0213	0.6468
15perc_5repeat	0.2	0.6462	0.0184	0.0013	0.0693	0.0173	0.0277	0.6491
15perc_10repeat	0.2	0.6447	0.0279	0.002	0.0295	0.012	0.017	0.6468
15perc_2repeat	0.1	0.6249	0.0736	0.0052	0.0628	0.0783	0.0697	0.6449
15perc_5repeat	0.1	0.628	0.0713	0.005	0.074	0.0668	0.0702	0.6467
15perc_10repeat	0.1	0.6284	0.0715	0.0051	0.0579	0.0685	0.0628	0.6469
5perc_2repeat	0.1	0.6269	0.0691	0.0049	0.0778	0.074	0.0758	0.6469
5perc_5repeat	0.1	0.6281	0.0674	0.0048	0.0496	0.0664	0.0568	0.6458
5perc_10repeat	0.1	0.62	0.0826	0.0058	0.0757	0.0954	0.0844	0.6449
5perc_2repeat	0.05	0.5954	0.1049	0.0074	0.1104	0.184	0.138	0.6441
5perc_5repeat	0.05	0.6066	0.0953	0.0067	0.0973	0.1394	0.1146	0.645
5perc_10repeat	0.05	0.6047	0.0958	0.0068	0.0814	0.1423	0.1036	0.6441
