Label	trainingSize	Accuracy_Mean	Accuracy_SD
0.3perc_10flips	0.02	0.7227	0.205
0.3perc_10flips	2.0	0.677	0.2133
0.05perc_2flips	0.03	0.7173	0.2067
0.05perc_2flips	3.0	0.7864	0.2044
0.05perc_5flips	0.03	0.7088	0.2098
0.05perc_5flips	3.0	0.7183	0.2155
0.05perc_10flips	0.03	0.6769	0.2196
0.05perc_10flips	3.0	0.8104	0.195
0.15perc_2flips	0.03	0.6939	0.2129
0.15perc_2flips	3.0	0.7115	0.2134
0.15perc_5flips	0.03	0.7302	0.2086
0.15perc_5flips	3.0	0.7236	0.2186
0.15perc_10flips	0.03	0.7154	0.2202
0.15perc_10flips	3.0	0.6898	0.2171
0.3perc_2flips	0.03	0.7322	0.2239
0.3perc_2flips	3.0	0.6921	0.2126
0.3perc_5flips	0.03	0.7481	0.2262
0.3perc_5flips	3.0	0.6572	0.2142
0.3perc_10flips	0.03	0.6658	0.2156
0.3perc_10flips	3.0	0.7481	0.2144
0.05perc_2flips	0.04	0.808	0.1985
0.05perc_2flips	4.0	0.7688	0.2046
0.05perc_5flips	0.04	0.8098	0.1999
0.05perc_5flips	4.0	0.7558	0.2139
0.05perc_10flips	0.04	0.764	0.2146
0.05perc_10flips	4.0	0.7524	0.2178
0.15perc_2flips	0.04	0.841	0.1902
0.15perc_2flips	4.0	0.7894	0.2117
0.15perc_5flips	0.04	0.8181	0.1911
0.15perc_5flips	4.0	0.7536	0.2065
0.15perc_10flips	0.04	0.8198	0.2032
0.15perc_10flips	4.0	0.7571	0.2059
0.3perc_2flips	0.04	0.8311	0.1855
0.3perc_2flips	4.0	0.7085	0.2159
0.3perc_5flips	0.04	0.7436	0.2175
0.3perc_5flips	4.0	0.8085	0.1995
0.3perc_10flips	0.04	0.8145	0.194
0.3perc_10flips	4.0	0.7797	0.2152

