Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
90perc_5repeat	0.05	0.5656	0.3391	0.0594	0.0084	0.3225	0.9621	0.4831	0.3272	0.4134	0.0142	0.002	0.5078	0.007	0.0	0.6143	0.0065	0.0
15perc_10repeat	0.05	0.3054	0.6735	0.0014	0.0002	0.0053	0.0	0.0	0.6735	0.6243	0.0206	0.0029	0.6188	0.0072	0.0	0.4694	0.0073	0.0
100perc_5repeat	0.05	0.6067	0.3275	0.0013	0.0002	0.3273	0.9997	0.4931	0.3275	0.3793	0.0165	0.0023	0.5483	0.0102	0.0	0.6647	0.0077	0.0
50perc_10repeat	0.05	0.2819	0.5839	0.1296	0.0183	0.2623	0.2669	0.2646	0.6655	0.5153	0.0085	0.0012	0.5159	0.0031	0.0	0.4966	0.0039	0.0
100perc_10repeat	0.1	0.6161	0.3271	0.0019	0.0003	0.3271	1.0	0.4929	0.3268	0.3563	0.014	0.002	0.5157	0.0048	0.0	0.6654	0.0048	0.0
70perc_2repeat	0.1	0.3131	0.5829	0.1368	0.0193	0.2938	0.274	0.2835	0.6666	0.5114	0.0097	0.0014	0.551	0.0034	0.0	0.5412	0.0036	0.0
70perc_2repeat	0.05	0.3648	0.5284	0.163	0.0231	0.2746	0.4212	0.3325	0.6616	0.5092	0.0122	0.0017	0.5588	0.0061	0.0	0.5539	0.0067	0.0
90perc_10repeat	0.05	0.5604	0.3475	0.0797	0.0113	0.3175	0.9354	0.4741	0.3269	0.3945	0.0184	0.0026	0.5072	0.0082	0.0	0.6143	0.0068	0.0
15perc_5repeat	0.1	0.3101	0.6731	0.002	0.0003	0.0	0.0	0.0	0.6736	0.6305	0.0135	0.0019	0.6234	0.0036	0.0	0.4777	0.0054	0.0
40perc_2repeat	0.05	0.3228	0.6247	0.1115	0.0158	0.0737	0.152	0.0993	0.6727	0.5802	0.0192	0.0027	0.5797	0.0054	0.0	0.4911	0.0087	0.0
