Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
80perc_5repeat	0.05	0.3896	0.4864	0.0203	0.0014	0.4766	0.8049	0.5986	0.4771	0.489	0.0352	0.0025	0.5249	0.0093	0.0	0.5503	0.0097	0.0
40perc_10repeat	0.2	0.2864	0.4948	0.0317	0.0022	0.4844	0.7895	0.6004	0.4849	0.5062	0.0174	0.0012	0.5225	0.002	0.0	0.5035	0.002	0.0
60perc_2repeat	0.2	0.3128	0.4978	0.0332	0.0023	0.486	0.8327	0.6138	0.4879	0.507	0.0216	0.0015	0.5505	0.0029	0.0	0.5316	0.0032	0.0
05_perc_5repeat	0.05	0.4306	0.4947	0.0252	0.0018	0.4197	0.5914	0.491	0.4809	0.5268	0.0836	0.0059	0.5766	0.0194	0.0	0.4709	0.0196	0.0
15perc_2repeat	0.1	0.3868	0.4938	0.0284	0.002	0.4779	0.7278	0.577	0.4796	0.5179	0.0508	0.0036	0.5852	0.0089	0.0	0.5436	0.0093	0.0
70perc_5repeat	0.05	0.3697	0.4879	0.0212	0.0015	0.4774	0.7815	0.5927	0.4779	0.5001	0.0328	0.0023	0.5216	0.0083	0.0	0.5263	0.0088	0.0
30perc_10repeat	0.05	0.3673	0.4978	0.0264	0.0019	0.4797	0.5959	0.5315	0.492	0.5142	0.0445	0.0031	0.5389	0.0098	0.0	0.4746	0.0095	0.0
40perc_2repeat	0.1	0.354	0.4952	0.0273	0.0019	0.4858	0.6935	0.5714	0.4853	0.5119	0.0408	0.0029	0.5484	0.0068	0.0	0.5133	0.0067	0.0
50perc_2repeat	0.1	0.3439	0.4943	0.0258	0.0018	0.4822	0.6821	0.565	0.488	0.5104	0.0361	0.0026	0.5357	0.0059	0.0	0.5049	0.0064	0.0
80perc_10repeat	0.05	0.3944	0.4874	0.0215	0.0015	0.4781	0.7854	0.5944	0.4771	0.487	0.0416	0.0029	0.5014	0.0095	0.0	0.543	0.0098	0.0
40perc_5repeat	0.1	0.3337	0.4935	0.0265	0.0019	0.482	0.7116	0.5747	0.4803	0.5103	0.0306	0.0022	0.5291	0.0051	0.0	0.5102	0.0047	0.0
50perc_5repeat	0.1	0.3221	0.4895	0.0244	0.0017	0.479	0.7692	0.5904	0.4778	0.5038	0.0238	0.0017	0.5158	0.0041	0.0	0.5095	0.0043	0.0
90perc_2repeat	0.1	0.3911	0.481	0.0152	0.0011	0.4742	0.9045	0.6222	0.4767	0.4925	0.0227	0.0016	0.5733	0.0068	0.0	0.5866	0.0069	0.0
90perc_5repeat	0.1	0.3936	0.486	0.0211	0.0015	0.4778	0.8789	0.6191	0.4785	0.4883	0.0304	0.0021	0.5593	0.0066	0.0	0.5849	0.0069	0.0
05_perc_5repeat	0.1	0.3979	0.4944	0.0286	0.002	0.4689	0.7087	0.5644	0.4819	0.5224	0.0558	0.0039	0.6055	0.0092	0.0	0.555	0.0103	0.0
50perc_5repeat	0.2	0.2941	0.4895	0.0307	0.0022	0.4807	0.8601	0.6167	0.4771	0.5024	0.017	0.0012	0.5193	0.0021	0.0	0.5127	0.0022	0.0
60perc_10repeat	0.1	0.3191	0.4863	0.021	0.0015	0.4767	0.8369	0.6074	0.4787	0.4982	0.02	0.0014	0.5087	0.0033	0.0	0.5162	0.0035	0.0
30perc_10repeat	0.1	0.3384	0.493	0.0262	0.0019	0.4811	0.7276	0.5792	0.4833	0.5114	0.0323	0.0023	0.5381	0.0052	0.0	0.5121	0.0052	0.0
70perc_10repeat	0.1	0.3349	0.486	0.0212	0.0015	0.4773	0.8596	0.6138	0.4784	0.4934	0.0238	0.0017	0.511	0.0039	0.0	0.5284	0.0041	0.0
15perc_10repeat	0.1	0.378	0.4943	0.0284	0.002	0.4886	0.689	0.5717	0.4807	0.5184	0.0452	0.0032	0.5732	0.0072	0.0	0.5325	0.0078	0.0
100perc_10repeat	0.1	0.4194	0.4858	0.0216	0.0015	0.4771	0.8753	0.6176	0.4773	0.4796	0.0485	0.0034	0.5869	0.0099	0.0	0.6257	0.0094	0.0
40perc_2repeat	0.05	0.3924	0.4931	0.0242	0.0017	0.479	0.6455	0.5499	0.4832	0.5109	0.0548	0.0039	0.5065	0.0122	0.0	0.4802	0.0117	0.0
100perc_2repeat	0.05	0.4295	0.4811	0.0139	0.001	0.4725	0.8563	0.609	0.4757	0.4902	0.029	0.0021	0.5898	0.0144	0.0	0.6106	0.015	0.0
50perc_2repeat	0.05	0.3855	0.4926	0.023	0.0016	0.4712	0.6664	0.5521	0.4843	0.5106	0.0534	0.0038	0.5385	0.01	0.0	0.4904	0.0112	0.0
80perc_10repeat	0.1	0.3633	0.4884	0.0243	0.0017	0.4795	0.8583	0.6153	0.4779	0.4891	0.0299	0.0021	0.5261	0.0052	0.0	0.5536	0.0051	0.0
30perc_2repeat	0.05	0.3926	0.4981	0.0252	0.0018	0.4699	0.558	0.5101	0.4964	0.5193	0.065	0.0046	0.5351	0.0122	0.0	0.4635	0.0126	0.0
05_perc_2repeat	0.05	0.4287	0.494	0.0247	0.0017	0.4173	0.6052	0.494	0.4829	0.5287	0.0844	0.006	0.5788	0.0181	0.0	0.4805	0.0184	0.0
15perc_5repeat	0.05	0.4124	0.4975	0.0256	0.0018	0.4366	0.5626	0.4917	0.4938	0.5206	0.0702	0.005	0.5641	0.0159	0.0	0.4722	0.0153	0.0
30perc_5repeat	0.05	0.3881	0.4949	0.0246	0.0017	0.4688	0.6059	0.5286	0.4876	0.5152	0.0504	0.0036	0.5179	0.0114	0.0	0.4685	0.0119	0.0
100perc_5repeat	0.05	0.444	0.4845	0.0194	0.0014	0.4756	0.8121	0.5999	0.477	0.4803	0.058	0.0041	0.5633	0.0169	0.0	0.6122	0.0177	0.0
60perc_5repeat	0.05	0.355	0.4905	0.0213	0.0015	0.4768	0.7157	0.5723	0.4817	0.496	0.0323	0.0023	0.4998	0.008	0.0	0.501	0.0081	0.0
50perc_10repeat	0.05	0.3353	0.4925	0.0234	0.0017	0.4793	0.6896	0.5655	0.4825	0.5012	0.0289	0.002	0.496	0.007	0.0	0.4835	0.0062	0.0
