15perc_2repeat	0.1	0.3518	0.5018	0.0289	0.002	0.3518	0.4119	0.3795	0.5161	0.5258	0.0541	0.0038	0.5805	0.0084	0.0	0.5301	0.0083	0.0
30perc_5repeat	0.1	0.3143	0.5045	0.0289	0.002	0.3143	0.3714	0.3405	0.519	0.5109	0.039	0.0028	0.549	0.0057	0.0	0.4999	0.0061	0.0
5perc_5repeat	0.1	0.3497	0.5025	0.0284	0.002	0.3497	0.4019	0.3739	0.5179	0.5242	0.055	0.0039	0.6094	0.0094	0.0	0.5631	0.0094	0.0
15perc_5repeat	0.1	0.354	0.5061	0.0298	0.0021	0.354	0.36	0.357	0.5215	0.5167	0.0501	0.0035	0.5849	0.0073	0.0	0.5307	0.0075	0.0
100perc_2repeat	0.05	0.4929	0.4981	0.0257	0.0018	0.4929	0.5617	0.5251	0.4889	0.4953	0.0279	0.002	0.611	0.015	0.0	0.6241	0.0149	0.0
90perc_2repeat	0.05	0.4422	0.4984	0.0261	0.0018	0.4422	0.5454	0.4884	0.4872	0.4947	0.0327	0.0023	0.5971	0.012	0.0	0.6049	0.0118	0.0
30perc_2repeat	0.05	0.3128	0.4989	0.0279	0.002	0.3128	0.4428	0.3666	0.5092	0.5185	0.065	0.0046	0.511	0.013	0.0	0.4833	0.0124	0.0
80perc_2repeat	0.05	0.4155	0.499	0.0267	0.0019	0.4155	0.4858	0.4479	0.4959	0.5004	0.0329	0.0023	0.544	0.011	0.0	0.5448	0.0106	0.0
70perc_2repeat	0.05	0.4017	0.5024	0.0267	0.0019	0.4017	0.4409	0.4204	0.5162	0.4994	0.0436	0.0031	0.5508	0.0108	0.0	0.5274	0.0112	0.0
100perc_5repeat	0.05	0.4372	0.4958	0.027	0.0019	0.4372	0.6018	0.5065	0.4802	0.4877	0.0583	0.0041	0.5446	0.0165	0.0	0.5848	0.0164	0.0
70perc_5repeat	0.05	0.4275	0.4976	0.0273	0.0019	0.4275	0.5451	0.4792	0.4806	0.4958	0.0328	0.0023	0.5074	0.0078	0.0	0.5213	0.0075	0.0
15perc_2repeat	0.05	0.3226	0.5036	0.0273	0.0019	0.3226	0.3793	0.3486	0.5195	0.5228	0.088	0.0062	0.5701	0.015	0.0	0.5128	0.0162	0.0
30perc_10repeat	0.1	0.3357	0.5043	0.0284	0.002	0.3357	0.3596	0.3472	0.5179	0.5155	0.0316	0.0022	0.5334	0.0046	0.0	0.4957	0.0051	0.0
80perc_5repeat	0.05	0.4282	0.4948	0.0273	0.0019	0.4282	0.5877	0.4954	0.4788	0.4942	0.0378	0.0027	0.525	0.0091	0.0	0.5508	0.0096	0.0
40perc_10repeat	0.1	0.3523	0.4971	0.0298	0.0021	0.3523	0.4795	0.4062	0.501	0.5076	0.0273	0.0019	0.5165	0.0044	0.0	0.5013	0.0041	0.0
15perc_10repeat	0.1	0.2943	0.509	0.0264	0.0019	0.2943	0.2886	0.2914	0.5215	0.5249	0.0461	0.0033	0.5912	0.0068	0.0	0.517	0.0081	0.0
90perc_5repeat	0.05	0.4025	0.4955	0.027	0.0019	0.4025	0.5799	0.4752	0.4792	0.4883	0.0449	0.0032	0.5351	0.0117	0.0	0.5551	0.012	0.0
