Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
15perc_10repeat	0.1	0.178	0.8213	0.0056	0.0004	0.0	0.0	0.0	0.8204	0.8281	0.0497	0.0035	0.862	0.0051	0.0	0.288	0.0154	0.0
5perc_5repeat	0.05	0.1808	0.8151	0.0587	0.0042	0.0043	0.0103	0.0061	0.8221	0.8189	0.074	0.0052	0.8281	0.0114	0.0	0.3397	0.0191	0.0
50perc_5repeat	0.1	0.1776	0.8216	0.005	0.0004	0.0	0.0	0.0	0.8214	0.8259	0.0448	0.0032	0.8526	0.0056	0.0	0.2768	0.0146	0.0
40perc_10repeat	0.05	0.1917	0.8032	0.1065	0.0075	0.0054	0.0277	0.009	0.8221	0.8207	0.0704	0.005	0.8308	0.0125	0.0	0.3584	0.0198	0.0
5perc_2repeat	0.1	0.1774	0.8218	0.0052	0.0004	0.0	0.0	0.0	0.8224	0.8238	0.046	0.0033	0.8494	0.0049	0.0	0.2881	0.0135	0.0
50perc_5repeat	0.05	0.1792	0.8158	0.0485	0.0034	0.0052	0.0088	0.0066	0.8221	0.8229	0.0702	0.005	0.829	0.0107	0.0	0.356	0.0164	0.0
60perc_2repeat	0.1	0.1769	0.8223	0.0055	0.0004	0.0	0.0	0.0	0.8224	0.8196	0.0489	0.0035	0.8494	0.0052	0.0	0.3009	0.0148	0.0
40perc_5repeat	0.05	0.1825	0.8112	0.0659	0.0047	0.0132	0.0167	0.0147	0.8221	0.8204	0.0699	0.0049	0.8321	0.0108	0.0	0.3516	0.0176	0.0
50perc_10repeat	0.1	0.177	0.8222	0.0056	0.0004	0.0	0.0	0.0	0.8224	0.8205	0.0498	0.0035	0.8553	0.0056	0.0	0.294	0.016	0.0
50perc_10repeat	0.05	0.1865	0.8067	0.0853	0.006	0.017	0.0222	0.0193	0.8201	0.8229	0.0762	0.0054	0.8228	0.0124	0.0	0.3193	0.0177	0.0
60perc_5repeat	0.1	0.176	0.823	0.0063	0.0004	0.0	0.0	0.0	0.8224	0.8131	0.0567	0.004	0.8462	0.0056	0.0	0.3036	0.0147	0.0
50perc_2repeat	0.1	0.1775	0.8217	0.0051	0.0004	0.0	0.0	0.0	0.8224	0.8251	0.0459	0.0032	0.8523	0.0055	0.0	0.2877	0.0144	0.0
40perc_10repeat	0.1	0.1772	0.822	0.0054	0.0004	0.0	0.0	0.0	0.8224	0.822	0.0479	0.0034	0.8598	0.0055	0.0	0.3001	0.0151	0.0
70perc_2repeat	0.1	0.1766	0.8225	0.0056	0.0004	0.0	0.0	0.0	0.8214	0.8176	0.0502	0.0035	0.8524	0.0054	0.0	0.3241	0.0145	0.0
60perc_10repeat	0.1	0.1774	0.8218	0.0056	0.0004	0.0	0.0	0.0	0.8224	0.8244	0.0496	0.0035	0.8578	0.0058	0.0	0.2884	0.0153	0.0
15perc_2repeat	0.2	0.1781	0.8214	0.0079	0.0006	0.0	0.0	0.0	0.8211	0.8244	0.0315	0.0022	0.8666	0.0029	0.0	0.2709	0.0086	0.0
5perc_2repeat	0.2	0.177	0.8224	0.0082	0.0006	0.0	0.0	0.0	0.8211	0.8207	0.0326	0.0023	0.8579	0.003	0.0	0.2665	0.0091	0.0
30perc_2repeat	0.2	0.1782	0.8212	0.008	0.0006	0.0	0.0	0.0	0.8211	0.8253	0.0318	0.0023	0.865	0.0027	0.0	0.2722	0.0091	0.0
5perc_5repeat	0.2	0.178	0.8214	0.0075	0.0005	0.0	0.0	0.0	0.8211	0.8245	0.0302	0.0021	0.8617	0.0026	0.0	0.2695	0.0089	0.0
15perc_5repeat	0.2	0.1775	0.8219	0.0088	0.0006	0.0	0.0	0.0	0.8211	0.8226	0.0351	0.0025	0.8623	0.003	0.0	0.2683	0.0095	0.0
70perc_5repeat	0.1	0.1768	0.8221	0.0057	0.0004	0.0006	0.0002	0.0003	0.8224	0.8186	0.0468	0.0033	0.8494	0.0064	0.0	0.3148	0.0153	0.0
90perc_2repeat	0.1	0.1769	0.8221	0.0056	0.0004	0.0	0.0	0.0	0.8204	0.8215	0.0499	0.0035	0.8397	0.0056	0.0	0.3165	0.0118	0.0
100perc_2repeat	0.1	0.1768	0.8223	0.0053	0.0004	0.0	0.0	0.0	0.8224	0.8197	0.0469	0.0033	0.8442	0.0052	0.0	0.3332	0.0117	0.0
5perc_10repeat	0.2	0.1773	0.8221	0.0083	0.0006	0.0	0.0	0.0	0.8234	0.8215	0.0332	0.0024	0.8627	0.003	0.0	0.2638	0.0093	0.0
70perc_10repeat	0.1	0.1765	0.8225	0.0057	0.0004	0.0	0.0	0.0	0.8224	0.8177	0.0504	0.0036	0.8471	0.0061	0.0	0.2916	0.0154	0.0
90perc_5repeat	0.1	0.177	0.8219	0.0056	0.0004	0.0	0.0	0.0	0.8224	0.8226	0.0501	0.0035	0.8439	0.0063	0.0	0.3102	0.0124	0.0
80perc_5repeat	0.1	0.177	0.822	0.0056	0.0004	0.0	0.0	0.0	0.8224	0.822	0.0503	0.0036	0.851	0.0059	0.0	0.2946	0.0138	0.0
100perc_5repeat	0.1	0.1767	0.8224	0.0052	0.0004	0.0	0.0	0.0	0.8224	0.8184	0.0461	0.0033	0.841	0.0051	0.0	0.3205	0.012	0.0
15perc_10repeat	0.2	0.178	0.8214	0.0073	0.0005	0.0	0.0	0.0	0.8211	0.8245	0.0293	0.0021	0.8629	0.0028	0.0	0.2727	0.0087	0.0
80perc_10repeat	0.1	0.1777	0.8214	0.0055	0.0004	0.0	0.0	0.0	0.8204	0.827	0.0493	0.0035	0.857	0.0057	0.0	0.2811	0.015	0.0
90perc_10repeat	0.1	0.1772	0.822	0.0052	0.0004	0.0	0.0	0.0	0.8224	0.8224	0.0459	0.0032	0.8582	0.0055	0.0	0.3164	0.0147	0.0
100perc_10repeat	0.1	0.1771	0.822	0.0057	0.0004	0.0	0.0	0.0	0.8224	0.8221	0.0507	0.0036	0.8437	0.0052	0.0	0.3493	0.0125	0.0
30perc_10repeat	0.2	0.1775	0.8219	0.0086	0.0006	0.0	0.0	0.0	0.8211	0.8225	0.0343	0.0024	0.857	0.0031	0.0	0.2705	0.0087	0.0
