90perc_5repeat	0.05	0.222	0.6511	0.07	0.0221	0.5094	0.3304	0.4008	0.6682	0.0073	0.0023	0.6242	0.1144	0.0362	0.6683	0.0224	0.0071	0.0	0.0	0.0	0.1691	0.2922
100perc_2repeat	0.05	0.2002	0.6761	0.01	0.0032	0.5234	0.3195	0.3968	0.6685	0.0058	0.0018	0.6532	0.0758	0.024	0.6661	0.0186	0.0059	0.0	0.0	0.0	0.1288	0.2603
70perc_10repeat	0.05	0.2082	0.6655	0.0179	0.0056	0.498	0.4366	0.4653	0.6648	0.0086	0.0027	0.589	0.1168	0.0369	0.6645	0.0251	0.0079	0.0	0.0	0.0	0.176	0.3196
5perc_5repeat	0.05	0.2034	0.6743	0.0222	0.007	0.5181	0.4162	0.4616	0.6625	0.0093	0.0029	0.6368	0.1171	0.037	0.657	0.0236	0.0075	0.0	0.0	0.0	0.1304	0.2883
40perc_2repeat	0.05	0.2071	0.6591	0.0413	0.0131	0.4948	0.4191	0.4538	0.6618	0.0075	0.0024	0.6299	0.1237	0.0391	0.6539	0.0276	0.0087	0.0	0.0	0.0	0.1261	0.282
90perc_10repeat	0.05	0.2274	0.6484	0.0778	0.0246	0.5128	0.362	0.4244	0.6684	0.0075	0.0024	0.6145	0.1316	0.0416	0.661	0.0265	0.0084	0.0	0.0	0.0	0.1398	0.3043
70perc_5repeat	0.05	0.2175	0.6549	0.0875	0.0277	0.5161	0.4086	0.4561	0.664	0.0076	0.0024	0.649	0.1117	0.0353	0.6568	0.0172	0.0054	0.0	0.0	0.0	0.1498	0.2683
15perc_2repeat	0.05	0.2072	0.6621	0.044	0.0139	0.5108	0.3873	0.4406	0.6637	0.0087	0.0028	0.6211	0.1091	0.0345	0.6752	0.0263	0.0083	0.0	0.0	0.0	0.127	0.296
40perc_5repeat	0.05	0.2076	0.665	0.0233	0.0074	0.511	0.3306	0.4014	0.6636	0.0082	0.0026	0.6211	0.1061	0.0336	0.6726	0.0281	0.0089	0.0	0.0	0.0	0.1607	0.2995
15perc_10repeat	0.05	0.2047	0.6637	0.0426	0.0135	0.5195	0.3411	0.4118	0.6631	0.0079	0.0025	0.64	0.0708	0.0224	0.6643	0.0219	0.0069	0.0	0.0	0.0	0.1163	0.2758
50perc_5repeat	0.05	0.2031	0.6674	0.013	0.0041	0.5023	0.349	0.4119	0.6653	0.0075	0.0024	0.577	0.1254	0.0396	0.6645	0.0261	0.0083	0.0	0.0	0.0	0.1368	0.3373
70perc_2repeat	0.05	0.209	0.6597	0.0621	0.0196	0.5035	0.417	0.4562	0.6613	0.0081	0.0026	0.6404	0.1283	0.0406	0.6687	0.0238	0.0075	0.0	0.0	0.0	0.1101	0.2852
60perc_2repeat	0.05	0.2091	0.6537	0.0647	0.0205	0.5089	0.3385	0.4066	0.6709	0.0046	0.0014	0.5944	0.1241	0.0392	0.6759	0.0227	0.0072	0.0	0.0	0.0	0.1416	0.3222
5perc_10repeat	0.05	0.2069	0.6678	0.0189	0.006	0.5067	0.3843	0.4371	0.6673	0.0067	0.0021	0.6096	0.1362	0.0431	0.6541	0.0224	0.0071	0.0	0.0	0.0	0.113	0.3131
