0perc_0repeat	0.9	0.6511	0.0618	0.0044	0.0371	0.003	0.0055	0.6481
0perc_0repeat	0.8	0.6501	0.0419	0.003	0.1208	0.0047	0.0091	0.6481
0perc_0repeat	0.7	0.6439	0.0328	0.0023	0.0637	0.0014	0.0028	0.6442
0perc_0repeat	0.6	0.6491	0.0245	0.0017	0.1105	0.0023	0.0046	0.6514
0perc_0repeat	0.5	0.6469	0.0202	0.0014	0.0612	0.0011	0.0021	0.6471
0perc_0repeat	0.45	0.6483	0.0173	0.0012	0.0712	0.0012	0.0023	0.6488
0perc_0repeat	0.4	0.6496	0.0177	0.0012	0.0632	0.0016	0.0032	0.6483
0perc_0repeat	0.35	0.6491	0.0159	0.0011	0.0774	0.0017	0.0034	0.6497
0perc_0repeat	0.1	0.6187	0.0844	0.006	0.0932	0.1001	0.0965	0.6449
0perc_0repeat	0.3	0.6456	0.0148	0.001	0.0411	0.0009	0.0018	0.6457
0perc_0repeat	0.25	0.6475	0.0118	0.0008	0.0659	0.0011	0.0021	0.6471
0perc_0repeat	0.2	0.6448	0.0231	0.0016	0.049	0.0062	0.0111	0.6468
0perc_0repeat	0.05	0.5905	0.1099	0.0078	0.1079	0.193	0.1384	0.6441
