Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
Median_0perc_0repeat	0.4	0.5422	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5609	0.0531	0.0053	0.6513	0.2335	0.3438
Median_0perc_0repeat	0.4	0.5519	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5578	0.0545	0.0055	0.6448	0.3138	0.4221
Median_0perc_0repeat	0.4	0.556	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.553	0.0512	0.0051	0.6502	0.2074	0.3145
Median_0perc_0repeat	0.4	0.5443	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5525	0.0532	0.0053	0.6512	0.2117	0.3196
Median_0perc_0repeat	0.4	0.5404	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5536	0.0507	0.0051	0.6235	0.2217	0.3271
Median_0perc_0repeat	0.4	0.5463	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5543	0.057	0.0057	0.6554	0.2148	0.3236
Median_0perc_0repeat	0.4	0.5431	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5445	0.0518	0.0052	0.6102	0.2392	0.3437
Median_0perc_0repeat	0.4	0.5345	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5589	0.0558	0.0056	0.6617	0.2464	0.3591
Median_0perc_0repeat	0.4	0.5453	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5423	0.0483	0.0048	0.6226	0.2384	0.3448
Median_0perc_0repeat	0.4	0.5309	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5567	0.0543	0.0054	0.6768	0.2403	0.3547
Median_0perc_0repeat	0.4	0.5432	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5561	0.0533	0.0053	0.6716	0.2102	0.3202
Median_0perc_0repeat	0.4	0.5392	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5546	0.0519	0.0052	0.6298	0.2186	0.3246
Median_0perc_0repeat	0.4	0.5442	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5571	0.0511	0.0051	0.689	0.1842	0.2907
Median_0perc_0repeat	0.4	0.5434	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.551	0.0507	0.0051	0.6705	0.2178	0.3288
Median_0perc_0repeat	0.4	0.5372	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5515	0.0492	0.0049	0.6442	0.2061	0.3123
Median_0perc_0repeat	0.4	0.544	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5532	0.0526	0.0053	0.6468	0.2206	0.329
Median_0perc_0repeat	0.4	0.5396	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5526	0.05	0.005	0.6154	0.2119	0.3152
Median_0perc_0repeat	0.4	0.5358	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5426	0.0482	0.0048	0.638	0.1837	0.2852
Median_0perc_0repeat	0.4	0.5329	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5585	0.048	0.0048	0.6844	0.204	0.3143
Median_0perc_0repeat	0.4	0.5427	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5499	0.0538	0.0054	0.6526	0.2398	0.3507
Median_0perc_0repeat	0.4	0.5378	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5455	0.0572	0.0057	0.6245	0.2634	0.3705
Median_0perc_0repeat	0.4	0.532	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5466	0.05	0.005	0.6473	0.2116	0.319
Median_0perc_0repeat	0.4	0.5396	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5507	0.0569	0.0057	0.629	0.2566	0.3645
Median_0perc_0repeat	0.4	0.5351	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5637	0.0524	0.0052	0.6775	0.2028	0.3121
Median_0perc_0repeat	0.4	0.5478	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5446	0.0477	0.0048	0.6297	0.2017	0.3055
Median_0perc_0repeat	0.4	0.537	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5479	0.0562	0.0056	0.6182	0.2914	0.3961
Median_0perc_0repeat	0.4	0.5368	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.559	0.0591	0.0059	0.6562	0.2828	0.3952
Median_0perc_0repeat	0.4	0.5435	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5612	0.0493	0.0049	0.6784	0.2161	0.3278
Median_0perc_0repeat	0.4	0.5474	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5593	0.0502	0.005	0.6694	0.2397	0.353
Median_0perc_0repeat	0.4	0.5466	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.56	0.0553	0.0055	0.6119	0.2469	0.3518
Median_0perc_0repeat	0.4	0.5513	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5525	0.0525	0.0053	0.6196	0.2344	0.3401
Median_0perc_0repeat	0.4	0.5396	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5457	0.0455	0.0046	0.6409	0.1614	0.2579
Median_0perc_0repeat	0.4	0.537	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5548	0.051	0.0051	0.6349	0.2509	0.3596
Median_0perc_0repeat	0.4	0.5487	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5582	0.0569	0.0057	0.6634	0.225	0.336
Median_0perc_0repeat	0.4	0.5447	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5618	0.0497	0.005	0.6664	0.2221	0.3331
Median_0perc_0repeat	0.4	0.5511	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5529	0.0493	0.0049	0.6676	0.1949	0.3017
Median_0perc_0repeat	0.4	0.5454	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5438	0.0446	0.0045	0.6551	0.2255	0.3355
Median_0perc_0repeat	0.4	0.5313	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5545	0.0513	0.0051	0.6311	0.2136	0.3191
Median_0perc_0repeat	0.4	0.5471	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5521	0.0549	0.0055	0.6564	0.2882	0.4006
Median_0perc_0repeat	0.4	0.5404	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5611	0.0518	0.0052	0.6498	0.2243	0.3335
Median_0perc_0repeat	0.4	0.5506	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5546	0.047	0.0047	0.6556	0.1806	0.2832
Median_0perc_0repeat	0.4	0.5492	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5553	0.0462	0.0046	0.6368	0.2639	0.3732
Median_0perc_0repeat	0.4	0.5467	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5462	0.051	0.0051	0.6299	0.2686	0.3766
Median_0perc_0repeat	0.4	0.535	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5672	0.0578	0.0058	0.6654	0.2509	0.3644
Median_0perc_0repeat	0.4	0.5513	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5603	0.0523	0.0052	0.6713	0.2022	0.3108
Median_0perc_0repeat	0.4	0.5509	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5474	0.0516	0.0052	0.6337	0.2218	0.3286
Median_0perc_0repeat	0.4	0.5324	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5466	0.0505	0.0051	0.6453	0.162	0.259
Median_0perc_0repeat	0.4	0.5362	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5489	0.0526	0.0053	0.6234	0.2761	0.3827
Median_0perc_0repeat	0.4	0.5324	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5478	0.0468	0.0047	0.6136	0.2524	0.3577
Median_0perc_0repeat	0.4	0.5403	0.0	0.0	0.0	0.0	0.0
