Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
30perc_10repeat	0.1	0.4318	0.0645	0.0046	0.0	0.0	0.0	0.4488	0.526	0.0622	0.0044	0.6157	0.0107	0.0	0.5768	0.0103	0.0
50perc_2repeat	0.05	0.4306	0.0765	0.0054	0.0	0.0	0.0	0.4582	0.5256	0.0912	0.0065	0.5511	0.0178	0.0	0.525	0.0175	0.0
5perc_10repeat	0.05	0.4425	0.0661	0.0047	0.0	0.0	0.0	0.4595	0.5268	0.0877	0.0062	0.5837	0.0206	0.0	0.539	0.0212	0.0
15perc_2repeat	0.1	0.4275	0.0627	0.0044	0.0	0.0	0.0	0.4432	0.5283	0.0581	0.0041	0.6297	0.0098	0.0	0.5698	0.011	0.0
30perc_2repeat	0.1	0.4232	0.0667	0.0047	0.0	0.0	0.0	0.4418	0.5259	0.0617	0.0044	0.6255	0.0098	0.0	0.5582	0.0117	0.0
5perc_5repeat	0.1	0.4324	0.062	0.0044	0.0	0.0	0.0	0.4466	0.5311	0.0617	0.0044	0.6498	0.0094	0.0	0.5707	0.0115	0.0
100perc_2repeat	0.05	0.4263	0.0769	0.0054	0.0	0.0	0.0	0.4499	0.5208	0.0925	0.0065	0.5708	0.0136	0.0	0.5458	0.0138	0.0
15perc_10repeat	0.1	0.4273	0.0634	0.0045	0.0	0.0	0.0	0.4435	0.5286	0.0583	0.0041	0.6371	0.01	0.0	0.5672	0.0118	0.0
50perc_5repeat	0.05	0.4404	0.0693	0.0049	0.0	0.0	0.0	0.4605	0.5239	0.0871	0.0062	0.5714	0.0189	0.0	0.5341	0.0195	0.0
90perc_5repeat	0.05	0.4284	0.0731	0.0052	0.0	0.0	0.0	0.4501	0.5295	0.0841	0.0059	0.566	0.0184	0.0	0.4925	0.0186	0.0
5perc_5repeat	0.05	0.4327	0.0737	0.0052	0.0	0.0	0.0	0.454	0.5185	0.0904	0.0064	0.5474	0.0199	0.0	0.5099	0.021	0.0
