70perc_2repeat	0.7	0.1701	0.7437	0.0119	0.0038	0.6429	0.4879	0.5547	0.6731	0.0107	0.0034	0.7442	0.0118	0.0037	0.7301	0.0133	0.0042	0.0	0.0	0.0	0.2154	0.1714
40perc_5repeat	0.7	0.1703	0.7457	0.0049	0.0015	0.6508	0.4869	0.5571	0.6716	0.009	0.0029	0.7469	0.0043	0.0014	0.7356	0.0098	0.0031	0.0	0.0	0.0	0.229	0.1713
50perc_2repeat	0.7	0.1677	0.7509	0.0038	0.0012	0.6451	0.5007	0.5638	0.6786	0.0083	0.0026	0.7509	0.0038	0.0012	0.7384	0.0072	0.0023	0.0	0.0	0.0	0.2642	0.1693
70perc_10repeat	0.7	0.1704	0.745	0.0055	0.0017	0.6461	0.4919	0.5586	0.6722	0.0077	0.0024	0.745	0.0048	0.0015	0.7299	0.0062	0.002	0.0	0.0	0.0	0.268	0.1713
40perc_2repeat	0.7	0.1697	0.7464	0.0096	0.003	0.6459	0.4883	0.5561	0.6746	0.0101	0.0032	0.7467	0.0091	0.0029	0.7329	0.0112	0.0035	0.0	0.0	0.0	0.24	0.1711
100perc_10repeat	0.7	0.167	0.7504	0.0037	0.0012	0.6554	0.4948	0.5639	0.6739	0.0064	0.002	0.7509	0.0037	0.0012	0.7367	0.0113	0.0036	0.0	0.0	0.0	0.2398	0.1683
60perc_10repeat	0.7	0.1697	0.7477	0.0074	0.0023	0.6476	0.4903	0.5581	0.6718	0.013	0.0041	0.7487	0.0075	0.0024	0.7364	0.0095	0.003	0.0	0.0	0.0	0.2305	0.1709
50perc_10repeat	0.7	0.1717	0.7394	0.0114	0.0036	0.6436	0.478	0.5485	0.6691	0.0086	0.0027	0.7407	0.0114	0.0036	0.7283	0.0142	0.0045	0.0	0.0	0.0	0.2512	0.1733
100perc_2repeat	0.7	0.1713	0.7427	0.007	0.0022	0.6386	0.4804	0.5484	0.6712	0.0082	0.0026	0.7432	0.0068	0.0021	0.7298	0.0096	0.003	0.0	0.0	0.0	0.2153	0.1727
70perc_5repeat	0.7	0.17	0.7484	0.0089	0.0028	0.6427	0.4913	0.5569	0.6785	0.0098	0.0031	0.749	0.0086	0.0027	0.733	0.0116	0.0037	0.0	0.0	0.0	0.2515	0.1709
