Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
5perc_5repeat	0.45	0.3264	0.0648	0.0046	0.6608	0.2471	0.3597	0.3288	0.5255	0.0221	0.0016	0.6266	0.0024	0.0	0.4282	0.0025	0.0
15perc_2repeat	0.45	0.3076	0.0668	0.0047	0.6009	0.2307	0.3334	0.3006	0.5215	0.0204	0.0014	0.6003	0.0022	0.0	0.4512	0.0025	0.0
15perc_5repeat	0.45	0.3041	0.0641	0.0045	0.6012	0.2313	0.3341	0.3066	0.5203	0.0196	0.0014	0.5922	0.002	0.0	0.4568	0.0022	0.0
15perc_2repeat	0.05	0.4258	0.0725	0.0051	0.3007	0.4356	0.3558	0.4511	0.5231	0.0863	0.0061	0.5307	0.0174	0.0	0.5174	0.016	0.0
15perc_5repeat	0.05	0.4065	0.0799	0.0057	0.3017	0.4313	0.3551	0.4348	0.5182	0.0672	0.0048	0.5407	0.0143	0.0	0.4974	0.0137	0.0
5perc_2repeat	0.4	0.344	0.0647	0.0046	0.6351	0.189	0.2913	0.3547	0.5296	0.0223	0.0016	0.6302	0.0027	0.0	0.4342	0.0027	0.0
5perc_5repeat	0.4	0.3383	0.0645	0.0046	0.6358	0.1927	0.2957	0.3547	0.5257	0.0224	0.0016	0.6283	0.0024	0.0	0.4332	0.0026	0.0
15perc_2repeat	0.4	0.329	0.0679	0.0048	0.5812	0.2187	0.3178	0.3367	0.5231	0.0247	0.0017	0.6036	0.0025	0.0	0.4525	0.0028	0.0
15perc_5repeat	0.4	0.3164	0.068	0.0048	0.5587	0.2717	0.3657	0.3079	0.5189	0.0223	0.0016	0.5908	0.0025	0.0	0.4575	0.0025	0.0
5perc_2repeat	0.35	0.3516	0.0655	0.0046	0.5697	0.2748	0.3708	0.3591	0.525	0.0284	0.002	0.6254	0.0032	0.0	0.4281	0.0031	0.0
5perc_5repeat	0.35	0.3546	0.065	0.0046	0.5413	0.2024	0.2946	0.3617	0.528	0.0251	0.0018	0.6288	0.003	0.0	0.4371	0.0032	0.0
15perc_2repeat	0.35	0.3356	0.0684	0.0048	0.537	0.2337	0.3257	0.3467	0.5236	0.0238	0.0017	0.6024	0.0027	0.0	0.4542	0.0029	0.0
15perc_5repeat	0.35	0.3263	0.0636	0.0045	0.5416	0.221	0.3139	0.3279	0.5203	0.0226	0.0016	0.5883	0.0024	0.0	0.4607	0.0026	0.0
15perc_2repeat	0.3	0.3467	0.0678	0.0048	0.481	0.2891	0.3611	0.3489	0.5199	0.0297	0.0021	0.597	0.0035	0.0	0.4516	0.0034	0.0
15perc_5repeat	0.3	0.345	0.0639	0.0045	0.4425	0.2549	0.3235	0.3532	0.5214	0.0266	0.0019	0.5913	0.003	0.0	0.4642	0.0032	0.0
5perc_2repeat	0.3	0.3679	0.0619	0.0044	0.5273	0.2562	0.3448	0.3773	0.5249	0.0304	0.0021	0.6269	0.0036	0.0	0.4258	0.0037	0.0
5perc_5repeat	0.3	0.3653	0.064	0.0045	0.5781	0.2249	0.3239	0.3719	0.5255	0.0288	0.002	0.6266	0.0035	0.0	0.4292	0.0034	0.0
15perc_2repeat	0.25	0.3614	0.0605	0.0043	0.4597	0.2403	0.3156	0.3686	0.5217	0.0284	0.002	0.5984	0.0036	0.0	0.4563	0.004	0.0
15perc_5repeat	0.25	0.3582	0.0635	0.0045	0.4347	0.25	0.3175	0.3626	0.523	0.0296	0.0021	0.5908	0.0034	0.0	0.4613	0.0037	0.0
5perc_2repeat	0.25	0.3831	0.0627	0.0044	0.5072	0.2755	0.3571	0.3979	0.5248	0.0331	0.0023	0.6261	0.0043	0.0	0.4242	0.0044	0.0
5perc_5repeat	0.25	0.3741	0.063	0.0045	0.4892	0.2075	0.2914	0.3845	0.5295	0.0323	0.0023	0.6291	0.0037	0.0	0.4415	0.004	0.0
