Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
15perc_10repeat	0.05	0.4365	0.0664	0.0047	0.0	0.0	0.0	0.4555	0.5282	0.0912	0.0064	0.5888	0.0189	0.0	0.4785	0.0211	0.0
30perc_10repeat	0.05	0.4422	0.064	0.0045	0.0	0.0	0.0	0.457	0.5248	0.0802	0.0057	0.5913	0.0202	0.0	0.4922	0.0215	0.0
50perc_5repeat	0.1	0.4261	0.0675	0.0048	0.0	0.0	0.0	0.4417	0.5195	0.0649	0.0046	0.607	0.0109	0.0	0.5718	0.0101	0.0
50perc_2repeat	0.1	0.4293	0.0667	0.0047	0.0	0.0	0.0	0.4494	0.5265	0.0656	0.0046	0.6145	0.0099	0.0	0.5623	0.0113	0.0
50perc_10repeat	0.1	0.433	0.0582	0.0041	0.0	0.0	0.0	0.443	0.5186	0.0628	0.0044	0.6189	0.0109	0.0	0.5673	0.0119	0.0
05perc_10repeat	0.05	0.4311	0.0742	0.0052	0.0	0.0	0.0	0.4577	0.5279	0.0945	0.0067	0.5211	0.0219	0.0	0.4613	0.022	0.0
50perc_2repeat	0.05	0.4314	0.0701	0.005	0.0	0.0	0.0	0.4533	0.5288	0.0962	0.0068	0.5716	0.016	0.0	0.5202	0.0163	0.0
05perc_2repeat	0.1	0.4284	0.0653	0.0046	0.0	0.0	0.0	0.439	0.5256	0.0631	0.0045	0.6169	0.0097	0.0	0.5627	0.0111	0.0
30perc_2repeat	0.1	0.413	0.0656	0.0046	0.0	0.0	0.0	0.427	0.5286	0.0555	0.0039	0.6275	0.0086	0.0	0.5542	0.0113	0.0
40perc_5repeat	0.1	0.4309	0.0626	0.0044	0.0	0.0	0.0	0.4455	0.5266	0.0574	0.0041	0.614	0.0111	0.0	0.5671	0.0116	0.0
