Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1
30perc_5repeat	0.1	0.2102	0.7008	0.0587	0.0042	0.5624	0.6723	0.6125
90perc_2repeat	0.1	0.2528	0.5355	0.125	0.0088	0.3941	0.4588	0.424
60perc_5repeat	0.1	0.2554	0.5344	0.1389	0.0098	0.411	0.5348	0.4648
50perc_5repeat	0.1	0.2325	0.6468	0.1092	0.0077	0.5253	0.6457	0.5793
5perc_5repeat	0.1	0.2286	0.6848	0.0686	0.0049	0.5345	0.7373	0.6197
50perc_10repeat	0.1	0.2372	0.6237	0.1195	0.0084	0.5035	0.6128	0.5528
15perc_10repeat	0.1	0.2168	0.6952	0.0645	0.0046	0.5505	0.7034	0.6176
60perc_10repeat	0.1	0.2807	0.4012	0.1192	0.0084	0.2649	0.407	0.3209
5perc_10repeat	0.1	0.2285	0.6847	0.0676	0.0048	0.5338	0.7384	0.6196
90perc_2repeat	0.2	0.2699	0.3805	0.0748	0.0053	0.2342	0.3397	0.2773
70perc_2repeat	0.4	0.2332	0.6622	0.0531	0.0038	0.5183	0.5303	0.5242
70perc_5repeat	0.2	0.2902	0.3279	0.0692	0.0049	0.2215	0.3824	0.2805
60perc_2repeat	0.4	0.2119	0.7199	0.0171	0.0012	0.6046	0.5254	0.5622
90perc_2repeat	0.4	0.2839	0.2989	0.0126	0.0009	0.234	0.453	0.3086
70perc_10repeat	0.2	0.3374	0.2837	0.0277	0.002	0.2151	0.418	0.284
60perc_2repeat	0.1	0.233	0.6496	0.0965	0.0068	0.5252	0.67	0.5888
60perc_5repeat	0.4	0.2503	0.5107	0.1012	0.0072	0.3661	0.505	0.4244
70perc_5repeat	0.4	0.2945	0.2889	0.013	0.0009	0.235	0.4801	0.3156
100perc_10repeat	0.1	0.4224	0.3463	0.0704	0.005	0.1997	0.2965	0.2386
60perc_10repeat	0.4	0.2792	0.3114	0.038	0.0027	0.2436	0.4844	0.3242
15perc_2repeat	0.7	0.1751	0.7406	0.0086	0.0006	0.6496	0.4711	0.5461
30perc_2repeat	0.7	0.181	0.7371	0.0085	0.0006	0.6517	0.4592	0.5387
5perc_2repeat	0.5	0.1736	0.746	0.0059	0.0004	0.6323	0.5458	0.5859
5perc_2repeat	0.7	0.1728	0.7425	0.0081	0.0006	0.6478	0.4809	0.552
30perc_2repeat	0.5	0.1809	0.7396	0.0053	0.0004	0.6384	0.5077	0.5656
100perc_2repeat	0.4	0.3045	0.288	0.0061	0.0004	0.2295	0.4452	0.3029
40perc_2repeat	0.7	0.1874	0.7338	0.0083	0.0006	0.6488	0.4511	0.5322
5perc_5repeat	0.7	0.1728	0.7427	0.0082	0.0006	0.6489	0.4794	0.5514
90perc_5repeat	0.4	0.3665	0.2772	0.0045	0.0003	0.2314	0.4703	0.3102
15perc_2repeat	0.5	0.1756	0.7437	0.0055	0.0004	0.6358	0.5288	0.5774
5perc_5repeat	0.5	0.1736	0.7458	0.0057	0.0004	0.6335	0.541	0.5836
30perc_5repeat	0.5	0.1839	0.7392	0.0056	0.0004	0.642	0.4957	0.5594
40perc_2repeat	0.2	0.1945	0.7267	0.0241	0.0017	0.5945	0.6233	0.6086
30perc_5repeat	0.7	0.184	0.738	0.0082	0.0006	0.6558	0.4539	0.5365
15perc_2repeat	0.2	0.19	0.732	0.0237	0.0017	0.588	0.6678	0.6254
100perc_5repeat	0.4	0.3864	0.2794	0.0052	0.0004	0.2279	0.45	0.3026
15perc_5repeat	0.7	0.1757	0.741	0.0084	0.0006	0.6528	0.4669	0.5444
50perc_2repeat	0.7	0.1982	0.7288	0.0083	0.0006	0.6399	0.4474	0.5266
60perc_2repeat	0.7	0.2149	0.7174	0.0113	0.0008	0.6146	0.4491	0.519
15perc_5repeat	0.5	0.1761	0.744	0.0055	0.0004	0.6394	0.5197	0.5733
70perc_2repeat	0.7	0.2369	0.6518	0.0366	0.0026	0.4948	0.481	0.4878
90perc_2repeat	0.7	0.2844	0.2981	0.0081	0.0006	0.2573	0.5527	0.3512
40perc_2repeat	0.5	0.1871	0.7356	0.0054	0.0004	0.6369	0.4967	0.5581
50perc_2repeat	0.5	0.1973	0.7306	0.0061	0.0004	0.6286	0.4959	0.5544
60perc_2repeat	0.5	0.2125	0.7204	0.0094	0.0007	0.6098	0.4958	0.5469
90perc_10repeat	0.4	0.4073	0.2759	0.0047	0.0003	0.2311	0.471	0.3101
15perc_10repeat	0.5	0.1763	0.7438	0.0054	0.0004	0.6402	0.5159	0.5714
40perc_5repeat	0.7	0.1944	0.7339	0.0082	0.0006	0.6506	0.4488	0.5312
70perc_2repeat	0.5	0.2353	0.6545	0.0542	0.0038	0.5061	0.5109	0.5085
50perc_5repeat	0.7	0.2147	0.7216	0.0079	0.0006	0.6211	0.4494	0.5214
50perc_5repeat	0.5	0.2149	0.7218	0.0102	0.0007	0.612	0.4861	0.5418
60perc_5repeat	0.7	0.2507	0.5003	0.0786	0.0056	0.348	0.4988	0.41
40perc_5repeat	0.5	0.194	0.7353	0.0054	0.0004	0.6403	0.4841	0.5513
70perc_5repeat	0.7	0.2938	0.2882	0.0085	0.0006	0.2527	0.5575	0.3478
5perc_5repeat	0.8	0.1728	0.7417	0.0105	0.0007	0.6606	0.4582	0.5411
5perc_10repeat	0.7	0.1729	0.7426	0.008	0.0006	0.6492	0.478	0.5506
5perc_10repeat	0.5	0.1735	0.7456	0.0057	0.0004	0.6338	0.5388	0.5824
50perc_10repeat	0.2	0.2304	0.6632	0.0811	0.0057	0.5276	0.5868	0.5557
60perc_5repeat	0.5	0.251	0.5019	0.0932	0.0066	0.3547	0.5018	0.4156
90perc_5repeat	0.7	0.3573	0.2834	0.0088	0.0006	0.256	0.5683	0.353
30perc_2repeat	0.1	0.2205	0.6867	0.0712	0.005	0.5474	0.6916	0.6111
100perc_10repeat	0.4	0.4264	0.2788	0.0053	0.0004	0.2275	0.4494	0.3021
5perc_2repeat	0.1	0.2303	0.6834	0.0714	0.0051	0.5335	0.7376	0.6192
90perc_2repeat	0.5	0.2836	0.2981	0.0096	0.0007	0.243	0.49	0.3249
