Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median
10perc_5repeat	0.25	0.5209	0.0348	0.0025	0.488	0.2652	0.3437	0.5243
10perc_10repeat	0.25	0.5216	0.0395	0.0028	0.4734	0.2795	0.3515	0.5225
10perc_2repeat	0.2	0.5112	0.0349	0.0025	0.4307	0.3355	0.3772	0.5184
10perc_5repeat	0.2	0.5122	0.034	0.0024	0.4178	0.2837	0.3379	0.5183
10perc_10repeat	0.2	0.5127	0.0311	0.0022	0.4288	0.3023	0.3546	0.5204
30perc_2repeat	0.2	0.5129	0.0376	0.0027	0.3978	0.3612	0.3786	0.5201
30perc_5repeat	0.2	0.5165	0.033	0.0023	0.3931	0.2719	0.3215	0.5217
30perc_10repeat	0.2	0.5158	0.0377	0.0027	0.4204	0.3474	0.3804	0.5221
5perc_2repeat	0.2	0.5153	0.032	0.0023	0.4405	0.2575	0.325	0.5214
5perc_5repeat	0.2	0.5159	0.0339	0.0024	0.4911	0.2796	0.3563	0.5226
5perc_10repeat	0.2	0.5176	0.0301	0.0021	0.4725	0.2431	0.3211	0.5242
25perc_2repeat	0.2	0.5166	0.0342	0.0024	0.3927	0.2782	0.3257	0.5202
25perc_5repeat	0.2	0.5155	0.0363	0.0026	0.3896	0.3137	0.3476	0.5222
25perc_10repeat	0.2	0.5193	0.0347	0.0025	0.4166	0.3089	0.3547	0.5242
15perc_2repeat	0.2	0.5087	0.0361	0.0026	0.4303	0.3521	0.3873	0.5188
15perc_5repeat	0.2	0.5121	0.0339	0.0024	0.4208	0.3184	0.3625	0.5209
15perc_10repeat	0.2	0.5204	0.0325	0.0023	0.4226	0.2234	0.2923	0.5242
20perc_2repeat	0.2	0.5148	0.0333	0.0024	0.4249	0.3075	0.3568	0.5202
20perc_5repeat	0.2	0.5149	0.0345	0.0024	0.3456	0.2754	0.3065	0.5211
20perc_10repeat	0.2	0.5133	0.0337	0.0024	0.3677	0.2847	0.3209	0.5222
20perc_2repeat	0.1	0.5016	0.0289	0.002	0.3225	0.4054	0.3592	0.517
20perc_5repeat	0.1	0.506	0.0285	0.002	0.3186	0.3324	0.3254	0.5215
20perc_10repeat	0.1	0.5056	0.0283	0.002	0.3079	0.3463	0.3259	0.5197
30perc_2repeat	0.1	0.5047	0.0295	0.0021	0.3316	0.3889	0.358	0.5197
30perc_5repeat	0.1	0.5088	0.0278	0.002	0.3471	0.3196	0.3328	0.5233
30perc_10repeat	0.1	0.5039	0.0309	0.0022	0.3486	0.3881	0.3673	0.5197
15perc_2repeat	0.1	0.5035	0.0296	0.0021	0.3238	0.3852	0.3518	0.5197
15perc_5repeat	0.1	0.5062	0.0284	0.002	0.3819	0.3398	0.3597	0.5215
15perc_10repeat	0.1	0.505	0.0289	0.002	0.3222	0.3674	0.3433	0.5189
10perc_2repeat	0.1	0.5033	0.0286	0.002	0.3321	0.366	0.3482	0.5197
10perc_5repeat	0.1	0.5075	0.028	0.002	0.3299	0.317	0.3233	0.5215
10perc_10repeat	0.1	0.5038	0.0291	0.0021	0.3416	0.3658	0.3533	0.5183
25perc_2repeat	0.1	0.5051	0.0281	0.002	0.3496	0.3533	0.3514	0.5197
25perc_5repeat	0.1	0.4994	0.0298	0.0021	0.3658	0.4625	0.4085	0.5125
25perc_10repeat	0.1	0.5031	0.0289	0.002	0.3406	0.3734	0.3562	0.5179
5perc_2repeat	0.1	0.5064	0.0271	0.0019	0.3346	0.3342	0.3344	0.5197
5perc_5repeat	0.1	0.4992	0.0287	0.002	0.3417	0.4363	0.3832	0.5161
5perc_10repeat	0.1	0.5047	0.0291	0.0021	0.3502	0.3554	0.3528	0.5193
5perc_2repeat	0.05	0.501	0.0268	0.0019	0.3132	0.4164	0.3575	0.5178
5perc_5repeat	0.05	0.4989	0.0269	0.0019	0.3265	0.456	0.3805	0.5082
5perc_10repeat	0.05	0.5024	0.0268	0.0019	0.328	0.3893	0.356	0.5192
15perc_2repeat	0.05	0.5037	0.0267	0.0019	0.2826	0.3816	0.3247	0.5205
15perc_5repeat	0.05	0.5052	0.0265	0.0019	0.2981	0.347	0.3207	0.5212
15perc_10repeat	0.05	0.5028	0.0261	0.0018	0.3032	0.399	0.3446	0.5192
25perc_2repeat	0.05	0.502	0.0266	0.0019	0.3238	0.4076	0.3609	0.5195
25perc_5repeat	0.05	0.4999	0.0274	0.0019	0.3214	0.4604	0.3785	0.5097
25perc_10repeat	0.05	0.5018	0.0268	0.0019	0.2783	0.4213	0.3352	0.5195
30perc_2repeat	0.05	0.4995	0.0273	0.0019	0.2988	0.4427	0.3568	0.5146
30perc_5repeat	0.05	0.5036	0.0273	0.0019	0.3073	0.3798	0.3397	0.5212
30perc_10repeat	0.05	0.5004	0.0281	0.002	0.3349	0.4453	0.3823	0.5187
20perc_2repeat	0.05	0.503	0.0269	0.0019	0.3343	0.4055	0.3665	0.5195
20perc_5repeat	0.05	0.4988	0.028	0.002	0.3161	0.4671	0.3771	0.5166
20perc_10repeat	0.05	0.5045	0.0273	0.0019	0.2918	0.3738	0.3278	0.5212
10perc_2repeat	0.3	0.5214	0.0409	0.0029	0.488	0.2902	0.3639	0.5209
10perc_5repeat	0.3	0.5316	0.0424	0.003	0.5184	0.2308	0.3194	0.5292
10perc_10repeat	0.3	0.5291	0.0443	0.0031	0.5379	0.2575	0.3483	0.5243
15perc_2repeat	0.3	0.5307	0.0471	0.0033	0.4817	0.2922	0.3637	0.5238
15perc_5repeat	0.3	0.5311	0.0398	0.0028	0.4886	0.2034	0.2873	0.5253
15perc_10repeat	0.3	0.5312	0.045	0.0032	0.5114	0.2506	0.3363	0.5251
20perc_2repeat	0.3	0.5274	0.0399	0.0028	0.4561	0.245	0.3188	0.5242
20perc_5repeat	0.3	0.5273	0.0365	0.0026	0.4769	0.2092	0.2908	0.5241
20perc_10repeat	0.3	0.532	0.0441	0.0031	0.4703	0.2482	0.3249	0.5244
10perc_2repeat	0.05	0.4998	0.0267	0.0019	0.3023	0.4418	0.359	0.5132
10perc_5repeat	0.05	0.5025	0.0272	0.0019	0.3053	0.4022	0.3471	0.521
10perc_10repeat	0.05	0.5014	0.0273	0.0019	0.2991	0.4193	0.3491	0.5178
5perc_2repeat	0.4	0.5475	0.0516	0.0037	0.5933	0.2014	0.3007	0.5361
5perc_5repeat	0.4	0.5498	0.0492	0.0035	0.6385	0.2147	0.3214	0.5364
5perc_10repeat	0.4	0.5452	0.0501	0.0035	0.6125	0.1918	0.2922	0.5334
5perc_2repeat	0.35	0.552	0.0483	0.0034	0.6155	0.2027	0.3049	0.5398
5perc_5repeat	0.35	0.5415	0.0497	0.0035	0.5875	0.236	0.3368	0.5301
5perc_10repeat	0.35	0.5397	0.0414	0.0029	0.586	0.1974	0.2953	0.5312
25perc_2repeat	0.35	0.5411	0.0485	0.0034	0.5177	0.2425	0.3303	0.531
25perc_5repeat	0.35	0.538	0.0479	0.0034	0.5052	0.2687	0.3508	0.5288
25perc_10repeat	0.35	0.5341	0.0483	0.0034	0.492	0.2788	0.3559	0.5295
10perc_2repeat	0.4	0.5557	0.054	0.0038	0.6328	0.2553	0.3638	0.5407
10perc_5repeat	0.4	0.5415	0.0497	0.0035	0.5872	0.2333	0.3339	0.5318
10perc_10repeat	0.4	0.5476	0.0558	0.0039	0.5872	0.2368	0.3375	0.5337
15perc_2repeat	0.35	0.5426	0.0518	0.0037	0.5488	0.2529	0.3462	0.5315
15perc_5repeat	0.35	0.5397	0.0472	0.0033	0.5737	0.2519	0.3501	0.5309
15perc_10repeat	0.35	0.5428	0.0516	0.0036	0.5288	0.23	0.3205	0.5313
10perc_2repeat	0.35	0.5373	0.0477	0.0034	0.5409	0.2039	0.2961	0.5252
10perc_5repeat	0.35	0.5432	0.0519	0.0037	0.5584	0.2641	0.3586	0.533
10perc_10repeat	0.35	0.5433	0.0451	0.0032	0.5778	0.2047	0.3023	0.5337
20perc_2repeat	0.4	0.5458	0.051	0.0036	0.5853	0.2346	0.3349	0.5346
20perc_5repeat	0.4	0.547	0.0576	0.0041	0.5314	0.2476	0.3379	0.5308
20perc_10repeat	0.4	0.5485	0.0506	0.0036	0.5531	0.231	0.3259	0.5325
20perc_2repeat	0.35	0.537	0.0439	0.0031	0.5173	0.2313	0.3196	0.5286
20perc_5repeat	0.35	0.5344	0.0478	0.0034	0.5038	0.2509	0.335	0.5239
20perc_10repeat	0.35	0.5379	0.0469	0.0033	0.5283	0.2339	0.3243	0.5271
25perc_2repeat	0.3	0.5267	0.0384	0.0027	0.462	0.2484	0.3231	0.5235
25perc_5repeat	0.3	0.526	0.0386	0.0027	0.4384	0.2316	0.3031	0.5231
25perc_10repeat	0.3	0.5281	0.0445	0.0031	0.4528	0.2923	0.3553	0.5252
25perc_2repeat	0.4	0.5411	0.0491	0.0035	0.5746	0.2051	0.3023	0.5312
25perc_5repeat	0.4	0.5388	0.046	0.0033	0.5164	0.2188	0.3074	0.528
25perc_10repeat	0.4	0.5368	0.0422	0.003	0.4848	0.163	0.244	0.5259
15perc_2repeat	0.4	0.548	0.0536	0.0038	0.5804	0.2312	0.3306	0.5357
15perc_5repeat	0.4	0.5532	0.0553	0.0039	0.5913	0.2366	0.338	0.5341
15perc_10repeat	0.4	0.5452	0.0519	0.0037	0.5519	0.2623	0.3556	0.5322
5perc_2repeat	0.5	0.5708	0.0585	0.0041	0.6971	0.2293	0.3451	0.5601
5perc_5repeat	0.5	0.5674	0.0548	0.0039	0.6964	0.2124	0.3255	0.5595
5perc_10repeat	0.5	0.568	0.059	0.0042	0.6762	0.2227	0.3351	0.5544
30perc_2repeat	0.3	0.5259	0.0452	0.0032	0.4809	0.3182	0.383	0.5254
30perc_5repeat	0.3	0.5256	0.0419	0.003	0.4376	0.2747	0.3376	0.5234
30perc_10repeat	0.3	0.5325	0.0414	0.0029	0.4645	0.2601	0.3335	0.5277
10perc_2repeat	0.5	0.5638	0.0566	0.004	0.6809	0.2629	0.3794	0.5562
10perc_5repeat	0.5	0.5673	0.0587	0.0041	0.6625	0.2219	0.3324	0.5556
10perc_10repeat	0.5	0.5632	0.056	0.004	0.6919	0.1976	0.3074	0.5521
30perc_2repeat	0.35	0.5353	0.0464	0.0033	0.5182	0.2664	0.3519	0.5267
30perc_5repeat	0.35	0.5333	0.0473	0.0033	0.5064	0.322	0.3937	0.5308
30perc_10repeat	0.35	0.5301	0.0457	0.0032	0.4864	0.2601	0.339	0.5262
5perc_2repeat	0.45	0.5643	0.0585	0.0041	0.663	0.2187	0.3289	0.547
5perc_5repeat	0.45	0.5598	0.0604	0.0043	0.6334	0.2665	0.3751	0.5408
5perc_10repeat	0.45	0.5633	0.054	0.0038	0.6562	0.2254	0.3356	0.5457
15perc_2repeat	0.5	0.5721	0.0574	0.0041	0.6433	0.2569	0.3672	0.5615
15perc_5repeat	0.5	0.5669	0.0545	0.0039	0.6424	0.2444	0.354	0.5563
15perc_10repeat	0.5	0.5626	0.0567	0.004	0.6394	0.1882	0.2908	0.5426
20perc_2repeat	0.5	0.5587	0.0537	0.0038	0.6345	0.206	0.3111	0.5475
20perc_5repeat	0.5	0.5562	0.0547	0.0039	0.5935	0.219	0.3199	0.5454
20perc_10repeat	0.5	0.5523	0.0536	0.0038	0.6107	0.1714	0.2677	0.5381
15perc_2repeat	0.45	0.5565	0.055	0.0039	0.6244	0.252	0.3591	0.543
15perc_5repeat	0.45	0.564	0.0525	0.0037	0.6494	0.2212	0.3299	0.5555
15perc_10repeat	0.45	0.5636	0.06	0.0042	0.6207	0.2508	0.3573	0.5411
10perc_2repeat	0.45	0.5575	0.0569	0.004	0.6218	0.2439	0.3504	0.5416
10perc_5repeat	0.45	0.558	0.0566	0.004	0.6374	0.2266	0.3343	0.5423
10perc_10repeat	0.45	0.5564	0.0527	0.0037	0.6179	0.2085	0.3118	0.5451
20perc_2repeat	0.45	0.551	0.0552	0.0039	0.5837	0.2123	0.3114	0.5365
20perc_5repeat	0.45	0.5556	0.0502	0.0036	0.6194	0.2264	0.3316	0.5455
20perc_10repeat	0.45	0.5458	0.0513	0.0036	0.5686	0.2255	0.3229	0.5346
25perc_2repeat	0.45	0.5528	0.0513	0.0036	0.5749	0.2128	0.3106	0.5394
25perc_5repeat	0.45	0.5516	0.0493	0.0035	0.5771	0.1964	0.293	0.5372
25perc_10repeat	0.45	0.5425	0.0483	0.0034	0.5271	0.2128	0.3032	0.526
30perc_2repeat	0.45	0.5552	0.0565	0.004	0.605	0.2756	0.3787	0.5442
30perc_5repeat	0.45	0.5467	0.0504	0.0036	0.535	0.2465	0.3375	0.5348
30perc_10repeat	0.45	0.5427	0.0505	0.0036	0.5225	0.2295	0.3189	0.5292
30perc_2repeat	0.4	0.5439	0.0538	0.0038	0.5391	0.2665	0.3567	0.5295
30perc_5repeat	0.4	0.5382	0.0469	0.0033	0.4954	0.2485	0.331	0.5268
30perc_10repeat	0.4	0.5412	0.0458	0.0032	0.5067	0.2416	0.3272	0.5312
5perc_2repeat	0.6	0.5894	0.0612	0.0043	0.7266	0.236	0.3563	0.5889
5perc_5repeat	0.6	0.5866	0.0618	0.0044	0.7365	0.2478	0.3708	0.5798
5perc_10repeat	0.6	0.591	0.0628	0.0044	0.7158	0.2706	0.3927	0.595
25perc_2repeat	0.5	0.5622	0.0599	0.0042	0.6111	0.2723	0.3768	0.552
25perc_5repeat	0.5	0.5572	0.0578	0.0041	0.5826	0.2339	0.3338	0.5434
25perc_10repeat	0.5	0.5527	0.0528	0.0037	0.5579	0.2169	0.3124	0.5375
30perc_2repeat	0.5	0.5624	0.0579	0.0041	0.5711	0.2563	0.3538	0.546
30perc_5repeat	0.5	0.5489	0.0536	0.0038	0.5654	0.2452	0.3421	0.5329
30perc_10repeat	0.5	0.5482	0.0511	0.0036	0.5382	0.2113	0.3035	0.5345
10perc_2repeat	0.6	0.5951	0.0594	0.0042	0.7193	0.2608	0.3827	0.5919
10perc_5repeat	0.6	0.5841	0.0617	0.0044	0.7137	0.2381	0.357	0.5766
10perc_10repeat	0.6	0.5789	0.0619	0.0044	0.7273	0.2176	0.335	0.5691
5perc_2repeat	0.9	0.6408	0.0696	0.0049	0.7614	0.3704	0.4984	0.6436
5perc_5repeat	0.9	0.6385	0.0652	0.0046	0.7696	0.3639	0.4941	0.6361
5perc_10repeat	0.9	0.6492	0.0695	0.0049	0.7618	0.3792	0.5063	0.6528
15perc_2repeat	0.9	0.6363	0.068	0.0048	0.783	0.343	0.4771	0.6344
15perc_5repeat	0.9	0.6151	0.0726	0.0051	0.7694	0.295	0.4265	0.618
15perc_10repeat	0.9	0.6261	0.0771	0.0055	0.795	0.3092	0.4453	0.6275
10perc_2repeat	0.9	0.6328	0.0701	0.005	0.793	0.3402	0.4761	0.643
10perc_5repeat	0.9	0.6397	0.068	0.0048	0.7876	0.3443	0.4791	0.6449
10perc_10repeat	0.9	0.6255	0.0744	0.0053	0.7674	0.3269	0.4585	0.6305
20perc_2repeat	0.9	0.6269	0.0704	0.005	0.7627	0.3207	0.4515	0.6279
20perc_5repeat	0.9	0.609	0.0744	0.0053	0.7848	0.2708	0.4026	0.6177
20perc_10repeat	0.9	0.6114	0.0756	0.0053	0.7589	0.2681	0.3962	0.6203
25perc_2repeat	0.9	0.6193	0.076	0.0054	0.7504	0.3033	0.432	0.6207
25perc_5repeat	0.9	0.603	0.0801	0.0057	0.7441	0.2529	0.3775	0.6095
25perc_10repeat	0.9	0.5926	0.0755	0.0053	0.7347	0.2145	0.3321	0.6003
30perc_2repeat	0.9	0.6184	0.0806	0.0057	0.7371	0.304	0.4305	0.6207
30perc_5repeat	0.9	0.593	0.0732	0.0052	0.6902	0.2366	0.3524	0.5984
30perc_10repeat	0.9	0.5738	0.0758	0.0054	0.7071	0.1876	0.2965	0.5757
5perc_2repeat	0.8	0.6255	0.0589	0.0042	0.7543	0.3337	0.4627	0.6272
5perc_5repeat	0.8	0.6288	0.0577	0.0041	0.7577	0.3345	0.4641	0.6343
5perc_10repeat	0.8	0.6203	0.0594	0.0042	0.7558	0.3195	0.4492	0.6265
10perc_2repeat	0.8	0.6209	0.063	0.0045	0.7652	0.3128	0.4441	0.6312
10perc_5repeat	0.8	0.6187	0.0625	0.0044	0.7641	0.3052	0.4361	0.6215
10perc_10repeat	0.8	0.6086	0.0658	0.0046	0.7693	0.2809	0.4115	0.6093
15perc_2repeat	0.8	0.6152	0.0705	0.005	0.7614	0.3121	0.4428	0.6228
15perc_5repeat	0.8	0.5994	0.0691	0.0049	0.7656	0.2546	0.3821	0.5984
15perc_10repeat	0.8	0.6046	0.0628	0.0044	0.7662	0.26	0.3883	0.6063
20perc_2repeat	0.8	0.6086	0.066	0.0047	0.7458	0.2884	0.4159	0.6125
20perc_5repeat	0.8	0.6008	0.0635	0.0045	0.7492	0.25	0.3749	0.6024
20perc_10repeat	0.8	0.594	0.0677	0.0048	0.7496	0.2389	0.3623	0.5891
30perc_2repeat	0.8	0.5956	0.0717	0.0051	0.7409	0.2659	0.3913	0.5979
30perc_5repeat	0.8	0.5836	0.068	0.0048	0.693	0.2191	0.333	0.5803
30perc_10repeat	0.8	0.5817	0.067	0.0047	0.6671	0.1867	0.2917	0.5774
25perc_2repeat	0.8	0.6097	0.0678	0.0048	0.7338	0.2811	0.4065	0.6174
25perc_5repeat	0.8	0.5869	0.0694	0.0049	0.7455	0.2181	0.3375	0.5865
25perc_10repeat	0.8	0.5804	0.0682	0.0048	0.7099	0.1925	0.3028	0.5764
5perc_2repeat	0.7	0.6162	0.057	0.004	0.7423	0.3065	0.4338	0.6245
5perc_5repeat	0.7	0.6039	0.0615	0.0043	0.7506	0.2762	0.4038	0.6069
5perc_10repeat	0.7	0.603	0.0629	0.0044	0.756	0.2814	0.4102	0.6085
15perc_2repeat	0.7	0.6026	0.0636	0.0045	0.7345	0.2651	0.3896	0.6018
15perc_5repeat	0.7	0.5859	0.0664	0.0047	0.7412	0.2257	0.3461	0.5834
15perc_10repeat	0.7	0.5888	0.0628	0.0044	0.7637	0.2161	0.3369	0.5806
10perc_2repeat	0.7	0.5952	0.0609	0.0043	0.7357	0.2589	0.383	0.5943
10perc_5repeat	0.7	0.5978	0.0613	0.0043	0.7505	0.2468	0.3715	0.5974
10perc_10repeat	0.7	0.6016	0.0615	0.0043	0.7462	0.2683	0.3947	0.6014
20perc_2repeat	0.7	0.6027	0.0656	0.0046	0.7329	0.2716	0.3964	0.6087
20perc_5repeat	0.7	0.5877	0.059	0.0042	0.7154	0.2288	0.3467	0.5872
20perc_10repeat	0.7	0.5913	0.0651	0.0046	0.7263	0.2498	0.3717	0.5945
30perc_2repeat	0.7	0.585	0.0674	0.0048	0.6835	0.2426	0.3581	0.5825
30perc_5repeat	0.7	0.5784	0.0641	0.0045	0.6384	0.2483	0.3575	0.5685
30perc_10repeat	0.7	0.5646	0.0596	0.0042	0.6317	0.1764	0.2758	0.5603
25perc_2repeat	0.7	0.5891	0.0631	0.0045	0.7324	0.2468	0.3692	0.5912
25perc_5repeat	0.7	0.5759	0.0581	0.0041	0.6987	0.1789	0.2848	0.5696
25perc_10repeat	0.7	0.5741	0.061	0.0043	0.6953	0.1876	0.2955	0.5677
15perc_2repeat	0.6	0.584	0.0641	0.0045	0.6872	0.2416	0.3575	0.5785
15perc_5repeat	0.6	0.584	0.0569	0.004	0.7044	0.2328	0.3499	0.5789
15perc_10repeat	0.6	0.5711	0.0618	0.0044	0.6823	0.2067	0.3173	0.558
25perc_2repeat	0.6	0.5741	0.0584	0.0041	0.6687	0.2334	0.3461	0.565
25perc_5repeat	0.6	0.5686	0.0628	0.0044	0.6338	0.2342	0.342	0.5576
25perc_10repeat	0.6	0.5646	0.0624	0.0044	0.6467	0.2061	0.3126	0.5483
30perc_2repeat	0.6	0.5795	0.0635	0.0045	0.6517	0.2409	0.3518	0.5681
30perc_5repeat	0.6	0.5674	0.0586	0.0041	0.6439	0.2096	0.3162	0.5485
30perc_10repeat	0.6	0.5628	0.0578	0.0041	0.6021	0.2035	0.3042	0.5505
20perc_2repeat	0.6	0.5754	0.0591	0.0042	0.6716	0.242	0.3558	0.5715
20perc_5repeat	0.6	0.5741	0.0623	0.0044	0.6651	0.22	0.3307	0.5636
20perc_10repeat	0.6	0.5667	0.0613	0.0043	0.649	0.1942	0.2989	0.5563
0perc_2repeat	0.4	0.5946	0.0939	0.042	0.6433	0.5373	0.5856	0.6344
0perc_5repeat	0.4	0.5607	0.0661	0.0296	0.6198	0.3629	0.4578	0.5215
0perc_10repeat	0.4	0.5508	0.0246	0.011	0.6218	0.354	0.4511	0.5399
0perc_0repeat	0.7	0.5881	0.0706	0.0316	0.7837	0.2608	0.3913	0.5809
0perc_0repeat	0.7	0.5862	0.0314	0.014	0.7702	0.2318	0.3563	0.5809
0perc_0repeat	0.7	0.5843	0.0576	0.0258	0.7851	0.2274	0.3527	0.5785
0perc_0repeat	0.7	0.6003	0.0414	0.0185	0.7547	0.242	0.3665	0.5852
0perc_0repeat	0.7	0.652	0.0319	0.0143	0.8031	0.3564	0.4937	0.651
