Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median
original	0.9	0.6492	0.0651	0.0046	0.7654	0.3966	0.5224	0.6489
original	0.8	0.63	0.0585	0.0041	0.7594	0.3508	0.4799	0.6327
original	0.7	0.6185	0.0575	0.0041	0.7553	0.3133	0.4429	0.6201
original	0.6	0.5966	0.0561	0.004	0.7272	0.2597	0.3828	0.5958
original	0.5	0.5775	0.0568	0.004	0.7145	0.234	0.3525	0.565
original	0.45	0.5621	0.0622	0.0044	0.6819	0.2125	0.324	0.5421
original	0.4	0.5527	0.0561	0.004	0.6491	0.2551	0.3663	0.5389
original	0.1	0.5018	0.0301	0.0021	0.3866	0.4134	0.3996	0.5197
original	0.35	0.5348	0.045	0.0032	0.6103	0.2301	0.3342	0.528
original	0.3	0.5322	0.0452	0.0032	0.5726	0.2824	0.3782	0.5289
original	0.25	0.5253	0.0331	0.0023	0.5181	0.2138	0.3027	0.5255
original	0.2	0.516	0.0312	0.0022	0.4924	0.2746	0.3525	0.5222
original	0.05	0.501	0.0272	0.0019	0.3401	0.4349	0.3817	0.5183

5perc_2repeat	0.3	0.5288	0.0412	0.0029	0.5624	0.2342	0.3307	0.5283
5perc_5repeat	0.3	0.5357	0.0425	0.003	0.5401	0.2215	0.3142	0.5286
5perc_10repeat	0.3	0.5424	0.048	0.0034	0.582	0.2112	0.3099	0.5313

5perc_2repeat	0.25	0.5208	0.0366	0.0026	0.5061	0.2683	0.3507	0.5215
5perc_5repeat	0.25	0.5188	0.0398	0.0028	0.4978	0.3047	0.378	0.5226
5perc_10repeat	0.25	0.522	0.0378	0.0027	0.507	0.2582	0.3421	0.5234

30perc_2repeat	0.25	0.5214	0.0405	0.0029	0.4637	0.3283	0.3844	0.5219
30perc_5repeat	0.25	0.5219	0.0404	0.0029	0.409	0.2773	0.3306	0.5226
30perc_10repeat	0.25	0.525	0.041	0.0029	0.4514	0.3014	0.3614	0.525

15perc_2repeat	0.25	0.5192	0.0383	0.0027	0.467	0.2763	0.3472	0.5228
15perc_5repeat	0.25	0.5246	0.0429	0.003	0.4541	0.2763	0.3435	0.5246
15perc_10repeat	0.25	0.52	0.0392	0.0028	0.4262	0.29	0.3451	0.5206

20perc_2repeat	0.25	0.5223	0.0419	0.003	0.4459	0.2896	0.3511	0.5218
20perc_5repeat	0.25	0.5262	0.0415	0.0029	0.4232	0.2815	0.3381	0.5226
20perc_10repeat	0.25	0.5226	0.0414	0.0029	0.429	0.2617	0.3251	0.5227

25perc_2repeat	0.25	0.5178	0.0376	0.0027	0.4376	0.2853	0.3454	0.5204
25perc_5repeat	0.25	0.5231	0.038	0.0027	0.4329	0.2836	0.3427	0.523
25perc_10repeat	0.25	0.5247	0.0377	0.0027	0.4002	0.2865	0.3339	0.5228
10perc_2repeat	0.25	0.5202	0.033	0.0023	0.4821	0.2295	0.3109	0.5219
