Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
5perc_2repeat	0.1	0.2538	0.7258	0.0849	0.012	0.9375	0.3176	0.4744	0.7462	0.608	0.0129	0.0018	0.9292	0.003	0.0	0.8833	0.0038	0.0
90perc_2repeat	0.05	0.3509	0.6107	0.0085	0.0012	0.6765	0.0066	0.0131	0.609	0.6075	0.019	0.0027	0.7509	0.0057	0.0	0.5798	0.0087	0.0
70perc_2repeat	0.05	0.3421	0.6287	0.0599	0.0085	0.8203	0.0589	0.1099	0.6105	0.6081	0.0183	0.0026	0.7938	0.0061	0.0	0.6533	0.0101	0.0
5perc_10repeat	0.1	0.2982	0.682	0.0833	0.0118	0.9175	0.2013	0.3302	0.6271	0.6107	0.0132	0.0019	0.9247	0.0034	0.0	0.8664	0.0048	0.0
100perc_2repeat	0.05	0.3495	0.6091	0.0043	0.0006	0.3812	0.0032	0.0063	0.6081	0.6139	0.0213	0.003	0.7317	0.006	0.0	0.5445	0.0084	0.0
70perc_10repeat	0.1	0.3455	0.6094	0.0029	0.0004	0.6982	0.0036	0.0072	0.6086	0.6094	0.0122	0.0017	0.7351	0.0036	0.0	0.5634	0.0042	0.0
90perc_2repeat	0.1	0.3437	0.6128	0.0168	0.0024	0.8373	0.0123	0.0243	0.6097	0.6068	0.0112	0.0016	0.7443	0.0039	0.0	0.5868	0.0049	0.0
50perc_10repeat	0.05	0.3461	0.6252	0.0572	0.0081	0.8027	0.0566	0.1057	0.6107	0.6026	0.017	0.0024	0.7935	0.005	0.0	0.6515	0.0079	0.0
15perc_10repeat	0.05	0.3506	0.6326	0.0553	0.0078	0.8962	0.0702	0.1302	0.6136	0.6101	0.0179	0.0025	0.8998	0.0049	0.0	0.8268	0.0065	0.0
90perc_5repeat	0.1	0.3385	0.6086	0.0019	0.0003	0.2687	0.0003	0.0007	0.6085	0.6064	0.0154	0.0022	0.6987	0.0035	0.0	0.5063	0.0045	0.0
