Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss
30perc_10repeat	0.05	0.2243	0.6453	0.1093	0.0489	0.5182	0.6637	0.582	0.6675	0.0056	0.0025	0.6248	0.124	0.0554	0.667	0.0263	0.0118	0.0	0.0	0.0	0.1697	0.2535
15perc_10repeat	0.05	0.2521	0.5903	0.1432	0.064	0.4791	0.6314	0.5448	0.6657	0.008	0.0036	0.5693	0.1467	0.0656	0.6514	0.0294	0.0131	0.0	0.0	0.0	0.1522	0.3454
60perc_2repeat	0.1	0.2347	0.6118	0.1103	0.0493	0.4978	0.6401	0.56	0.6606	0.0067	0.003	0.6119	0.1119	0.05	0.6663	0.0356	0.0159	0.0	0.0	0.0	0.2143	0.24
60perc_10repeat	0.05	0.2839	0.4675	0.111	0.0496	0.2743	0.5363	0.363	0.3541	0.0364	0.0163	0.4695	0.1114	0.0498	0.4057	0.0381	0.017	0.0	0.0	0.0	0.2628	0.3043
5perc_10repeat	0.05	0.2282	0.612	0.1229	0.055	0.481	0.5853	0.5281	0.6672	0.0082	0.0036	0.5928	0.157	0.0702	0.655	0.0157	0.007	0.0	0.0	0.0	0.125	0.319
40perc_10repeat	0.05	0.2899	0.5012	0.1363	0.061	0.4066	0.8758	0.5553	0.6671	0.0065	0.0029	0.4895	0.1266	0.0566	0.6386	0.0332	0.0149	0.0	0.0	0.0	0.2129	0.3396
30perc_2repeat	0.1	0.2052	0.6743	0.0797	0.0356	0.5538	0.5834	0.5682	0.6621	0.0061	0.0027	0.6702	0.0915	0.0409	0.6812	0.025	0.0112	0.0	0.0	0.0	0.1952	0.2312
5perc_2repeat	0.1	0.1817	0.7234	0.0076	0.0034	0.5953	0.5041	0.5459	0.6694	0.0047	0.0021	0.7288	0.0225	0.0101	0.6939	0.0165	0.0074	0.0	0.0	0.0	0.1235	0.1959
50perc_10repeat	0.05	0.2701	0.4957	0.123	0.055	0.3859	0.7177	0.5019	0.6433	0.036	0.0161	0.4942	0.1244	0.0556	0.5876	0.0568	0.0254	0.0	0.0	0.0	0.2313	0.2886
100perc_10repeat	0.05	0.3458	0.3654	0.1167	0.0522	0.2515	0.4496	0.3225	0.3291	0.0036	0.0016	0.4145	0.1397	0.0625	0.3301	0.0288	0.0129	0.0	0.0	0.0	0.4519	0.4422
90perc_5repeat	0.1	0.3175	0.3411	0.0998	0.0446	0.17	0.3033	0.2179	0.3313	0.0083	0.0037	0.3537	0.1057	0.0472	0.3364	0.0192	0.0086	0.0	0.0	0.0	0.3568	0.3578
70perc_5repeat	0.1	0.2774	0.4304	0.1336	0.0597	0.2045	0.2493	0.2247	0.3352	0.0067	0.003	0.431	0.1349	0.0603	0.346	0.032	0.0143	0.0	0.0	0.0	0.2817	0.291
50perc_5repeat	0.1	0.2276	0.668	0.1364	0.061	0.5467	0.6479	0.593	0.6682	0.008	0.0036	0.6678	0.1364	0.061	0.6711	0.0361	0.0161	0.0	0.0	0.0	0.2087	0.2319
30perc_5repeat	0.1	0.2134	0.6817	0.1032	0.0462	0.5489	0.6532	0.5965	0.6646	0.0092	0.0041	0.6748	0.1019	0.0456	0.6787	0.0178	0.0079	0.0	0.0	0.0	0.1658	0.2271
60perc_5repeat	0.1	0.2808	0.3989	0.1545	0.0691	0.3409	0.6126	0.4381	0.4885	0.1538	0.0688	0.3989	0.1572	0.0703	0.4279	0.1252	0.056	0.0	0.0	0.0	0.2562	0.3041
5perc_5repeat	0.1	0.186	0.7129	0.0191	0.0085	0.5881	0.4854	0.5318	0.6662	0.0072	0.0032	0.7039	0.0603	0.027	0.6923	0.0131	0.0059	0.0	0.0	0.0	0.1643	0.2147
30perc_2repeat	0.2	0.1763	0.7472	0.0032	0.0014	0.6377	0.525	0.5759	0.6655	0.0078	0.0035	0.7492	0.0031	0.0014	0.7048	0.0053	0.0024	0.0	0.0	0.0	0.266	0.1788
70perc_2repeat	0.2	0.2527	0.5207	0.1481	0.0662	0.3785	0.5498	0.4484	0.674	0.0037	0.0017	0.5202	0.1499	0.067	0.5461	0.1442	0.0645	0.0	0.0	0.0	0.2489	0.2548
