Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
5perc_10repeat	0.3	0.5299	0.0404	0.0081	0.4986	0.247	0.3303
10perc_2repeat	0.3	0.526	0.0467	0.0093	0.5775	0.3124	0.4055
10perc_5repeat	0.3	0.5181	0.0478	0.0096	0.6095	0.3353	0.4326
10perc_10repeat	0.3	0.526	0.034	0.0068	0.4986	0.2691	0.3496
15perc_2repeat	0.3	0.5212	0.0483	0.0097	0.5493	0.3288	0.4113
15perc_5repeat	0.3	0.5418	0.0556	0.0111	0.6214	0.3215	0.4238
15perc_10repeat	0.3	0.5321	0.0392	0.0078	0.5461	0.2367	0.3303
20perc_2repeat	0.3	0.531	0.0316	0.0063	0.5456	0.0432	0.0801
20perc_5repeat	0.3	0.5216	0.0466	0.0093	0.5383	0.3218	0.4028
20perc_10repeat	0.3	0.5294	0.0208	0.0042	0.4638	0.0288	0.0542
25perc_2repeat	0.3	0.5242	0.0262	0.0052	0.5793	0.1049	0.1777
25perc_5repeat	0.3	0.5329	0.031	0.0062	0.5341	0.0845	0.146
25perc_10repeat	0.3	0.5266	0.0287	0.0057	0.5476	0.1453	0.2296
30perc_2repeat	0.3	0.5223	0.0384	0.0077	0.4878	0.2473	0.3282
30perc_5repeat	0.3	0.5265	0.0345	0.0069	0.53	0.328	0.4052
30perc_10repeat	0.3	0.5181	0.0462	0.0092	0.4678	0.2816	0.3515
5perc_2repeat	0.35	0.546	0.062	0.0124	0.6641	0.2416	0.3543
5perc_5repeat	0.35	0.5517	0.042	0.0084	0.6323	0.1301	0.2157
5perc_10repeat	0.35	0.5421	0.0466	0.0093	0.6286	0.3368	0.4386
10perc_2repeat	0.35	0.5326	0.0303	0.0061	0.5969	0.1247	0.2063
10perc_5repeat	0.35	0.5379	0.0551	0.011	0.591	0.2443	0.3457
10perc_10repeat	0.35	0.5249	0.0465	0.0093	0.5466	0.2868	0.3762
15perc_2repeat	0.35	0.5376	0.0432	0.0086	0.6112	0.2039	0.3057
15perc_5repeat	0.35	0.5576	0.0481	0.0096	0.6775	0.2071	0.3172
15perc_10repeat	0.35	0.5401	0.0431	0.0086	0.6133	0.2731	0.3779
20perc_2repeat	0.35	0.539	0.0605	0.0121	0.5469	0.363	0.4364
20perc_5repeat	0.35	0.5319	0.0386	0.0077	0.5831	0.1497	0.2383
20perc_10repeat	0.35	0.5364	0.0401	0.008	0.5801	0.2282	0.3275
25perc_2repeat	0.35	0.5392	0.0427	0.0085	0.5538	0.2192	0.3141
25perc_5repeat	0.35	0.5388	0.054	0.0108	0.6489	0.3285	0.4362
25perc_10repeat	0.35	0.536	0.043	0.0086	0.6261	0.181	0.2808
30perc_2repeat	0.35	0.5463	0.059	0.0118	0.6345	0.3193	0.4248
30perc_5repeat	0.35	0.5299	0.0473	0.0095	0.5699	0.134	0.217
30perc_10repeat	0.35	0.5365	0.0368	0.0074	0.6287	0.231	0.3378
5perc_2repeat	0.4	0.5331	0.0554	0.0111	0.6107	0.2646	0.3692
5perc_5repeat	0.4	0.5734	0.0575	0.0115	0.6949	0.2411	0.358
