Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
40perc_10repeat	0.05	0.3146	0.6733	0.0013	0.0002	0.0132	0.0	0.0	0.6731	0.6716	0.0241	0.0034	0.6718	0.0091	0.0	0.5053	0.0112	0.0
05perc_2repeat	0.1	0.3158	0.6735	0.0022	0.0003	0.0283	0.0	0.0	0.6735	0.6707	0.0196	0.0028	0.6654	0.0046	0.0	0.4936	0.0067	0.0
60perc_10repeat	0.1	0.3162	0.6735	0.0023	0.0003	0.014	0.0	0.0	0.6736	0.6709	0.0207	0.0029	0.6723	0.0052	0.0	0.5	0.0067	0.0
90perc_2repeat	0.1	0.3166	0.6728	0.0022	0.0003	0.0	0.0	0.0	0.6729	0.6765	0.0202	0.0029	0.6716	0.0055	0.0	0.4997	0.007	0.0
70perc_2repeat	0.1	0.3162	0.6734	0.0021	0.0003	0.019	0.0	0.0	0.6735	0.6713	0.0193	0.0027	0.6733	0.0057	0.0	0.5057	0.0085	0.0
15perc_5repeat	0.2	0.3156	0.6739	0.003	0.0004	0.0	0.0	0.0	0.6734	0.6706	0.0122	0.0017	0.6702	0.0028	0.0	0.4941	0.0038	0.0
40perc_2repeat	0.05	0.3169	0.6703	0.0197	0.0028	0.0487	0.0094	0.0157	0.673	0.6728	0.0244	0.0035	0.681	0.0098	0.0	0.501	0.0125	0.0
90perc_5repeat	0.05	0.3179	0.6661	0.0417	0.0059	0.0371	0.0242	0.0293	0.6729	0.6786	0.0291	0.0041	0.67	0.0102	0.0	0.4722	0.0141	0.0
30perc_2repeat	0.05	0.326	0.6601	0.0634	0.009	0.0224	0.039	0.0285	0.6729	0.6736	0.0303	0.0043	0.678	0.0093	0.0	0.4875	0.0131	0.0
70perc_2repeat	0.05	0.3199	0.6608	0.0545	0.0077	0.0211	0.0426	0.0283	0.6731	0.6732	0.0223	0.0032	0.6603	0.0102	0.0	0.4724	0.0145	0.0
