down0.25_0perc_0repeat	0.4	0.532	0.0202	0.0014	0.5735	0.2802	0.3765	0.5331	0.5237	0.0244	0.0017	0.6383	0.0027	0.0067	0.4108	0.0031	0.005
down0.25_0perc_0repeat	0.4	0.5312	0.0202	0.0014	0.5601	0.2325	0.3286	0.5333	0.5291	0.0242	0.0017	0.6411	0.0031	0.0075	0.4182	0.003	0.0075
down0.25_0perc_0repeat	0.4	0.5307	0.0205	0.0014	0.5491	0.2326	0.3268	0.5314	0.5282	0.0259	0.0018	0.6427	0.0027	0.0051	0.419	0.0032	0.0073
down0.25_0perc_0repeat	0.4	0.5325	0.0211	0.0015	0.5751	0.2808	0.3773	0.5351	0.5234	0.0257	0.0018	0.639	0.0027	0.0041	0.4089	0.0029	0.0077
down0.25_0perc_0repeat	0.4	0.5322	0.0201	0.0014	0.5887	0.2373	0.3382	0.5348	0.5275	0.0246	0.0017	0.641	0.0028	0.0069	0.4147	0.0028	0.007
down0.25_0perc_0repeat	0.4	0.5339	0.0187	0.0013	0.5653	0.2353	0.3323	0.5341	0.5276	0.0227	0.0016	0.6388	0.0027	0.0072	0.4178	0.0028	0.0081
down0.25_0perc_0repeat	0.4	0.5319	0.0206	0.0015	0.565	0.2383	0.3352	0.5339	0.5274	0.0246	0.0017	0.6411	0.0028	0.0064	0.4158	0.003	0.0055
down0.25_0perc_0repeat	0.4	0.5316	0.0195	0.0014	0.5731	0.2466	0.3449	0.5341	0.528	0.0243	0.0017	0.6393	0.0031	0.0088	0.4152	0.0028	0.0058
down0.25_0perc_0repeat	0.4	0.534	0.0178	0.0013	0.5771	0.2605	0.359	0.5356	0.5261	0.0242	0.0017	0.6393	0.0028	0.0066	0.4128	0.0029	0.0076
down0.25_0perc_0repeat	0.4	0.5324	0.0178	0.0013	0.5674	0.2498	0.3469	0.5341	0.5269	0.0238	0.0017	0.6369	0.0027	0.0064	0.4173	0.0028	0.0051
down0.25_0perc_0repeat	0.4	0.5332	0.0189	0.0013	0.5853	0.2659	0.3657	0.5343	0.5258	0.0241	0.0017	0.6401	0.0027	0.0047	0.4103	0.0028	0.0076
down0.25_0perc_0repeat	0.4	0.5344	0.0184	0.0013	0.5693	0.2548	0.3521	0.5361	0.5249	0.0242	0.0017	0.6443	0.0027	0.0067	0.4123	0.0029	0.0071
down0.25_0perc_0repeat	0.4	0.5322	0.0199	0.0014	0.5771	0.239	0.3381	0.5341	0.5282	0.0255	0.0018	0.6423	0.0027	0.0071	0.415	0.0027	0.0091
down0.25_0perc_0repeat	0.4	0.5326	0.02	0.0014	0.5597	0.2409	0.3368	0.5347	0.5283	0.0262	0.0019	0.6418	0.0028	0.0093	0.4186	0.0029	0.0046
down0.25_0perc_0repeat	0.4	0.5308	0.0234	0.0017	0.5567	0.2616	0.356	0.5335	0.5247	0.0272	0.0019	0.6395	0.0028	0.0077	0.4146	0.0034	0.0056
down0.25_0perc_0repeat	0.4	0.5315	0.019	0.0013	0.5572	0.2045	0.2992	0.5308	0.5308	0.0261	0.0018	0.6465	0.003	0.0061	0.4234	0.0027	0.0079
down0.25_0perc_0repeat	0.4	0.5314	0.0213	0.0015	0.5609	0.2701	0.3646	0.5342	0.5251	0.0264	0.0019	0.6386	0.0027	0.0075	0.412	0.0029	0.0101
down0.25_0perc_0repeat	0.4	0.5313	0.0202	0.0014	0.5728	0.2249	0.323	0.534	0.5277	0.0245	0.0017	0.6419	0.003	0.0053	0.4192	0.0026	0.0067
down0.25_0perc_0repeat	0.4	0.5338	0.0191	0.0014	0.5718	0.2346	0.3327	0.5349	0.5291	0.0228	0.0016	0.6411	0.0026	0.0075	0.4152	0.0031	0.0084
down0.25_0perc_0repeat	0.4	0.532	0.0192	0.0014	0.5664	0.2578	0.3544	0.5338	0.5268	0.0249	0.0018	0.6392	0.0028	0.0064	0.4134	0.003	0.0061
down0.25_0perc_0repeat	0.4	0.5315	0.0196	0.0014	0.569	0.2337	0.3314	0.5316	0.5289	0.0248	0.0018	0.6427	0.0028	0.0062	0.4184	0.003	0.0078
down0.25_0perc_0repeat	0.4	0.532	0.0179	0.0013	0.5646	0.1982	0.2934	0.5347	0.5306	0.0247	0.0017	0.6429	0.0026	0.0057	0.4241	0.0028	0.0055
down0.25_0perc_0repeat	0.4	0.5323	0.02	0.0014	0.5558	0.2304	0.3258	0.5346	0.5279	0.0231	0.0016	0.6417	0.0027	0.0073	0.4183	0.0031	0.0073
down0.25_0perc_0repeat	0.4	0.5322	0.0177	0.0013	0.5808	0.2196	0.3187	0.534	0.5288	0.0256	0.0018	0.6427	0.0029	0.0085	0.418	0.0027	0.0091
down0.25_0perc_0repeat	0.4	0.5301	0.0192	0.0014	0.5433	0.2184	0.3116	0.5308	0.5321	0.0267	0.0019	0.6468	0.0029	0.004	0.4207	0.0032	0.0076
