squaredLoss	0.1	0.2	0.5	0.9

original	0.0776	0.0467	0.044	0.0425
05perc_10repeat	0.0764	0.0465	0.0441	0.042
05perc_2repeat	0.0737	0.0474	0.0446	0.0438
05perc_5repeat	0.0641	0.0468	0.0441	0.0435
15perc_10repeat	0.0853	0.0476	0.0448	0.0442
15perc_2repeat	0.0746	0.0477	0.0441	0.0439
15perc_5repeat	0.0805	0.0467	0.0435	0.0424
30perc_10repeat	0.1228	0.0557	0.0457	0.0439
30perc_2repeat	0.1041	0.0525	0.0449	0.0443
30perc_5repeat	0.1192	0.0546	0.0448	0.0437
40perc_10repeat	0.1362	0.0718	0.0464	0.0437
40perc_2repeat	0.1305	0.0536	0.0448	0.045
40perc_5repeat	0.1583	0.0611	0.0462	0.0434
50perc_10repeat	0.1599	0.0823	0.0493	0.0477
50perc_2repeat	0.1371	0.0625	0.0461	0.044
50perc_5repeat	0.1675	0.0756	0.0483	0.0455
60perc_10repeat	0.2439	0.1378	0.0532	0.0504
60perc_2repeat	0.1763	0.0784	0.0478	0.0452
60perc_5repeat	0.2069	0.1085	0.0504	0.0483
70perc_10repeat	0.3102	0.1668	0.0646	0.0546
70perc_2repeat	0.2033	0.0991	0.0491	0.0461
70perc_5repeat	0.2534	0.1511	0.0543	0.0528
90perc_10repeat	0.3769	0.2989	0.1597	0.0765
90perc_2repeat	0.2496	0.1401	0.0574	0.055
90perc_5repeat	0.3406	0.2343	0.0988	0.0653
100perc_10repeat	0.3977	0.3545	0.2668	0.1325
100perc_2repeat	0.2989	0.174	0.066	0.058
100perc_5repeat	0.3712	0.3105	0.1811	0.0785
