Label	trainingSize	Accuracy_Mean	Accuracy_SD	Precision_Mean	Recall_Mean	F1
5perc_10flips	0.5	0.5679	0.0565	0.1176	0.4794	0.1889















5perc_2flips	0.6	0.6006	0.0587	0.1766	0.469	0.2565
5perc_5flips	0.6	0.5959	0.0686	0.1812	0.4742	0.2622
5perc_10flips	0.6	0.5885	0.0567	0.1388	0.4763	0.2149















5perc_2flips	0.7	0.6358	0.0537	0.2299	0.463	0.3072
5perc_5flips	0.7	0.6106	0.0612	0.1922	0.474	0.2735
5perc_10flips	0.7	0.6314	0.067	0.2401	0.4591	0.3153














