Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
40perc_2repeat	0.1	0.3596	0.4924	0.0265	0.0019	0.4835	0.716	0.5772	0.4783	0.5113	0.0428	0.003	0.543	0.0064	0.0	0.5175	0.0068	0.0
50perc_5repeat	0.2	0.2988	0.4901	0.029	0.002	0.4807	0.8275	0.6082	0.4819	0.5018	0.0184	0.0013	0.5226	0.0021	0.0	0.5121	0.0026	0.0
50perc_5repeat	0.1	0.3217	0.4914	0.0243	0.0017	0.4789	0.7593	0.5874	0.4815	0.5049	0.0261	0.0018	0.5217	0.0044	0.0	0.5085	0.0044	0.0
40perc_5repeat	0.1	0.3327	0.4921	0.0258	0.0018	0.4818	0.7041	0.5721	0.4771	0.5089	0.03	0.0021	0.523	0.0048	0.0	0.5019	0.005	0.0
100perc_10repeat	0.1	0.4194	0.4856	0.0213	0.0015	0.4763	0.8751	0.6169	0.4777	0.4796	0.0485	0.0034	0.5869	0.0099	0.0	0.6257	0.0094	0.0
70perc_10repeat	0.1	0.3373	0.487	0.0218	0.0015	0.4779	0.8567	0.6135	0.4782	0.4914	0.0233	0.0017	0.5146	0.004	0.0	0.5323	0.0041	0.0
60perc_10repeat	0.1	0.3098	0.4856	0.0215	0.0015	0.4769	0.8451	0.6097	0.4775	0.4982	0.0189	0.0013	0.507	0.0033	0.0	0.5116	0.0032	0.0
80perc_10repeat	0.1	0.3678	0.4882	0.0236	0.0017	0.4795	0.8495	0.613	0.4778	0.4892	0.0305	0.0022	0.5273	0.0052	0.0	0.5539	0.0053	0.0
50perc_2repeat	0.05	0.3867	0.4923	0.0237	0.0017	0.4828	0.6941	0.5695	0.4817	0.505	0.0513	0.0036	0.5237	0.0113	0.0	0.5032	0.0114	0.0
40perc_2repeat	0.05	0.3884	0.4959	0.0252	0.0018	0.4789	0.6115	0.5372	0.4892	0.5132	0.0589	0.0042	0.5429	0.0121	0.0	0.4827	0.0115	0.0
15perc_10repeat	0.1	0.3727	0.4963	0.0291	0.0021	0.4829	0.67	0.5613	0.4836	0.5195	0.044	0.0031	0.571	0.0072	0.0	0.5254	0.0077	0.0
5perc_2repeat	0.05	0.4256	0.4948	0.0244	0.0017	0.4182	0.6008	0.4932	0.4875	0.5293	0.0844	0.006	0.5878	0.0178	0.0	0.4884	0.0178	0.0
30perc_10repeat	0.1	0.3352	0.4948	0.0269	0.0019	0.486	0.7002	0.5737	0.4851	0.5098	0.0323	0.0023	0.534	0.005	0.0	0.5088	0.0049	0.0
100perc_2repeat	0.05	0.4296	0.481	0.0138	0.001	0.4725	0.8561	0.6089	0.4756	0.4902	0.029	0.0021	0.5898	0.0144	0.0	0.6106	0.015	0.0
