0.05	0.2	0.6831	0.0215	0.0068	0.5314	0.5494	0.5402	0.6642	0.0084	0.0026	0.6172	0.0989	0.0313	0.6532	0.0208	0.0066	0.0	0.0	0.0
0.1	0.1947	0.6926	0.0424	0.0134	0.5585	0.5296	0.5437	0.6675	0.0061	0.0019	0.6724	0.0818	0.0259	0.6803	0.0187	0.0059	0.0	0.0	0.0
0.2	0.1738	0.7334	0.0049	0.0016	0.6286	0.4684	0.5368	0.6666	0.0074	0.0023	0.7456	0.0037	0.0012	0.7077	0.007	0.0022	0.0	0.0	0.0
0.3	0.1715	0.7426	0.0059	0.0019	0.6186	0.5637	0.5899	0.6712	0.0041	0.0013	0.7413	0.0134	0.0042	0.7081	0.011	0.0035	0.0	0.0	0.0
0.4	0.1669	0.7514	0.0048	0.0015	0.6399	0.545	0.5887	0.6733	0.0042	0.0013	0.7518	0.0042	0.0013	0.7211	0.0121	0.0038	0.0	0.0	0.0
0.5	0.1673	0.748	0.0034	0.0011	0.6458	0.5296	0.582	0.6692	0.0052	0.0016	0.7489	0.0036	0.0011	0.7233	0.0052	0.0016	0.0	0.0	0.0
0.6	0.1677	0.748	0.0064	0.002	0.6409	0.5154	0.5714	0.6743	0.009	0.0028	0.7488	0.0061	0.0019	0.7308	0.01	0.0032	0.0	0.0	0.0
0.7	0.172	0.7414	0.0072	0.0023	0.6388	0.4776	0.5465	0.6736	0.0082	0.0026	0.7417	0.0069	0.0022	0.7306	0.011	0.0035	0.0	0.0	0.0
0.8	0.1704	0.7465	0.007	0.0022	0.6605	0.4629	0.5444	0.6729	0.009	0.0029	0.7466	0.0074	0.0023	0.7408	0.0082	0.0026	0.0	0.0	0.0
0.9	0.1774	0.7314	0.0193	0.0061	0.6417	0.4267	0.5126	0.6692	0.0179	0.0057	0.7318	0.0198	0.0063	0.7263	0.0203	0.0064	0.0	0.0	0.0
