Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss
70perc_10repeat	0.25	0.2944	0.3104	0.0272	0.0122	0.3134	0.4072	0.3542	0.2641	0.0058	0.0026	0.3104	0.0268	0.012	0.2648	0.0134	0.006	0.0	0.0	0.0	0.2096	0.2955
15perc_5repeat	0.3	0.1987	0.7149	0.0229	0.0102	0.7178	0.6705	0.6933	0.7373	0.0086	0.0039	0.7113	0.0244	0.0109	0.7395	0.01	0.0045	0.0	0.0	0.0	0.3175	0.2002
100perc_10repeat	0.25	0.4083	0.3431	0.0372	0.0166	0.3105	0.4166	0.3558	0.2641	0.0058	0.0026	0.3605	0.0453	0.0203	0.2759	0.0122	0.0055	0.0	0.0	0.0	0.1567	0.4202
50perc_10repeat	0.2	0.2462	0.5567	0.0452	0.0202	0.5423	0.5685	0.5551	0.7359	0.0057	0.0026	0.5556	0.046	0.0206	0.6676	0.0585	0.0261	0.0	0.0	0.0	0.2526	0.2495
5perc_5repeat	0.35	0.1982	0.7153	0.0189	0.0084	0.7263	0.6418	0.6815	0.727	0.02	0.0089	0.7102	0.0241	0.0108	0.7317	0.0109	0.0049	0.0	0.0	0.0	0.333	0.2009
40perc_2repeat	0.35	0.2272	0.6314	0.0445	0.0199	0.6341	0.5949	0.6139	0.7246	0.0181	0.0081	0.6318	0.0466	0.0208	0.6965	0.0159	0.0071	0.0	0.0	0.0	0.2745	0.2326
30perc_5repeat	0.35	0.2128	0.6789	0.0545	0.0244	0.6794	0.666	0.6726	0.7419	0.0133	0.006	0.6756	0.0541	0.0242	0.722	0.0172	0.0077	0.0	0.0	0.0	0.2759	0.2145
100perc_10repeat	0.2	0.4107	0.3031	0.0389	0.0174	0.3035	0.4079	0.348	0.2641	0.0065	0.0029	0.327	0.0382	0.0171	0.2738	0.0121	0.0054	0.0	0.0	0.0	0.2857	0.4236
15perc_2repeat	0.4	0.2077	0.6937	0.0492	0.022	0.6821	0.712	0.6967	0.7371	0.0112	0.005	0.6925	0.0505	0.0226	0.7263	0.0088	0.0039	0.0	0.0	0.0	0.3721	0.21
30perc_2repeat	0.4	0.2144	0.687	0.0458	0.0205	0.6806	0.6777	0.6791	0.7382	0.01	0.0045	0.6856	0.0474	0.0212	0.7203	0.0112	0.005	0.0	0.0	0.0	0.3501	0.215
90perc_5repeat	0.3	0.346	0.3026	0.0378	0.0169	0.3109	0.4236	0.3586	0.2627	0.0086	0.0039	0.304	0.0379	0.017	0.2672	0.0142	0.0064	0.0	0.0	0.0	0.2627	0.3485
40perc_2repeat	0.4	0.2254	0.6588	0.0756	0.0338	0.661	0.7046	0.6821	0.7371	0.0112	0.005	0.6567	0.0747	0.0334	0.7102	0.0202	0.009	0.0	0.0	0.0	0.3045	0.2308
40perc_10repeat	0.25	0.2308	0.6392	0.0644	0.0288	0.6182	0.7083	0.6602	0.7178	0.0326	0.0146	0.6363	0.069	0.0309	0.7156	0.0358	0.016	0.0	0.0	0.0	0.3092	0.2332
15perc_5repeat	0.35	0.202	0.7028	0.0236	0.0106	0.7178	0.6201	0.6654	0.727	0.02	0.0089	0.695	0.0274	0.0123	0.7323	0.0103	0.0046	0.0	0.0	0.0	0.3046	0.2052
100perc_5repeat	0.3	0.3815	0.2872	0.0213	0.0095	0.2942	0.3791	0.3313	0.2627	0.0086	0.0039	0.2911	0.0249	0.0112	0.2605	0.01	0.0045	0.0	0.0	0.0	0.2802	0.3832
50perc_5repeat	0.35	0.233	0.6504	0.0635	0.0284	0.6364	0.6352	0.6358	0.7305	0.0376	0.0168	0.6537	0.0597	0.0267	0.7141	0.0306	0.0137	0.0	0.0	0.0	0.254	0.2328
5perc_2repeat	0.4	0.2119	0.6881	0.0516	0.0231	0.6791	0.7089	0.6937	0.7371	0.0112	0.005	0.6815	0.0553	0.0247	0.7293	0.0113	0.005	0.0	0.0	0.0	0.4047	0.2173
60perc_5repeat	0.35	0.252	0.5271	0.0482	0.0216	0.5099	0.5566	0.5322	0.5643	0.1686	0.0754	0.5281	0.048	0.0215	0.5611	0.0938	0.0419	0.0	0.0	0.0	0.2507	0.2532
50perc_2repeat	0.4	0.2283	0.6445	0.0429	0.0192	0.6506	0.6367	0.6435	0.7226	0.0227	0.0102	0.644	0.0442	0.0198	0.6902	0.0384	0.0172	0.0	0.0	0.0	0.2862	0.2289
80perc_10repeat	0.25	0.3414	0.3744	0.0438	0.0196	0.3467	0.4898	0.406	0.2804	0.0334	0.0149	0.3836	0.04	0.0179	0.2932	0.0167	0.0075	0.0	0.0	0.0	0.1853	0.3524
60perc_2repeat	0.4	0.2355	0.5938	0.0267	0.012	0.6311	0.4217	0.5056	0.6903	0.0263	0.0117	0.589	0.0244	0.0109	0.6567	0.0146	0.0065	0.0	0.0	0.0	0.2872	0.2362
100perc_2repeat	0.35	0.3062	0.2834	0.0109	0.0049	0.2844	0.344	0.3114	0.273	0.02	0.0089	0.286	0.0097	0.0043	0.27	0.0111	0.0049	0.0	0.0	0.0	0.2536	0.3067
5perc_10repeat	0.2	0.2146	0.6938	0.0391	0.0175	0.7132	0.5835	0.6419	0.7359	0.0065	0.0029	0.6584	0.0384	0.0172	0.72	0.0172	0.0077	0.0	0.0	0.0	0.3285	0.2439
80perc_5repeat	0.35	0.3089	0.2996	0.0397	0.0178	0.3054	0.3981	0.3456	0.2769	0.0275	0.0123	0.2979	0.0411	0.0184	0.2809	0.0231	0.0103	0.0	0.0	0.0	0.2543	0.3112
15perc_10repeat	0.3	0.2066	0.69	0.0289	0.0129	0.7165	0.587	0.6453	0.7373	0.0086	0.0039	0.6822	0.0329	0.0147	0.7384	0.0113	0.0051	0.0	0.0	0.0	0.3151	0.2137
30perc_10repeat	0.3	0.2153	0.6682	0.0361	0.0162	0.702	0.5719	0.6303	0.7373	0.0086	0.0039	0.6645	0.0346	0.0155	0.7349	0.0152	0.0068	0.0	0.0	0.0	0.2756	0.2175
70perc_2repeat	0.4	0.2474	0.5574	0.024	0.0107	0.5398	0.5682	0.5536	0.6925	0.0507	0.0227	0.557	0.0286	0.0128	0.5887	0.057	0.0255	0.0	0.0	0.0	0.2547	0.2479
50perc_10repeat	0.3	0.2408	0.5894	0.0256	0.0114	0.5684	0.5486	0.5583	0.7217	0.0259	0.0116	0.5926	0.0257	0.0115	0.6843	0.0462	0.0207	0.0	0.0	0.0	0.2526	0.2411
100perc_2repeat	0.4	0.3019	0.3094	0.0434	0.0194	0.283	0.2947	0.2887	0.2629	0.0112	0.005	0.3085	0.0409	0.0183	0.272	0.0078	0.0035	0.0	0.0	0.0	0.2241	0.3021
80perc_2repeat	0.4	0.2666	0.4444	0.0352	0.0157	0.436	0.5676	0.4932	0.3812	0.0858	0.0384	0.4429	0.0402	0.018	0.4097	0.0705	0.0315	0.0	0.0	0.0	0.2479	0.2673
90perc_5repeat	0.35	0.339	0.2786	0.0168	0.0075	0.2778	0.3344	0.3035	0.273	0.02	0.0089	0.2801	0.0205	0.0092	0.2666	0.011	0.0049	0.0	0.0	0.0	0.2614	0.3398
5perc_10repeat	0.3	0.1996	0.7098	0.018	0.0081	0.7344	0.6095	0.6661	0.7373	0.0086	0.0039	0.704	0.0243	0.0108	0.7401	0.0109	0.0049	0.0	0.0	0.0	0.3433	0.2036
100perc_5repeat	0.35	0.3755	0.2771	0.0104	0.0047	0.2764	0.331	0.3012	0.273	0.02	0.0089	0.2786	0.0111	0.0049	0.2689	0.0123	0.0055	0.0	0.0	0.0	0.2747	0.3777
90perc_2repeat	0.4	0.2839	0.3635	0.0202	0.009	0.3319	0.3503	0.3409	0.2629	0.0112	0.005	0.3666	0.022	0.0098	0.2863	0.0131	0.0059	0.0	0.0	0.0	0.2354	0.2844
40perc_5repeat	0.35	0.2178	0.6898	0.034	0.0152	0.6722	0.7101	0.6906	0.7419	0.0133	0.006	0.6889	0.0368	0.0164	0.7225	0.0227	0.0101	0.0	0.0	0.0	0.2636	0.2183
40perc_10repeat	0.3	0.2244	0.647	0.0324	0.0145	0.7004	0.456	0.5524	0.7373	0.0086	0.0039	0.645	0.0324	0.0145	0.7129	0.03	0.0134	0.0	0.0	0.0	0.2626	0.2261
60perc_10repeat	0.3	0.2738	0.4534	0.0444	0.0198	0.4254	0.507	0.4627	0.2899	0.0276	0.0123	0.4564	0.0448	0.02	0.3777	0.0555	0.0248	0.0	0.0	0.0	0.2494	0.2765
80perc_10repeat	0.3	0.3389	0.2807	0.0084	0.0038	0.2911	0.3672	0.3248	0.2627	0.0086	0.0039	0.2858	0.0102	0.0045	0.2633	0.0105	0.0047	0.0	0.0	0.0	0.2617	0.3399
100perc_10repeat	0.3	0.418	0.2874	0.0235	0.0105	0.2938	0.3785	0.3308	0.2627	0.0086	0.0039	0.2923	0.0276	0.0124	0.2599	0.0109	0.0049	0.0	0.0	0.0	0.2987	0.4207
15perc_5repeat	0.4	0.2105	0.6849	0.0445	0.0199	0.6748	0.7016	0.688	0.7371	0.0112	0.005	0.6785	0.0491	0.022	0.7263	0.0109	0.0049	0.0	0.0	0.0	0.3703	0.2147
15perc_2repeat	0.45	0.1989	0.7131	0.0137	0.0061	0.7302	0.6414	0.6829	0.749	0.0152	0.0068	0.7115	0.0128	0.0057	0.7394	0.0144	0.0064	0.0	0.0	0.0	0.3753	0.1992
30perc_5repeat	0.4	0.2153	0.679	0.052	0.0233	0.6618	0.7207	0.69	0.7371	0.0112	0.005	0.6791	0.0513	0.0229	0.7263	0.008	0.0036	0.0	0.0	0.0	0.3168	0.2165
40perc_2repeat	0.45	0.2103	0.7013	0.0314	0.0141	0.7262	0.6079	0.6618	0.7496	0.0146	0.0065	0.7003	0.0323	0.0145	0.7439	0.0141	0.0063	0.0	0.0	0.0	0.3094	0.2104
5perc_2repeat	0.45	0.2046	0.7101	0.0441	0.0197	0.7441	0.6047	0.6672	0.7302	0.0368	0.0165	0.708	0.0447	0.02	0.7349	0.0163	0.0073	0.0	0.0	0.0	0.3992	0.2064
50perc_2repeat	0.45	0.2216	0.6763	0.035	0.0156	0.6922	0.6027	0.6444	0.712	0.0328	0.0147	0.6736	0.0366	0.0164	0.7193	0.0155	0.0069	0.0	0.0	0.0	0.2819	0.2224
70perc_2repeat	0.45	0.2453	0.5636	0.0442	0.0198	0.5545	0.436	0.4881	0.6346	0.1296	0.0579	0.5601	0.0423	0.0189	0.6016	0.0714	0.0319	0.0	0.0	0.0	0.2545	0.2456
50perc_5repeat	0.4	0.2287	0.656	0.0297	0.0133	0.6518	0.6529	0.6523	0.7349	0.0149	0.0067	0.6525	0.0353	0.0158	0.7233	0.011	0.0049	0.0	0.0	0.0	0.2812	0.2289
5perc_10repeat	0.35	0.1976	0.7146	0.0192	0.0086	0.731	0.6304	0.677	0.727	0.02	0.0089	0.7112	0.0224	0.01	0.7306	0.0104	0.0046	0.0	0.0	0.0	0.3287	0.2
70perc_5repeat	0.4	0.2757	0.3853	0.0516	0.0231	0.3663	0.4038	0.3841	0.2737	0.0305	0.0137	0.3832	0.0564	0.0252	0.3449	0.0579	0.0259	0.0	0.0	0.0	0.245	0.2763
80perc_2repeat	0.45	0.2692	0.431	0.0271	0.0121	0.4145	0.5308	0.4655	0.3273	0.0724	0.0324	0.4269	0.0297	0.0133	0.3706	0.08	0.0358	0.0	0.0	0.0	0.2462	0.2702
70perc_10repeat	0.3	0.3031	0.3621	0.0403	0.018	0.3388	0.437	0.3817	0.2779	0.0255	0.0114	0.3645	0.0412	0.0184	0.2818	0.0339	0.0151	0.0	0.0	0.0	0.2523	0.3049
15perc_10repeat	0.35	0.1998	0.7082	0.0318	0.0142	0.7319	0.604	0.6618	0.727	0.02	0.0089	0.7047	0.0366	0.0164	0.7288	0.0104	0.0047	0.0	0.0	0.0	0.3059	0.2024
5perc_5repeat	0.4	0.2108	0.6897	0.0473	0.0212	0.6792	0.7118	0.6951	0.7371	0.0112	0.005	0.6854	0.0529	0.0236	0.7293	0.0112	0.005	0.0	0.0	0.0	0.4009	0.2149
100perc_5repeat	0.4	0.3675	0.3025	0.0431	0.0193	0.2742	0.2834	0.2787	0.2629	0.0112	0.005	0.3082	0.0472	0.0211	0.2719	0.0091	0.0041	0.0	0.0	0.0	0.2144	0.3677
100perc_2repeat	0.45	0.3032	0.2858	0.0216	0.0097	0.2931	0.3727	0.3282	0.251	0.0152	0.0068	0.2853	0.0201	0.009	0.2626	0.0143	0.0064	0.0	0.0	0.0	0.2268	0.3034
60perc_2repeat	0.45	0.2298	0.6516	0.0623	0.0279	0.6832	0.4832	0.566	0.7062	0.044	0.0197	0.6512	0.0606	0.0271	0.702	0.0408	0.0182	0.0	0.0	0.0	0.2697	0.2301
60perc_10repeat	0.35	0.2717	0.3694	0.0244	0.0109	0.3688	0.4844	0.4188	0.2864	0.0255	0.0114	0.3685	0.0287	0.0128	0.3029	0.0499	0.0223	0.0	0.0	0.0	0.2496	0.2724
80perc_5repeat	0.4	0.3085	0.3235	0.0293	0.0131	0.3208	0.3951	0.3541	0.2629	0.0112	0.005	0.3237	0.0287	0.0128	0.285	0.0148	0.0066	0.0	0.0	0.0	0.2235	0.3094
90perc_5repeat	0.4	0.3367	0.3134	0.0357	0.016	0.2822	0.2971	0.2895	0.2629	0.0112	0.005	0.3197	0.0373	0.0167	0.2702	0.0112	0.005	0.0	0.0	0.0	0.2126	0.3366
30perc_2repeat	0.45	0.2067	0.691	0.0185	0.0083	0.7163	0.6092	0.6584	0.749	0.0152	0.0068	0.6911	0.0183	0.0082	0.7375	0.0144	0.0065	0.0	0.0	0.0	0.3345	0.2073
5perc_2repeat	0.5	0.1944	0.7276	0.0237	0.0106	0.7241	0.6827	0.7028	0.7452	0.0096	0.0043	0.7278	0.0237	0.0106	0.737	0.0115	0.0051	0.0	0.0	0.0	0.347	0.1947
50perc_10repeat	0.35	0.2398	0.5929	0.0368	0.0165	0.5823	0.5704	0.5763	0.7419	0.0133	0.006	0.5889	0.036	0.0161	0.6819	0.0417	0.0186	0.0	0.0	0.0	0.2527	0.2404
100perc_10repeat	0.35	0.4107	0.278	0.0096	0.0043	0.2779	0.3346	0.3036	0.273	0.02	0.0089	0.2803	0.0126	0.0056	0.2706	0.0103	0.0046	0.0	0.0	0.0	0.2902	0.4135
70perc_10repeat	0.35	0.2884	0.3162	0.0444	0.0199	0.3061	0.3809	0.3394	0.2769	0.0275	0.0123	0.3156	0.0436	0.0195	0.2819	0.0242	0.0108	0.0	0.0	0.0	0.2508	0.2893
15perc_2repeat	0.5	0.1973	0.7173	0.0253	0.0113	0.7225	0.6513	0.6851	0.7477	0.0136	0.0061	0.7183	0.0261	0.0117	0.7356	0.0129	0.0058	0.0	0.0	0.0	0.3235	0.1977
30perc_2repeat	0.5	0.206	0.7099	0.0281	0.0126	0.7039	0.6715	0.6874	0.7477	0.0136	0.0061	0.7069	0.0312	0.0139	0.7385	0.0158	0.0071	0.0	0.0	0.0	0.3021	0.2062
60perc_5repeat	0.4	0.2599	0.4837	0.0048	0.0021	0.4703	0.693	0.5603	0.6199	0.1456	0.0651	0.4848	0.0017	0.0007	0.4872	0.0144	0.0065	0.0	0.0	0.0	0.26	0.2613
90perc_10repeat	0.35	0.3695	0.286	0.0113	0.005	0.2874	0.3506	0.3159	0.2769	0.0275	0.0123	0.2886	0.0167	0.0075	0.2729	0.0151	0.0068	0.0	0.0	0.0	0.272	0.3717
80perc_10repeat	0.35	0.332	0.2903	0.0179	0.008	0.2934	0.3633	0.3247	0.273	0.02	0.0089	0.2909	0.0186	0.0083	0.2689	0.01	0.0045	0.0	0.0	0.0	0.2594	0.3337
40perc_2repeat	0.5	0.216	0.6745	0.0499	0.0223	0.6854	0.5905	0.6344	0.7477	0.0136	0.0061	0.6673	0.0502	0.0225	0.7167	0.0325	0.0145	0.0	0.0	0.0	0.2752	0.2173
5perc_5repeat	0.45	0.1963	0.7252	0.03	0.0134	0.75	0.6375	0.6892	0.749	0.0152	0.0068	0.7248	0.0303	0.0136	0.7407	0.0132	0.0059	0.0	0.0	0.0	0.3981	0.1972
30perc_5repeat	0.45	0.2101	0.7079	0.0443	0.0198	0.7385	0.5997	0.6619	0.749	0.0152	0.0068	0.708	0.0436	0.0195	0.7336	0.0179	0.008	0.0	0.0	0.0	0.3133	0.2103
50perc_2repeat	0.5	0.215	0.6823	0.0183	0.0082	0.7106	0.552	0.6213	0.7477	0.0136	0.0061	0.688	0.0182	0.0082	0.7183	0.0378	0.0169	0.0	0.0	0.0	0.2734	0.2147
90perc_2repeat	0.45	0.2835	0.3547	0.0327	0.0146	0.341	0.4261	0.3788	0.2698	0.0368	0.0165	0.3561	0.0363	0.0162	0.2812	0.0232	0.0104	0.0	0.0	0.0	0.2335	0.2841
60perc_2repeat	0.5	0.2363	0.6173	0.0497	0.0222	0.5963	0.6978	0.6431	0.7452	0.0096	0.0043	0.6188	0.0525	0.0235	0.6877	0.0414	0.0185	0.0	0.0	0.0	0.2601	0.2366
90perc_10repeat	0.3	0.3779	0.3066	0.0283	0.0127	0.3065	0.395	0.3452	0.2627	0.0086	0.0039	0.3127	0.0281	0.0125	0.2643	0.0123	0.0055	0.0	0.0	0.0	0.2771	0.3823
30perc_10repeat	0.35	0.213	0.675	0.0288	0.0129	0.6979	0.5926	0.641	0.7459	0.0204	0.0091	0.6709	0.031	0.0139	0.726	0.006	0.0027	0.0	0.0	0.0	0.2716	0.214
60perc_5repeat	0.45	0.2524	0.5047	0.0362	0.0162	0.4882	0.5935	0.5357	0.4733	0.1287	0.0576	0.5041	0.0415	0.0185	0.5143	0.0366	0.0164	0.0	0.0	0.0	0.2533	0.2529
5perc_10repeat	0.4	0.209	0.6926	0.0391	0.0175	0.6826	0.7032	0.6928	0.7371	0.0112	0.005	0.6909	0.0424	0.019	0.7298	0.0106	0.0047	0.0	0.0	0.0	0.4083	0.2126
70perc_2repeat	0.5	0.2451	0.5468	0.0547	0.0245	0.5412	0.469	0.5025	0.649	0.0913	0.0408	0.5445	0.0483	0.0216	0.5446	0.0735	0.0329	0.0	0.0	0.0	0.253	0.2453
40perc_10repeat	0.4	0.2289	0.637	0.0443	0.0198	0.6103	0.7184	0.6599	0.7382	0.01	0.0045	0.6416	0.0472	0.0211	0.7051	0.0382	0.0171	0.0	0.0	0.0	0.2878	0.2287
80perc_2repeat	0.5	0.2634	0.4154	0.0458	0.0205	0.3837	0.3964	0.3899	0.2665	0.0361	0.0162	0.4187	0.047	0.021	0.3223	0.0535	0.0239	0.0	0.0	0.0	0.2483	0.2633
100perc_5repeat	0.45	0.3702	0.2752	0.028	0.0125	0.2829	0.3593	0.3166	0.251	0.0152	0.0068	0.2738	0.0279	0.0125	0.2626	0.0137	0.0061	0.0	0.0	0.0	0.2194	0.3711
15perc_10repeat	0.4	0.2101	0.6849	0.0528	0.0236	0.6683	0.7231	0.6946	0.7371	0.0112	0.005	0.6815	0.0555	0.0248	0.7275	0.0085	0.0038	0.0	0.0	0.0	0.3565	0.2128
90perc_2repeat	0.5	0.2822	0.3074	0.0173	0.0077	0.2927	0.3505	0.319	0.2523	0.0136	0.0061	0.3095	0.0159	0.0071	0.2561	0.0119	0.0053	0.0	0.0	0.0	0.2474	0.2823
100perc_2repeat	0.5	0.3031	0.2819	0.0195	0.0087	0.2826	0.3464	0.3113	0.2523	0.0136	0.0061	0.2802	0.0196	0.0088	0.2561	0.0133	0.006	0.0	0.0	0.0	0.2453	0.303
15perc_5repeat	0.45	0.2053	0.6991	0.0428	0.0191	0.743	0.5657	0.6424	0.7302	0.0368	0.0165	0.6962	0.0438	0.0196	0.7329	0.0231	0.0103	0.0	0.0	0.0	0.3583	0.2066
60perc_10repeat	0.4	0.2643	0.4171	0.0494	0.0221	0.3935	0.42	0.4063	0.3038	0.0266	0.0119	0.4282	0.0478	0.0214	0.3558	0.0886	0.0396	0.0	0.0	0.0	0.2387	0.2639
5perc_5repeat	0.5	0.1936	0.7278	0.0251	0.0112	0.7298	0.6698	0.6985	0.7477	0.0136	0.0061	0.7269	0.0273	0.0122	0.737	0.0146	0.0065	0.0	0.0	0.0	0.3404	0.1939
40perc_5repeat	0.4	0.2267	0.6512	0.0601	0.0269	0.6549	0.6604	0.6576	0.7371	0.0112	0.005	0.6522	0.0589	0.0263	0.7122	0.0275	0.0123	0.0	0.0	0.0	0.2918	0.2282
50perc_5repeat	0.45	0.2404	0.6053	0.064	0.0286	0.6229	0.566	0.5931	0.7513	0.0193	0.0086	0.6073	0.0666	0.0298	0.6643	0.0641	0.0287	0.0	0.0	0.0	0.2625	0.2411
50perc_10repeat	0.4	0.2485	0.5388	0.034	0.0152	0.5417	0.5954	0.5673	0.7242	0.0232	0.0104	0.5452	0.0338	0.0151	0.616	0.0338	0.0151	0.0	0.0	0.0	0.261	0.2489
70perc_5repeat	0.45	0.2805	0.3707	0.0633	0.0283	0.3529	0.4149	0.3814	0.285	0.0346	0.0155	0.3726	0.0626	0.028	0.3035	0.0485	0.0217	0.0	0.0	0.0	0.2369	0.2799
5perc_2repeat	0.6	0.1912	0.7316	0.0208	0.0093	0.7327	0.6834	0.7072	0.7556	0.0136	0.0061	0.7301	0.0223	0.01	0.7386	0.0151	0.0067	0.0	0.0	0.0	0.3644	0.1916
70perc_10repeat	0.4	0.2921	0.3267	0.0436	0.0195	0.2996	0.3157	0.3074	0.2624	0.0114	0.0051	0.3301	0.0408	0.0183	0.279	0.0149	0.0067	0.0	0.0	0.0	0.2346	0.2924
15perc_5repeat	0.5	0.2054	0.701	0.0426	0.019	0.7116	0.6176	0.6613	0.7452	0.0096	0.0043	0.7003	0.0466	0.0208	0.7293	0.0188	0.0084	0.0	0.0	0.0	0.317	0.2057
80perc_5repeat	0.45	0.3166	0.3038	0.023	0.0103	0.3212	0.4418	0.372	0.251	0.0152	0.0068	0.3054	0.0256	0.0115	0.2769	0.0125	0.0056	0.0	0.0	0.0	0.2287	0.3171
80perc_10repeat	0.4	0.3261	0.3373	0.0491	0.022	0.3101	0.3297	0.3196	0.2629	0.0112	0.005	0.3364	0.0499	0.0223	0.282	0.0195	0.0087	0.0	0.0	0.0	0.2226	0.3273
15perc_2repeat	0.6	0.1962	0.7211	0.0326	0.0146	0.7385	0.639	0.6852	0.7508	0.0147	0.0066	0.7186	0.0339	0.0152	0.7368	0.0331	0.0148	0.0	0.0	0.0	0.3449	0.1959
90perc_10repeat	0.4	0.3601	0.3085	0.0447	0.02	0.2798	0.2896	0.2846	0.2629	0.0112	0.005	0.3116	0.046	0.0206	0.2719	0.0112	0.005	0.0	0.0	0.0	0.2157	0.361
40perc_5repeat	0.5	0.2143	0.6769	0.0265	0.0118	0.7161	0.5122	0.5972	0.7477	0.0136	0.0061	0.6779	0.0256	0.0114	0.711	0.0296	0.0132	0.0	0.0	0.0	0.2755	0.2146
30perc_2repeat	0.6	0.2097	0.7035	0.0468	0.0209	0.7182	0.631	0.6717	0.7298	0.0522	0.0233	0.7058	0.0444	0.0199	0.7309	0.0309	0.0138	0.0	0.0	0.0	0.307	0.2093
50perc_5repeat	0.5	0.2256	0.6887	0.0268	0.012	0.6947	0.5996	0.6437	0.7503	0.0107	0.0048	0.693	0.0276	0.0124	0.7391	0.016	0.0072	0.0	0.0	0.0	0.2568	0.2255
50perc_2repeat	0.6	0.2201	0.6669	0.0279	0.0125	0.7126	0.5108	0.5951	0.7476	0.0262	0.0117	0.6715	0.0293	0.0131	0.6908	0.0242	0.0108	0.0	0.0	0.0	0.2824	0.2201
5perc_10repeat	0.45	0.1979	0.7234	0.0346	0.0155	0.749	0.6357	0.6877	0.749	0.0152	0.0068	0.7211	0.0347	0.0155	0.7381	0.0134	0.006	0.0	0.0	0.0	0.397	0.1989
60perc_2repeat	0.6	0.2302	0.6376	0.0375	0.0168	0.6454	0.5802	0.6111	0.7153	0.0548	0.0245	0.6422	0.0391	0.0175	0.6831	0.037	0.0166	0.0	0.0	0.0	0.2739	0.2299
80perc_2repeat	0.6	0.264	0.4323	0.0432	0.0193	0.413	0.5193	0.4601	0.3032	0.1173	0.0525	0.4329	0.0429	0.0192	0.3889	0.0603	0.0269	0.0	0.0	0.0	0.248	0.2637
70perc_5repeat	0.5	0.2789	0.3507	0.0424	0.019	0.3252	0.3767	0.3491	0.2677	0.0335	0.015	0.3481	0.0389	0.0174	0.2829	0.0292	0.0131	0.0	0.0	0.0	0.2432	0.2788
80perc_5repeat	0.5	0.3107	0.3244	0.048	0.0215	0.3187	0.4192	0.3621	0.2523	0.0136	0.0061	0.3215	0.0491	0.0219	0.2772	0.0301	0.0134	0.0	0.0	0.0	0.2522	0.3112
30perc_5repeat	0.5	0.2046	0.7216	0.0268	0.012	0.716	0.6844	0.6998	0.7477	0.0136	0.0061	0.7195	0.0252	0.0113	0.739	0.0104	0.0046	0.0	0.0	0.0	0.2893	0.2044
40perc_2repeat	0.6	0.2076	0.7107	0.0435	0.0194	0.7114	0.672	0.6911	0.7605	0.0174	0.0078	0.7108	0.0434	0.0194	0.7248	0.0333	0.0149	0.0	0.0	0.0	0.2988	0.2072
15perc_10repeat	0.45	0.2038	0.7049	0.0379	0.017	0.7405	0.589	0.6561	0.749	0.0152	0.0068	0.7036	0.0392	0.0176	0.7349	0.0158	0.0071	0.0	0.0	0.0	0.3591	0.2048
90perc_2repeat	0.6	0.2807	0.3252	0.0358	0.016	0.322	0.3972	0.3557	0.2742	0.0528	0.0236	0.3194	0.0354	0.0158	0.2659	0.0274	0.0123	0.0	0.0	0.0	0.2391	0.2812
40perc_5repeat	0.45	0.2173	0.6934	0.0234	0.0105	0.7111	0.6128	0.6583	0.749	0.0152	0.0068	0.6922	0.0237	0.0106	0.7278	0.0207	0.0093	0.0	0.0	0.0	0.2847	0.2174
70perc_10repeat	0.45	0.2962	0.308	0.0212	0.0095	0.3188	0.4186	0.362	0.2704	0.045	0.0201	0.31	0.0204	0.0091	0.2729	0.018	0.008	0.0	0.0	0.0	0.2322	0.2964
80perc_10repeat	0.45	0.3316	0.3164	0.029	0.0129	0.3207	0.432	0.3681	0.251	0.0152	0.0068	0.3186	0.0294	0.0131	0.2715	0.0184	0.0082	0.0	0.0	0.0	0.225	0.3321
40perc_10repeat	0.45	0.2273	0.6585	0.0456	0.0204	0.6813	0.5752	0.6238	0.7314	0.0372	0.0166	0.6556	0.0466	0.0209	0.715	0.0276	0.0123	0.0	0.0	0.0	0.2786	0.2274
50perc_10repeat	0.45	0.2437	0.565	0.0308	0.0138	0.5529	0.4788	0.5132	0.6962	0.0353	0.0158	0.5565	0.0333	0.0149	0.5986	0.0496	0.0222	0.0	0.0	0.0	0.2567	0.2443
100perc_2repeat	0.6	0.3011	0.2813	0.0175	0.0078	0.2864	0.3498	0.315	0.2395	0.0174	0.0078	0.2774	0.0167	0.0074	0.2571	0.0161	0.0072	0.0	0.0	0.0	0.2352	0.3013
90perc_10repeat	0.45	0.3692	0.2874	0.0317	0.0142	0.302	0.3991	0.3438	0.251	0.0152	0.0068	0.2905	0.0318	0.0142	0.2612	0.0139	0.0062	0.0	0.0	0.0	0.2216	0.3698
60perc_5repeat	0.5	0.254	0.4832	0.0278	0.0124	0.4491	0.4658	0.4573	0.3877	0.0912	0.0408	0.4874	0.0256	0.0114	0.4447	0.0465	0.0208	0.0	0.0	0.0	0.2513	0.2538
100perc_10repeat	0.4	0.3999	0.305	0.046	0.0206	0.2753	0.2825	0.2789	0.2629	0.0112	0.005	0.3082	0.0496	0.0222	0.2719	0.0091	0.0041	0.0	0.0	0.0	0.2153	0.4017
