Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss
70perc_2repeat	0.2	0.27	0.5196	0.0593	0.0265	0.521	0.5238	0.5224	0.6185	0.1216	0.0544	0.5204	0.058	0.0259	0.5574	0.0825	0.0369	0.0	0.0	0.0	0.2525	0.2932
60perc_2repeat	0.2	0.2434	0.57	0.0363	0.0162	0.5512	0.5499	0.5505	0.7379	0.0071	0.0032	0.5658	0.0353	0.0158	0.6512	0.1076	0.0481	0.0	0.0	0.0	0.2562	0.2475
40perc_2repeat	0.2	0.2298	0.6252	0.0628	0.0281	0.6694	0.4862	0.5633	0.7359	0.0065	0.0029	0.6156	0.0678	0.0303	0.7114	0.0251	0.0112	0.0	0.0	0.0	0.2794	0.2466
100perc_10repeat	0.1	0.4179	0.3476	0.0607	0.0271	0.3394	0.5031	0.4054	0.2599	0.0068	0.003	0.4067	0.0724	0.0324	0.2826	0.0249	0.0112	0.0	0.0	0.0	0.311	0.4553
50perc_10repeat	0.1	0.2613	0.5307	0.0495	0.0221	0.5116	0.5257	0.5185	0.6229	0.1204	0.0538	0.5291	0.0485	0.0217	0.592	0.0985	0.0441	0.0	0.0	0.0	0.251	0.2733
60perc_10repeat	0.1	0.2911	0.4828	0.0337	0.0151	0.4592	0.4546	0.4569	0.3832	0.149	0.0666	0.4876	0.0332	0.0149	0.4031	0.1038	0.0464	0.0	0.0	0.0	0.2501	0.3152
30perc_10repeat	0.1	0.2254	0.6426	0.0432	0.0193	0.7224	0.4114	0.5243	0.7244	0.0313	0.014	0.609	0.0593	0.0265	0.7325	0.0204	0.0091	0.0	0.0	0.0	0.279	0.287
80perc_10repeat	0.1	0.3501	0.3814	0.0519	0.0232	0.3979	0.65	0.4936	0.2599	0.0068	0.003	0.4051	0.055	0.0246	0.3008	0.0544	0.0243	0.0	0.0	0.0	0.2641	0.4202
15perc_10repeat	0.1	0.2215	0.6782	0.0319	0.0143	0.7006	0.5973	0.6448	0.7401	0.0068	0.003	0.5879	0.0539	0.0241	0.7168	0.0346	0.0155	0.0	0.0	0.0	0.3183	0.3515
70perc_10repeat	0.1	0.3121	0.3979	0.0536	0.024	0.345	0.4142	0.3765	0.2599	0.0068	0.003	0.4117	0.0523	0.0234	0.3049	0.0503	0.0225	0.0	0.0	0.0	0.2543	0.3411
100perc_2repeat	0.2	0.3103	0.3186	0.0282	0.0126	0.3174	0.4239	0.363	0.2641	0.0065	0.0029	0.3266	0.0305	0.0136	0.2744	0.0119	0.0053	0.0	0.0	0.0	0.2524	0.3134
40perc_2repeat	0.25	0.2393	0.6103	0.066	0.0295	0.6137	0.5996	0.6065	0.7389	0.0074	0.0033	0.6018	0.0584	0.0261	0.6925	0.05	0.0223	0.0	0.0	0.0	0.3495	0.2554
30perc_2repeat	0.25	0.2225	0.6631	0.0641	0.0287	0.7006	0.4999	0.5835	0.7389	0.0074	0.0033	0.6497	0.071	0.0318	0.7177	0.0168	0.0075	0.0	0.0	0.0	0.4084	0.2491
15perc_2repeat	0.25	0.2202	0.6634	0.0524	0.0234	0.6684	0.647	0.6576	0.7389	0.0074	0.0033	0.645	0.0571	0.0255	0.7308	0.0111	0.0049	0.0	0.0	0.0	0.4545	0.242
5perc_2repeat	0.25	0.2141	0.6886	0.0384	0.0172	0.6982	0.628	0.6612	0.7355	0.0059	0.0027	0.6605	0.0575	0.0257	0.7208	0.0167	0.0075	0.0	0.0	0.0	0.4981	0.2421
