Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
5perc_5repeat	0.45	0.3221	0.068	0.0048	0.6665	0.2169	0.3273	0.3264	0.5243	0.0217	0.0015	0.6227	0.0023	0.0	0.4299	0.0024	0.0
15perc_2repeat	0.45	0.3156	0.0628	0.0044	0.6201	0.2276	0.3329	0.3193	0.523	0.0207	0.0015	0.6036	0.0022	0.0	0.4493	0.0023	0.0
15perc_5repeat	0.45	0.3063	0.0615	0.0044	0.6178	0.2045	0.3073	0.3074	0.5211	0.0194	0.0014	0.5898	0.002	0.0	0.4615	0.0018	0.0
15perc_2repeat	0.05	0.4207	0.0774	0.0055	0.3323	0.4455	0.3807	0.4405	0.5194	0.075	0.0053	0.5539	0.014	0.0	0.4802	0.0161	0.0
15perc_5repeat	0.05	0.4194	0.0741	0.0052	0.3274	0.4192	0.3677	0.4413	0.5221	0.0661	0.0047	0.532	0.0156	0.0	0.4956	0.016	0.0
15perc_2repeat	0.4	0.3247	0.0631	0.0045	0.59	0.2475	0.3487	0.3318	0.521	0.0239	0.0017	0.5989	0.0025	0.0	0.4519	0.0026	0.0
15perc_5repeat	0.4	0.3136	0.0653	0.0046	0.5699	0.216	0.3132	0.3065	0.5215	0.0202	0.0014	0.5893	0.0022	0.0	0.46	0.0023	0.0
5perc_2repeat	0.4	0.3299	0.0676	0.0048	0.6589	0.2348	0.3463	0.3356	0.5233	0.0226	0.0016	0.6267	0.0027	0.0	0.4251	0.0026	0.0
5perc_5repeat	0.4	0.3276	0.0649	0.0046	0.6492	0.2352	0.3453	0.3345	0.5233	0.0206	0.0015	0.6215	0.0024	0.0	0.4298	0.0027	0.0
5perc_2repeat	0.35	0.3492	0.0679	0.0048	0.6101	0.2315	0.3357	0.3599	0.5251	0.0272	0.0019	0.6319	0.0031	0.0	0.4213	0.0028	0.0
5perc_5repeat	0.35	0.3551	0.0627	0.0044	0.591	0.2312	0.3323	0.3667	0.5262	0.0252	0.0018	0.6269	0.003	0.0	0.4297	0.003	0.0
15perc_2repeat	0.35	0.3386	0.0654	0.0046	0.543	0.2667	0.3577	0.3415	0.5213	0.0255	0.0018	0.6007	0.0028	0.0	0.4487	0.0029	0.0
15perc_5repeat	0.35	0.3292	0.0619	0.0044	0.5423	0.2165	0.3095	0.3271	0.5219	0.0224	0.0016	0.5937	0.0025	0.0	0.4595	0.0027	0.0
5perc_2repeat	0.3	0.3604	0.0631	0.0045	0.5613	0.2317	0.328	0.3698	0.5229	0.0276	0.002	0.6263	0.0033	0.0	0.4245	0.0036	0.0
5perc_5repeat	0.3	0.3631	0.0674	0.0048	0.5304	0.2543	0.3438	0.3775	0.5266	0.0292	0.0021	0.624	0.0033	0.0	0.4344	0.0035	0.0
15perc_2repeat	0.3	0.3435	0.063	0.0045	0.5188	0.2291	0.3178	0.3513	0.522	0.0279	0.002	0.6038	0.003	0.0	0.4514	0.0035	0.0
15perc_5repeat	0.3	0.348	0.0683	0.0048	0.4484	0.2377	0.3107	0.3564	0.5246	0.0268	0.0019	0.5972	0.0032	0.0	0.4644	0.0032	0.0
5perc_2repeat	0.25	0.3809	0.0613	0.0043	0.5417	0.2541	0.3459	0.3902	0.524	0.035	0.0025	0.6279	0.0039	0.0	0.4269	0.004	0.0
5perc_5repeat	0.25	0.3762	0.0617	0.0044	0.5219	0.2247	0.3142	0.3878	0.5267	0.0302	0.0021	0.6239	0.0037	0.0	0.4364	0.0042	0.0
15perc_2repeat	0.25	0.3579	0.0625	0.0044	0.5	0.2746	0.3545	0.3637	0.52	0.0288	0.002	0.6001	0.0037	0.0	0.4525	0.0039	0.0
15perc_5repeat	0.25	0.3481	0.0627	0.0044	0.46	0.2597	0.332	0.3581	0.5214	0.0259	0.0018	0.5904	0.0033	0.0	0.4629	0.0034	0.0
15perc_2repeat	0.2	0.3747	0.0664	0.0047	0.4251	0.2822	0.3392	0.3874	0.5251	0.0374	0.0026	0.6012	0.0044	0.0	0.4552	0.0051	0.0
15perc_5repeat	0.2	0.3663	0.0632	0.0045	0.399	0.2589	0.3141	0.3732	0.5209	0.0314	0.0022	0.5899	0.004	0.0	0.4675	0.0045	0.0
5perc_2repeat	0.2	0.3918	0.0651	0.0046	0.4615	0.2731	0.3431	0.4084	0.5253	0.0378	0.0027	0.622	0.0045	0.0	0.4335	0.0051	0.0
5perc_5repeat	0.2	0.3879	0.0641	0.0045	0.4678	0.2911	0.3589	0.4047	0.5226	0.036	0.0025	0.6134	0.0049	0.0	0.4325	0.0048	0.0
5perc_2repeat	0.1	0.4276	0.0705	0.005	0.3614	0.4506	0.4011	0.4492	0.5245	0.0584	0.0041	0.5991	0.0095	0.0	0.4352	0.0103	0.0
5perc_5repeat	0.1	0.4112	0.0712	0.005	0.3678	0.3584	0.3631	0.429	0.5275	0.0534	0.0038	0.5993	0.0088	0.0	0.4463	0.0087	0.0
15perc_2repeat	0.1	0.407	0.0634	0.0045	0.3127	0.3644	0.3366	0.4218	0.5251	0.0548	0.0039	0.587	0.0082	0.0	0.4802	0.009	0.0
15perc_5repeat	0.1	0.3966	0.0686	0.0049	0.3328	0.3669	0.349	0.4097	0.5175	0.0459	0.0032	0.5784	0.0072	0.0	0.4697	0.0083	0.0
5perc_2repeat	0.05	0.4284	0.0667	0.0047	0.3304	0.4079	0.3651	0.4495	0.5261	0.0791	0.0056	0.5835	0.0176	0.0	0.4715	0.0166	0.0
5perc_5repeat	0.05	0.4223	0.0753	0.0053	0.3089	0.3921	0.3456	0.4455	0.5247	0.0799	0.0057	0.5565	0.0179	0.0	0.54	0.0196	0.0
