Label	trainingSize	Accuracy_Mean	Accuracy_SD	Precision_Mean	Recall_Mean	F1
20perc_2repeat	0.25	0.5207	0.043	0.2338	0.4748	0.3133
20perc_5repeat	0.25	0.5131	0.0526	0.4134	0.4702	0.44
20perc_10repeat	0.25	0.5161	0.0345	0.2512	0.4742	0.3284
25perc_2repeat	0.25	0.5286	0.0309	0.1339	0.4766	0.209
25perc_5repeat	0.25	0.5085	0.0293	0.318	0.4726	0.3802
25perc_10repeat	0.25	0.5167	0.0398	0.2335	0.4742	0.3129
30perc_2repeat	0.25	0.5118	0.0302	0.2507	0.4772	0.3287
30perc_5repeat	0.25	0.533	0.0509	0.3188	0.4717	0.3804
30perc_10repeat	0.25	0.5068	0.0372	0.3566	0.4723	0.4063
5perc_2repeat	0.3	0.5396	0.0401	0.1983	0.4733	0.2795
5perc_5repeat	0.3	0.5411	0.0439	0.1825	0.4735	0.2634
5perc_10repeat	0.3	0.5462	0.0459	0.1492	0.4716	0.2267
10perc_2repeat	0.3	0.5271	0.0361	0.2054	0.4746	0.2867
10perc_5repeat	0.3	0.5424	0.0455	0.1673	0.4739	0.2474
10perc_10repeat	0.3	0.5187	0.0287	0.1759	0.4757	0.2568
15perc_2repeat	0.3	0.519	0.0301	0.247	0.4744	0.3248
15perc_5repeat	0.3	0.5219	0.0423	0.2178	0.4733	0.2983
15perc_10repeat	0.3	0.5363	0.0395	0.2233	0.4687	0.3025
20perc_2repeat	0.3	0.5421	0.0577	0.2258	0.4721	0.3055
20perc_5repeat	0.3	0.5141	0.0591	0.4513	0.4675	0.4593
20perc_10repeat	0.3	0.5232	0.0453	0.3017	0.4695	0.3673
25perc_2repeat	0.3	0.519	0.0452	0.3284	0.4711	0.387
25perc_5repeat	0.3	0.5305	0.0374	0.1475	0.4724	0.2248
25perc_10repeat	0.3	0.5376	0.0446	0.2269	0.4712	0.3063
30perc_2repeat	0.3	0.5312	0.0422	0.2746	0.4712	0.347
30perc_5repeat	0.3	0.5235	0.035	0.2143	0.4708	0.2945
30perc_10repeat	0.3	0.5363	0.0391	0.2864	0.4694	0.3557
5perc_2repeat	0.35	0.548	0.0545	0.254	0.4701	0.3298
5perc_5repeat	0.35	0.5443	0.0408	0.2176	0.4736	0.2982
5perc_10repeat	0.35	0.5506	0.0472	0.1733	0.4678	0.2529
10perc_2repeat	0.35	0.5397	0.0414	0.2576	0.4695	0.3326
10perc_5repeat	0.35	0.5604	0.0429	0.1042	0.4715	0.1707
10perc_10repeat	0.35	0.539	0.044	0.1875	0.4691	0.268
15perc_2repeat	0.35	0.5401	0.0508	0.2442	0.4743	0.3224
15perc_5repeat	0.35	0.5464	0.0583	0.1411	0.4721	0.2172
