Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
0perc_0repeat	0.4	0.5584	0.0463	0.0046	0.6874	0.1985	0.308
0perc_0repeat	0.4	0.5536	0.0588	0.0059	0.6409	0.2386	0.3478
0perc_0repeat	0.4	0.5606	0.0544	0.0054	0.6451	0.2313	0.3406
0perc_0repeat	0.4	0.5509	0.049	0.0049	0.6525	0.2141	0.3224
0perc_0repeat	0.4	0.5463	0.0476	0.0048	0.6449	0.2311	0.3403
0perc_0repeat	0.4	0.5559	0.0502	0.005	0.6301	0.2421	0.3498
0perc_0repeat	0.4	0.5618	0.0544	0.0054	0.6501	0.221	0.3299
0perc_0repeat	0.4	0.561	0.0577	0.0058	0.6705	0.253	0.3674
0perc_0repeat	0.4	0.553	0.0586	0.0059	0.6188	0.231	0.3365
0perc_0repeat	0.4	0.5518	0.0501	0.005	0.6606	0.1791	0.2818
0perc_0repeat	0.4	0.5459	0.0452	0.0045	0.6124	0.1997	0.3012
0perc_0repeat	0.4	0.5566	0.0495	0.005	0.6362	0.1906	0.2933
0perc_0repeat	0.4	0.5534	0.0527	0.0053	0.6536	0.2354	0.3461
0perc_0repeat	0.4	0.5546	0.0561	0.0056	0.6378	0.23	0.3381
0perc_0repeat	0.4	0.5521	0.0513	0.0051	0.6398	0.2203	0.3277
0perc_0repeat	0.4	0.5476	0.052	0.0052	0.6709	0.2249	0.3369
0perc_0repeat	0.4	0.5571	0.0528	0.0053	0.636	0.2882	0.3966
0perc_0repeat	0.4	0.5612	0.0582	0.0058	0.6415	0.2168	0.3241
0perc_0repeat	0.4	0.5578	0.054	0.0054	0.6534	0.2084	0.3161
0perc_0repeat	0.4	0.5497	0.0528	0.0053	0.6316	0.2121	0.3176
0perc_0repeat	0.4	0.5526	0.0475	0.0048	0.6683	0.2012	0.3093
0perc_0repeat	0.4	0.5545	0.0518	0.0052	0.6344	0.2161	0.3224
0perc_0repeat	0.4	0.5504	0.0466	0.0047	0.6329	0.1855	0.2869
0perc_0repeat	0.4	0.5523	0.0531	0.0053	0.6571	0.2421	0.3538
0perc_0repeat	0.4	0.5544	0.0567	0.0057	0.6116	0.2615	0.3664
0perc_0repeat	0.4	0.5556	0.0511	0.0051	0.6364	0.2123	0.3184
0perc_0repeat	0.4	0.5523	0.0517	0.0052	0.6363	0.1867	0.2887
0perc_0repeat	0.4	0.5456	0.0459	0.0046	0.6436	0.2088	0.3153
0perc_0repeat	0.4	0.5602	0.054	0.0054	0.6459	0.2274	0.3364
0perc_0repeat	0.4	0.5529	0.0529	0.0053	0.6634	0.1968	0.3035
0perc_0repeat	0.4	0.551	0.0512	0.0051	0.6249	0.1986	0.3014
0perc_0repeat	0.4	0.5465	0.0516	0.0052	0.6053	0.2212	0.324
0perc_0repeat	0.4	0.556	0.0507	0.0051	0.6536	0.2314	0.3418
0perc_0repeat	0.4	0.5497	0.0491	0.0049	0.6455	0.1792	0.2806
0perc_0repeat	0.4	0.5568	0.0544	0.0054	0.653	0.2753	0.3874
0perc_0repeat	0.4	0.5518	0.0487	0.0049	0.6499	0.2214	0.3303
0perc_0repeat	0.4	0.5524	0.0468	0.0047	0.6868	0.1891	0.2966
0perc_0repeat	0.4	0.5643	0.057	0.0057	0.6664	0.2397	0.3525
0perc_0repeat	0.4	0.5542	0.054	0.0054	0.6386	0.2687	0.3782
0perc_0repeat	0.4	0.5501	0.0547	0.0055	0.6248	0.2345	0.341
0perc_0repeat	0.4	0.5621	0.0523	0.0052	0.6594	0.2202	0.3302
0perc_0repeat	0.4	0.5494	0.0479	0.0048	0.6529	0.2295	0.3396
0perc_0repeat	0.4	0.5423	0.0477	0.0048	0.6515	0.1929	0.2976
0perc_0repeat	0.4	0.5489	0.053	0.0053	0.6481	0.2514	0.3623
0perc_0repeat	0.4	0.5621	0.0591	0.0059	0.6404	0.2303	0.3388
0perc_0repeat	0.4	0.5526	0.0538	0.0054	0.6437	0.2141	0.3214
0perc_0repeat	0.4	0.5559	0.0511	0.0051	0.6199	0.1823	0.2817
0perc_0repeat	0.4	0.5759	0.059	0.0059	0.6638	0.2927	0.4063
0perc_0repeat	0.4	0.5583	0.0471	0.0047	0.692	0.1936	0.3025
0perc_0repeat	0.4	0.5554	0.0567	0.0057	0.6619	0.2283	0.3395
0perc_0repeat	0.4	0.5668	0.0572	0.0057	0.6769	0.2243	0.337
0perc_0repeat	0.4	0.5538	0.0535	0.0054	0.6603	0.2152	0.3246
0perc_0repeat	0.4	0.5465	0.0531	0.0053	0.6035	0.1779	0.2748
0perc_0repeat	0.4	0.5549	0.0524	0.0052	0.645	0.2506	0.361
0perc_0repeat	0.4	0.5589	0.0568	0.0057	0.6824	0.2865	0.4036
0perc_0repeat	0.4	0.5555	0.0536	0.0054	0.6584	0.2289	0.3397
0perc_0repeat	0.4	0.5537	0.0571	0.0057	0.6318	0.2607	0.3691
0perc_0repeat	0.4	0.5451	0.0458	0.0046	0.6113	0.3225	0.4222
0perc_0repeat	0.4	0.5544	0.054	0.0054	0.6439	0.2385	0.3481
0perc_0repeat	0.4	0.5543	0.0542	0.0054	0.6626	0.19	0.2954
0perc_0repeat	0.4	0.5615	0.0546	0.0055	0.6685	0.2442	0.3577
0perc_0repeat	0.4	0.5514	0.0508	0.0051	0.68	0.234	0.3482
