0.25	0.2113	0.6995	0.0249	0.0079	0.7141	0.6384	0.6742	0.7374	0.0068	0.0021	0.634	0.0369	0.0117	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2666
0.25	0.2113	0.6987	0.0246	0.0078	0.7131	0.6373	0.6731	0.7374	0.0068	0.0021	0.6336	0.0372	0.0118	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2666
0.25	0.2115	0.6985	0.0234	0.0074	0.713	0.638	0.6734	0.7374	0.0068	0.0021	0.6342	0.0375	0.0119	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2665
0.25	0.2114	0.699	0.0249	0.0079	0.7136	0.6377	0.6735	0.7374	0.0068	0.0021	0.6332	0.0375	0.0119	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2665
0.25	0.2114	0.6987	0.0243	0.0077	0.7135	0.6371	0.6731	0.7374	0.0068	0.0021	0.6339	0.0373	0.0118	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2666
0.25	0.2126	0.6964	0.0204	0.0065	0.713	0.6308	0.6694	0.7374	0.0068	0.0021	0.6336	0.0369	0.0117	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2666
0.25	0.2114	0.6989	0.0241	0.0076	0.7136	0.6379	0.6736	0.7374	0.0068	0.0021	0.6343	0.0375	0.0118	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2665
0.25	0.2125	0.6963	0.0215	0.0068	0.713	0.63	0.6689	0.7374	0.0068	0.0021	0.6338	0.0371	0.0117	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2665
0.25	0.2114	0.6995	0.0239	0.0076	0.7137	0.6391	0.6744	0.7374	0.0068	0.0021	0.6335	0.0372	0.0118	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2666
0.25	0.2132	0.6964	0.0264	0.0084	0.7138	0.6291	0.6688	0.7374	0.0068	0.0021	0.6342	0.0371	0.0117	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2665
0.25	0.2124	0.6956	0.0208	0.0066	0.712	0.6297	0.6684	0.7374	0.0068	0.0021	0.6336	0.0371	0.0117	0.7242	0.0144	0.0046	0.0	0.0	0.0	0.4705	0.2666
