PriorClass0	0.1	0.2	0.5	0.9

original	0.4815	0.4776	0.481	0.4802
05perc_10repeat	0.4766	0.4788	0.4788	0.4795
05perc_2repeat	0.4761	0.4812	0.4796	0.4797
05perc_5repeat	0.4784	0.4779	0.4791	0.48
15perc_10repeat	0.4839	0.48	0.4799	0.48
15perc_2repeat	0.4833	0.4815	0.4794	0.4794
15perc_5repeat	0.4749	0.4771	0.4806	0.4799
30perc_10repeat	0.4788	0.4786	0.4791	0.4795
30perc_2repeat	0.4854	0.4767	0.4795	0.4795
30perc_5repeat	0.478	0.4787	0.4793	0.4797
40perc_10repeat	0.4787	0.4798	0.4801	0.4798
40perc_2repeat	0.4808	0.4796	0.4793	0.479
40perc_5repeat	0.4775	0.4802	0.4795	0.4798
50perc_10repeat	0.481	0.4806	0.48	0.4797
50perc_2repeat	0.477	0.482	0.4789	0.4795
50perc_5repeat	0.4824	0.4837	0.4808	0.4799
60perc_10repeat	0.48	0.4787	0.48	0.4792
60perc_2repeat	0.4791	0.4792	0.4774	0.4792
60perc_5repeat	0.4824	0.4767	0.4796	0.4799
70perc_10repeat	0.4815	0.4804	0.4799	0.4794
70perc_2repeat	0.4761	0.4784	0.4791	0.4796
70perc_5repeat	0.4759	0.4806	0.48	0.4794
90perc_10repeat	0.4776	0.4797	0.4799	0.4796
90perc_2repeat	0.484	0.4801	0.4797	0.4793
90perc_5repeat	0.4744	0.4777	0.4785	0.4794
100perc_10repeat	0.4753	0.4838	0.48	0.4788
100perc_2repeat	0.4783	0.4782	0.4791	0.4792
100perc_5repeat	0.4802	0.4786	0.4795	0.4805
