0perc_0repeat	0.9	0.3058	0.1061	0.2192	0.1185	0.1873	0.0124	-0.0319
100perc_2repeat	0.9	0.27	0.091	0.2102	0.1841	0.0855	0.0931	-0.1248
0perc_0repeat	0.7	0.3119	0.1074	0.2201	0.1192	0.1925	0.0119	-0.0276
0perc_0repeat	0.8	0.3087	0.1064	0.2196	0.1185	0.1901	0.0121	-0.0296
100perc_2repeat	0.7	0.3217	0.09	0.2099	0.2224	0.0981	0.1323	-0.1118
100perc_2repeat	0.8	0.2886	0.0909	0.2103	0.1981	0.0897	0.1073	-0.1206
0perc_0repeat	0.5	0.3135	0.1067	0.2199	0.1179	0.1955	0.0112	-0.0244
60perc_10repeat	0.9	0.2724	0.1086	0.2204	0.2522	0.0197	0.1436	-0.2007
0perc_0repeat	0.45	0.3144	0.1068	0.22	0.118	0.1962	0.0112	-0.0237
0perc_0repeat	0.4	0.3143	0.1065	0.2198	0.1175	0.1967	0.011	-0.0231
100perc_2repeat	0.45	0.4744	0.091	0.2105	0.3355	0.1373	0.2446	-0.0732
0perc_0repeat	0.35	0.3153	0.1068	0.22	0.1176	0.1975	0.0109	-0.0224
100perc_2repeat	0.35	0.5143	0.0908	0.2104	0.363	0.1505	0.2722	-0.06
60perc_10repeat	0.7	0.2838	0.1075	0.2202	0.2601	0.0231	0.1527	-0.1971
0perc_0repeat	0.6	0.3122	0.1066	0.2198	0.1182	0.1939	0.0116	-0.026
60perc_10repeat	0.6	0.2899	0.1082	0.2206	0.2641	0.0251	0.1559	-0.1955
0perc_0repeat	0.25	0.3163	0.107	0.2201	0.1176	0.1985	0.0106	-0.0216
100perc_2repeat	0.25	0.5418	0.0911	0.2106	0.3801	0.1604	0.289	-0.0503
60perc_10repeat	0.5	0.298	0.1085	0.2208	0.2692	0.0282	0.1606	-0.1926
100perc_2repeat	0.2	0.5482	0.0919	0.2111	0.3823	0.1575	0.2904	-0.0536
60perc_10repeat	0.45	0.3043	0.1092	0.2211	0.273	0.0306	0.1638	-0.1905
60perc_10repeat	0.4	0.3045	0.1085	0.2208	0.2731	0.0306	0.1645	-0.1902
60perc_10repeat	0.35	0.3079	0.1086	0.2208	0.275	0.032	0.1664	-0.1888
100perc_2repeat	0.6	0.3779	0.0904	0.2102	0.2651	0.1109	0.1746	-0.0992
60perc_10repeat	0.3	0.3123	0.11	0.2215	0.2773	0.034	0.1673	-0.1875
60perc_10repeat	0.2	0.3251	0.1114	0.2221	0.2834	0.0403	0.172	-0.1818
0perc_0repeat	0.2	0.3161	0.1067	0.2199	0.1174	0.1986	0.0106	-0.0214
100perc_2repeat	0.5	0.4433	0.0909	0.2105	0.3133	0.128	0.2224	-0.0824
60perc_10repeat	0.8	0.2754	0.1082	0.2205	0.2552	0.0196	0.147	-0.2008
100perc_2repeat	0.4	0.4924	0.0903	0.2101	0.3481	0.1422	0.2578	-0.0679
0perc_0repeat	0.3	0.3157	0.1068	0.22	0.1174	0.1981	0.0107	-0.0218
100perc_2repeat	0.3	0.5278	0.0909	0.2105	0.3714	0.1546	0.2804	-0.0559
0perc_0repeat	0.1	0.3165	0.1068	0.22	0.1175	0.1986	0.0108	-0.0214
60perc_10repeat	0.25	0.3216	0.1111	0.222	0.282	0.0384	0.171	-0.1836
100perc_2repeat	0.1	0.547	0.0956	0.2132	0.3745	0.1511	0.2789	-0.0621
100perc_2repeat	0.05	0.5304	0.1053	0.2173	0.3548	0.1391	0.2496	-0.0781
60perc_10repeat	0.1	0.3309	0.1141	0.2231	0.2831	0.0444	0.169	-0.1787
60perc_10repeat	0.05	0.3467	0.1208	0.2251	0.2807	0.0593	0.1598	-0.1658
0perc_0repeat	0.05	0.3189	0.107	0.2201	0.1225	0.1857	0.0155	-0.0344
