Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1
50perc_5repeat	0.1	0.3089	0.5417	0.0584	0.0041	0.5752	0.4828	0.5249
70perc_2repeat	0.1	0.3294	0.5112	0.0536	0.0038	0.5179	0.5046	0.5112
90perc_10repeat	0.1	0.4144	0.4186	0.0663	0.0047	0.353	0.4458	0.394
50perc_10repeat	0.1	0.2998	0.5275	0.0583	0.0041	0.5466	0.5136	0.5296
60perc_2repeat	0.2	0.2571	0.5831	0.0644	0.0046	0.6044	0.5486	0.5751
5perc_10repeat	0.1	0.3589	0.5725	0.0644	0.0046	0.621	0.5621	0.5901
50perc_5repeat	0.2	0.2599	0.5714	0.0653	0.0046	0.5881	0.5549	0.571
50perc_10repeat	0.2	0.2529	0.5521	0.0573	0.0041	0.5592	0.5308	0.5446
80perc_10repeat	0.1	0.3803	0.4298	0.0597	0.0042	0.3638	0.4453	0.4004
50perc_2repeat	0.1	0.3238	0.5544	0.0644	0.0046	0.5856	0.533	0.5581
70perc_2repeat	0.25	0.2555	0.5424	0.0531	0.0038	0.5404	0.5433	0.5418
60perc_2repeat	0.25	0.2425	0.6019	0.0619	0.0044	0.6179	0.5651	0.5903
40perc_2repeat	0.25	0.23	0.6501	0.0607	0.0043	0.6814	0.5609	0.6153
50perc_2repeat	0.25	0.2422	0.6179	0.0652	0.0046	0.6452	0.5581	0.5985
40perc_10repeat	0.25	0.2345	0.6313	0.0644	0.0046	0.657	0.5682	0.6094
50perc_5repeat	0.25	0.245	0.5995	0.0643	0.0045	0.6167	0.5512	0.5821
50perc_10repeat	0.25	0.2456	0.5737	0.0586	0.0041	0.5822	0.5323	0.5561
40perc_5repeat	0.25	0.2362	0.63	0.0636	0.0045	0.6516	0.5869	0.6176
15perc_2repeat	0.2	0.2568	0.6366	0.0668	0.0047	0.6737	0.5767	0.6214
30perc_10repeat	0.2	0.241	0.6312	0.0648	0.0046	0.6646	0.5715	0.6145
60perc_5repeat	0.25	0.2602	0.5077	0.0562	0.004	0.4938	0.4613	0.477
30perc_10repeat	0.1	0.312	0.5718	0.0599	0.0042	0.6175	0.5423	0.5775
100perc_2repeat	0.1	0.3432	0.4167	0.0687	0.0049	0.3471	0.4218	0.3809
70perc_10repeat	0.1	0.3467	0.4399	0.0635	0.0045	0.3869	0.4628	0.4215
30perc_5repeat	0.1	0.329	0.5684	0.066	0.0047	0.6137	0.5483	0.5791
60perc_10repeat	0.25	0.2713	0.4355	0.0542	0.0038	0.3993	0.4499	0.4231
80perc_5repeat	0.1	0.3537	0.4306	0.0688	0.0049	0.375	0.4295	0.4004
70perc_5repeat	0.25	0.2874	0.4067	0.0607	0.0043	0.3839	0.4922	0.4314
15perc_2repeat	0.3	0.2201	0.6769	0.0522	0.0037	0.6931	0.6201	0.6546
80perc_2repeat	0.25	0.2686	0.4632	0.0565	0.004	0.4323	0.4425	0.4373
30perc_2repeat	0.3	0.2236	0.6646	0.0586	0.0041	0.6847	0.6045	0.6421
5perc_10repeat	0.3	0.2173	0.6864	0.0491	0.0035	0.6977	0.6385	0.6668
70perc_10repeat	0.25	0.3044	0.363	0.0614	0.0043	0.3397	0.4306	0.3798
30perc_5repeat	0.3	0.2205	0.6691	0.0563	0.004	0.6878	0.6061	0.6444
