Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1
50perc_5repeat	0.7	0.2329	0.6546	0.0569	0.004	0.6569	0.6051	0.63
30perc_2repeat	0.9	0.1984	0.7271	0.0537	0.0038	0.7326	0.6798	0.7052
15perc_5repeat	0.9	0.192	0.7316	0.053	0.0038	0.7344	0.6912	0.7121
40perc_2repeat	0.9	0.2056	0.7252	0.055	0.0039	0.732	0.6725	0.701
5perc_5repeat	0.9	0.1877	0.7378	0.0528	0.0037	0.7356	0.7073	0.7211
70perc_2repeat	0.7	0.2427	0.5866	0.0535	0.0038	0.5737	0.5438	0.5583
60perc_10repeat	0.7	0.2647	0.38	0.0463	0.0033	0.3623	0.4252	0.3912
30perc_5repeat	0.9	0.2033	0.7233	0.0542	0.0038	0.7343	0.6676	0.6993
50perc_2repeat	0.9	0.2153	0.7152	0.0556	0.0039	0.7228	0.6606	0.6903
40perc_5repeat	0.9	0.2154	0.7113	0.0566	0.004	0.725	0.6444	0.6823
70perc_5repeat	0.7	0.2772	0.3366	0.0457	0.0032	0.3276	0.4034	0.3615
60perc_2repeat	0.6	0.2285	0.6678	0.0527	0.0037	0.6745	0.6125	0.642
60perc_2repeat	0.9	0.2286	0.6827	0.0621	0.0044	0.6882	0.6351	0.6606
50perc_5repeat	0.9	0.2312	0.6727	0.0654	0.0046	0.6833	0.6087	0.6439
5perc_10repeat	0.9	0.1879	0.7373	0.0523	0.0037	0.7353	0.7058	0.7203
15perc_2repeat	0.8	0.1901	0.7355	0.0358	0.0025	0.7336	0.6935	0.713
15perc_10repeat	0.9	0.192	0.7326	0.0535	0.0038	0.7354	0.6912	0.7126
30perc_2repeat	0.8	0.1974	0.7294	0.0374	0.0026	0.7316	0.6771	0.7033
40perc_10repeat	0.9	0.2197	0.7049	0.0525	0.0037	0.724	0.6254	0.6711
30perc_10repeat	0.9	0.2056	0.7217	0.0539	0.0038	0.7343	0.6607	0.6956
5perc_2repeat	0.8	0.1877	0.7392	0.0349	0.0025	0.7338	0.7046	0.7189
30perc_2repeat	0.5	0.2038	0.71	0.0374	0.0026	0.7204	0.6433	0.6797
5perc_10repeat	0.6	0.1901	0.7325	0.0247	0.0017	0.7367	0.6828	0.7087
50perc_10repeat	0.7	0.2401	0.612	0.0491	0.0035	0.6079	0.5698	0.5882
40perc_2repeat	0.8	0.2052	0.7224	0.0404	0.0029	0.7283	0.6611	0.6931
50perc_10repeat	0.9	0.2394	0.6216	0.052	0.0037	0.6275	0.555	0.589
5perc_5repeat	0.8	0.1878	0.7386	0.0352	0.0025	0.7338	0.7026	0.7179
15perc_5repeat	0.8	0.1912	0.735	0.0355	0.0025	0.7343	0.6901	0.7115
50perc_2repeat	0.8	0.2146	0.7141	0.0414	0.0029	0.7197	0.6517	0.684
5perc_10repeat	0.8	0.1877	0.739	0.0351	0.0025	0.7343	0.7028	0.7182
30perc_5repeat	0.8	0.2027	0.7261	0.0398	0.0028	0.7324	0.6662	0.6977
60perc_2repeat	0.8	0.2282	0.6788	0.0514	0.0036	0.6802	0.6264	0.6522
90perc_2repeat	0.8	0.28	0.2904	0.0367	0.0026	0.2845	0.3369	0.3085
60perc_5repeat	0.8	0.2521	0.5006	0.0594	0.0042	0.4794	0.4973	0.4882
15perc_10repeat	0.8	0.1919	0.7344	0.0357	0.0025	0.7347	0.6876	0.7104
70perc_5repeat	0.8	0.2761	0.3269	0.0466	0.0033	0.3169	0.3848	0.3476
40perc_5repeat	0.8	0.2146	0.7145	0.0431	0.003	0.7233	0.6456	0.6823
70perc_10repeat	0.6	0.295	0.2971	0.04	0.0028	0.2979	0.3694	0.3298
70perc_10repeat	0.7	0.2949	0.2954	0.0379	0.0027	0.2963	0.3698	0.329
80perc_2repeat	0.8	0.2604	0.4099	0.053	0.0037	0.3885	0.4352	0.4105
70perc_2repeat	0.8	0.2418	0.5945	0.06	0.0042	0.5844	0.561	0.5725
60perc_2repeat	0.5	0.2316	0.6492	0.0551	0.0039	0.6577	0.5879	0.6208
30perc_10repeat	0.8	0.2054	0.7246	0.0399	0.0028	0.7312	0.6642	0.6961
50perc_5repeat	0.8	0.2308	0.6684	0.053	0.0037	0.676	0.6033	0.6376
70perc_2repeat	0.5	0.2449	0.5698	0.0643	0.0045	0.5634	0.5436	0.5534
90perc_5repeat	0.8	0.3345	0.2644	0.0349	0.0025	0.2605	0.3047	0.2809
40perc_5repeat	0.5	0.2187	0.6838	0.0437	0.0031	0.703	0.5957	0.645
100perc_5repeat	0.8	0.3679	0.2591	0.0349	0.0025	0.2526	0.2912	0.2705
50perc_10repeat	0.8	0.2392	0.6249	0.0482	0.0034	0.6217	0.5754	0.5977
100perc_2repeat	0.8	0.3017	0.2636	0.0336	0.0024	0.2577	0.2984	0.2765
70perc_5repeat	0.9	0.2758	0.3211	0.0529	0.0037	0.3167	0.3733	0.3427
80perc_5repeat	0.8	0.3051	0.2749	0.0372	0.0026	0.2751	0.3314	0.3006
50perc_5repeat	0.5	0.233	0.6417	0.0569	0.004	0.6517	0.5779	0.6126
70perc_10repeat	0.8	0.2943	0.2872	0.0395	0.0028	0.2879	0.3544	0.3177
40perc_10repeat	0.8	0.2196	0.7096	0.0456	0.0032	0.7176	0.6439	0.6788
80perc_2repeat	0.7	0.2603	0.4197	0.0533	0.0038	0.3977	0.441	0.4183
100perc_2repeat	0.7	0.3017	0.2666	0.0242	0.0017	0.262	0.3059	0.2822
80perc_2repeat	0.9	0.2609	0.3999	0.0567	0.004	0.3836	0.4311	0.406
90perc_2repeat	0.5	0.2811	0.3142	0.0405	0.0029	0.3043	0.3621	0.3307
60perc_10repeat	0.8	0.2648	0.3769	0.0523	0.0037	0.3606	0.429	0.3919
30perc_10repeat	0.5	0.2086	0.707	0.0353	0.0025	0.7229	0.6254	0.6706
80perc_10repeat	0.8	0.3275	0.2711	0.0366	0.0026	0.2711	0.3251	0.2957
90perc_2repeat	0.7	0.2799	0.301	0.0359	0.0025	0.2932	0.3482	0.3184
90perc_2repeat	0.9	0.2792	0.2899	0.0497	0.0035	0.289	0.3318	0.3089
90perc_10repeat	0.8	0.3639	0.2629	0.0353	0.0025	0.2593	0.3033	0.2796
60perc_5repeat	0.9	0.251	0.5056	0.0575	0.0041	0.4868	0.4894	0.4881
80perc_5repeat	0.7	0.3037	0.2809	0.0334	0.0024	0.2798	0.3388	0.3065
70perc_2repeat	0.9	0.2434	0.5844	0.0622	0.0044	0.5758	0.5666	0.5711
100perc_10repeat	0.8	0.4028	0.2592	0.0348	0.0025	0.2529	0.2917	0.2709
90perc_10repeat	0.7	0.3635	0.2676	0.0273	0.0019	0.2653	0.3135	0.2874
90perc_5repeat	0.7	0.3344	0.2692	0.0273	0.0019	0.2659	0.3137	0.2878
70perc_10repeat	0.9	0.2946	0.2869	0.0554	0.0039	0.2931	0.3531	0.3203
90perc_5repeat	0.9	0.3334	0.2662	0.0522	0.0037	0.2655	0.2999	0.2816
100perc_5repeat	0.9	0.3664	0.2601	0.0528	0.0037	0.257	0.2862	0.2708
100perc_2repeat	0.9	0.3012	0.2643	0.0505	0.0036	0.262	0.2934	0.2768
80perc_10repeat	0.7	0.3279	0.274	0.0315	0.0022	0.2745	0.3317	0.3004
100perc_5repeat	0.7	0.3678	0.2631	0.0263	0.0019	0.2579	0.2997	0.2772
80perc_10repeat	0.9	0.3264	0.2725	0.0521	0.0037	0.2775	0.3221	0.2982
100perc_10repeat	0.9	0.4009	0.2596	0.053	0.0037	0.2566	0.286	0.2705
90perc_10repeat	0.9	0.3621	0.2652	0.0533	0.0038	0.2657	0.3011	0.2823
100perc_10repeat	0.5	0.4037	0.2722	0.023	0.0016	0.2688	0.3182	0.2915
100perc_10repeat	0.7	0.4027	0.2635	0.0266	0.0019	0.2583	0.3005	0.2778
80perc_5repeat	0.9	0.3032	0.2764	0.0516	0.0036	0.2808	0.3271	0.3022
60perc_10repeat	0.9	0.2645	0.3764	0.0543	0.0038	0.367	0.4338	0.3976
