1given1	0.1	0.5	0.6	0.9

original	0.571	0.5832	0.5876	0.5881
05prec_10repeat	0.5608	0.5687	0.5707	0.5697
05prec_2repeat	0.5577	0.5722	0.5724	0.5747
05prec_5repeat	0.5207	0.5717	0.5717	0.5715
15perc_10repeat	0.5253	0.5371	0.5362	0.5382
15perc_2repeat	0.5369	0.5488	0.5506	0.5518
15perc_5repeat	0.5286	0.5427	0.5444	0.5429
30perc_10repeat	0.4972	0.5101	0.5085	0.5114
30perc_2repeat	0.5245	0.5284	0.5316	0.5325
30perc_5repeat	0.5076	0.5162	0.5166	0.5171
40perc_10repeat	0.497	0.5039	0.5049	0.5041
40perc_2repeat	0.5038	0.5242	0.525	0.5248
40perc_5repeat	0.5162	0.5122	0.5108	0.5112
50perc_10repeat	0.5019	0.5061	0.5059	0.5073
50perc_2repeat	0.5113	0.5283	0.5285	0.5274
50perc_5repeat	0.4973	0.5113	0.5131	0.5127
60perc_10repeat	0.5165	0.517	0.5175	0.5188
60perc_2repeat	0.5337	0.5355	0.5351	0.5355
60perc_5repeat	0.5258	0.5232	0.5234	0.5236
70perc_10repeat	0.5224	0.5381	0.5362	0.5375
70perc_2repeat	0.5483	0.5493	0.5492	0.5488
70perc_5repeat	0.5256	0.5396	0.5415	0.5402
80perc_10repeat	0.5512	0.5654	0.5633	0.5645
80perc_2repeat	0.5646	0.5701	0.5696	0.5699
80perc_5repeat	0.5609	0.5656	0.5647	0.5661
90perc_10repeat	0.5998	0.6001	0.5984	0.6001
90perc_2repeat	0.5807	0.5966	0.597	0.5971
90perc_5repeat	0.5993	0.5997	0.6001	0.5979
100perc_10repeat	0.6393	0.6384	0.6369	0.6414
100perc_2repeat	0.6126	0.6246	0.6286	0.6284
100perc_5repeat	0.6345	0.6356	0.6373	0.6376
