Accuracy	0.1	0.2	0.5	0.9

original	0.9156	0.9469	0.9491	0.9495
05perc_10repeat	0.9166	0.9468	0.9488	0.9494
05perc_2repeat	0.9191	0.9459	0.9481	0.9477
05perc_5repeat	0.929	0.9465	0.949	0.9484
15perc_10repeat	0.9073	0.9453	0.9475	0.9472
15perc_2repeat	0.9182	0.9452	0.9484	0.9474
15perc_5repeat	0.9117	0.9462	0.9491	0.9492
30perc_10repeat	0.8681	0.9374	0.9477	0.9488
30perc_2repeat	0.8875	0.9405	0.9478	0.9473
30perc_5repeat	0.8721	0.9379	0.9484	0.9483
40perc_10repeat	0.8539	0.9208	0.948	0.9504
40perc_2repeat	0.8603	0.9396	0.9485	0.9466
40perc_5repeat	0.8308	0.9321	0.9477	0.9491
50perc_10repeat	0.8286	0.9102	0.9467	0.9474
50perc_2repeat	0.8529	0.9307	0.9478	0.9494
50perc_5repeat	0.8213	0.917	0.9465	0.9493
60perc_10repeat	0.7386	0.8515	0.9446	0.9477
60perc_2repeat	0.8121	0.9137	0.9469	0.9486
60perc_5repeat	0.7793	0.8825	0.946	0.9484
70perc_10repeat	0.6639	0.8191	0.9345	0.948
70perc_2repeat	0.7826	0.893	0.9469	0.9482
70perc_5repeat	0.7265	0.8371	0.9453	0.9458
90perc_10repeat	0.5727	0.6593	0.8197	0.9318
90perc_2repeat	0.7316	0.8489	0.9411	0.9447
90perc_5repeat	0.6243	0.7399	0.8961	0.9431
100perc_10repeat	0.5294	0.5685	0.6581	0.8227
100perc_2repeat	0.6766	0.8115	0.9338	0.9447
100perc_5repeat	0.5772	0.6435	0.7901	0.9327
