Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
15perc_10repeat	0.05	0.4405	0.068	0.0048	0.0	0.0	0.0	0.4571	0.5239	0.0828	0.0059	0.5753	0.0192	0.0	0.5138	0.0211	0.0
50perc_2repeat	0.05	0.4287	0.0678	0.0048	0.0	0.0	0.0	0.444	0.5238	0.0831	0.0059	0.5485	0.0156	0.0	0.4931	0.0162	0.0
40perc_5repeat	0.1	0.4055	0.0695	0.0049	0.0	0.0	0.0	0.4227	0.5205	0.0594	0.0042	0.5836	0.0077	0.0	0.5405	0.0081	0.0
30perc_2repeat	0.1	0.4144	0.0688	0.0049	0.0	0.0	0.0	0.4336	0.5205	0.0593	0.0042	0.5983	0.0082	0.0	0.5528	0.0093	0.0
15perc_5repeat	0.1	0.4186	0.0676	0.0048	0.0	0.0	0.0	0.4328	0.5205	0.0594	0.0042	0.6055	0.0086	0.0	0.5661	0.0094	0.0
30perc_5repeat	0.1	0.4122	0.0712	0.005	0.0	0.0	0.0	0.4319	0.5205	0.0594	0.0042	0.5931	0.0079	0.0	0.55	0.0089	0.0
60perc_2repeat	0.05	0.4283	0.067	0.0047	0.0	0.0	0.0	0.4459	0.5238	0.0831	0.0059	0.5606	0.0156	0.0	0.5074	0.0154	0.0
05perc_5repeat	0.05	0.4394	0.0688	0.0049	0.0	0.0	0.0	0.4581	0.5239	0.0829	0.0059	0.5774	0.0189	0.0	0.522	0.0201	0.0
40perc_2repeat	0.05	0.436	0.0673	0.0048	0.0	0.0	0.0	0.454	0.5238	0.0831	0.0059	0.5665	0.0162	0.0	0.5144	0.0166	0.0
05perc_2repeat	0.05	0.4367	0.0691	0.0049	0.0	0.0	0.0	0.4553	0.5238	0.0831	0.0059	0.5767	0.0174	0.0	0.5268	0.0181	0.0
15perc_5repeat	0.05	0.4399	0.0683	0.0048	0.0	0.0	0.0	0.4569	0.5239	0.0829	0.0059	0.5767	0.0186	0.0	0.5185	0.02	0.0
100perc_5repeat	0.05	0.4039	0.0735	0.0052	0.0	0.0	0.0	0.4243	0.5239	0.0829	0.0059	0.5135	0.0117	0.0	0.4566	0.012	0.0
100perc_10repeat	0.05	0.4031	0.0723	0.0051	0.0	0.0	0.0	0.4167	0.5239	0.0828	0.0059	0.5031	0.0121	0.0	0.4542	0.0117	0.0
40perc_10repeat	0.05	0.4335	0.0686	0.0049	0.0	0.0	0.0	0.4527	0.5239	0.0828	0.0059	0.558	0.0168	0.0	0.5026	0.0181	0.0
