Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
40perc_5repeat	0.05	0.1985	0.7725	0.1599	0.0113	0.0204	0.0744	0.032	0.8201	0.6101	0.0389	0.0028	0.618	0.0072	0.0	0.4243	0.0086	0.0
40perc_10repeat	0.1	0.1646	0.816	0.0603	0.0043	0.0016	0.009	0.0028	0.8224	0.5881	0.0183	0.0013	0.6047	0.0029	0.0	0.4319	0.0036	0.0
30perc_5repeat	0.05	0.1837	0.8011	0.1049	0.0074	0.0078	0.0315	0.0125	0.8221	0.6676	0.0481	0.0034	0.6777	0.0073	0.0	0.3562	0.0097	0.0
15perc_10repeat	0.05	0.189	0.8044	0.102	0.0072	0.0067	0.0277	0.0108	0.8221	0.7335	0.0547	0.0039	0.7583	0.0084	0.0	0.2953	0.0129	0.0
30perc_10repeat	0.05	0.1805	0.8057	0.0904	0.0064	0.0069	0.0232	0.0106	0.8221	0.6541	0.0356	0.0025	0.6734	0.0064	0.0	0.3626	0.0091	0.0
50perc_2repeat	0.1	0.171	0.8187	0.0419	0.003	0.0089	0.0045	0.006	0.8224	0.6126	0.0284	0.002	0.6621	0.004	0.0	0.459	0.0062	0.0
50perc_5repeat	0.1	0.168	0.8104	0.08	0.0057	0.0194	0.0185	0.019	0.8204	0.559	0.0225	0.0016	0.5972	0.0034	0.0	0.4841	0.0043	0.0
50perc_10repeat	0.1	0.1753	0.7862	0.134	0.0095	0.0534	0.0552	0.0543	0.8204	0.5357	0.0153	0.0011	0.5599	0.0025	0.0	0.4875	0.0028	0.0
5perc_10repeat	0.05	0.1835	0.8129	0.0675	0.0048	0.0084	0.0144	0.0106	0.8221	0.7998	0.0734	0.0052	0.8137	0.0099	0.0	0.2657	0.0173	0.0
50perc_2repeat	0.05	0.1961	0.7738	0.1551	0.011	0.0323	0.0708	0.0444	0.8201	0.6087	0.0407	0.0029	0.6391	0.0083	0.0	0.47	0.0107	0.0
40perc_2repeat	0.1	0.1711	0.8221	0.0054	0.0004	0.0009	0.0	0.0	0.8224	0.6479	0.031	0.0022	0.6837	0.0045	0.0	0.4092	0.0067	0.0
5perc_2repeat	0.1	0.1774	0.8214	0.0055	0.0004	0.0	0.0	0.0	0.8204	0.8099	0.0473	0.0033	0.8412	0.0057	0.0	0.2858	0.0124	0.0
30perc_2repeat	0.1	0.1753	0.8186	0.0439	0.0031	0.0008	0.0045	0.0014	0.8224	0.7	0.0376	0.0027	0.727	0.0053	0.0	0.3592	0.0078	0.0
40perc_5repeat	0.1	0.1677	0.8185	0.0423	0.003	0.0021	0.0044	0.0028	0.8204	0.6068	0.0253	0.0018	0.6284	0.0036	0.0	0.4219	0.0049	0.0
100perc_10repeat	0.05	0.7834	0.1942	0.0852	0.006	0.1769	0.9779	0.2996	0.1779	0.2363	0.0568	0.004	0.5649	0.0195	0.0	0.8393	0.011	0.0
90perc_10repeat	0.05	0.7689	0.2008	0.106	0.0075	0.1752	0.9667	0.2967	0.1798	0.2973	0.0447	0.0032	0.4804	0.0104	0.0	0.7615	0.0092	0.0
5perc_10repeat	0.1	0.1764	0.8224	0.0057	0.0004	0.0	0.0	0.0	0.8224	0.7975	0.0485	0.0034	0.8226	0.0053	0.0	0.2652	0.0119	0.0
60perc_2repeat	0.05	0.2266	0.7402	0.2005	0.0142	0.0549	0.1257	0.0765	0.8201	0.576	0.0393	0.0028	0.6254	0.0086	0.0	0.5037	0.0109	0.0
60perc_5repeat	0.05	0.3035	0.626	0.2837	0.0201	0.0973	0.3088	0.1479	0.8181	0.5145	0.0294	0.0021	0.5734	0.0064	0.0	0.5345	0.0075	0.0
5perc_5repeat	0.05	0.1813	0.8149	0.0464	0.0033	0.006	0.012	0.008	0.8221	0.8021	0.0605	0.0043	0.8212	0.0106	0.0	0.2702	0.0149	0.0
15perc_5repeat	0.05	0.1862	0.8035	0.0974	0.0069	0.0115	0.027	0.0161	0.8221	0.7423	0.0542	0.0038	0.7427	0.0093	0.0	0.3178	0.013	0.0
5perc_2repeat	0.05	0.1834	0.8108	0.0708	0.005	0.0072	0.0174	0.0102	0.8201	0.8102	0.0674	0.0048	0.8191	0.0096	0.0	0.3638	0.0158	0.0
50perc_10repeat	0.05	0.2465	0.6826	0.2464	0.0174	0.0791	0.2149	0.1157	0.8182	0.5295	0.0197	0.0014	0.5508	0.0056	0.0	0.4979	0.0065	0.0
40perc_10repeat	0.05	0.1819	0.7933	0.1224	0.0087	0.0152	0.043	0.0224	0.8221	0.5939	0.0277	0.002	0.6147	0.0052	0.0	0.4225	0.0072	0.0
40perc_2repeat	0.05	0.1885	0.7975	0.1144	0.0081	0.0137	0.0356	0.0197	0.8221	0.6546	0.0443	0.0031	0.6789	0.0084	0.0	0.4251	0.0099	0.0
5perc_2repeat	0.2	0.1775	0.8217	0.0082	0.0006	0.0	0.0	0.0	0.8211	0.8028	0.0319	0.0023	0.8371	0.003	0.0	0.2753	0.0076	0.0
15perc_2repeat	0.2	0.176	0.8224	0.0082	0.0006	0.0	0.0	0.0	0.8211	0.7575	0.0285	0.002	0.7912	0.0027	0.0	0.293	0.0057	0.0
50perc_5repeat	0.05	0.243	0.7139	0.2337	0.0165	0.0521	0.1668	0.0793	0.8201	0.5549	0.0283	0.002	0.5879	0.0073	0.0	0.4958	0.008	0.0
30perc_2repeat	0.2	0.1741	0.8225	0.0075	0.0005	0.0	0.0	0.0	0.8234	0.6952	0.023	0.0016	0.7307	0.0022	0.0	0.3593	0.0041	0.0
5perc_5repeat	0.2	0.1771	0.8219	0.0078	0.0006	0.0	0.0	0.0	0.8211	0.7974	0.0291	0.0021	0.8286	0.0031	0.0	0.2699	0.0072	0.0
15perc_5repeat	0.2	0.1765	0.8215	0.0083	0.0006	0.0	0.0	0.0	0.8211	0.7451	0.027	0.0019	0.774	0.0026	0.0	0.2946	0.0047	0.0
