Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
15perc_10repeat	0.05	0.3348	0.6321	0.0933	0.0066	0.0962	0.1047	0.1002	0.6689	0.6698	0.0834	0.0059	0.665	0.0176	0.0	0.2991	0.0207	0.0
40perc_2repeat	0.1	0.3138	0.6628	0.0497	0.0035	0.0413	0.0226	0.0292	0.6703	0.6714	0.0536	0.0038	0.7114	0.0077	0.0	0.3804	0.0131	0.0
40perc_5repeat	0.1	0.3173	0.6589	0.0588	0.0042	0.0647	0.033	0.0437	0.6703	0.6699	0.0615	0.0043	0.7176	0.0087	0.0	0.4015	0.0136	0.0
30perc_10repeat	0.1	0.3126	0.6659	0.0374	0.0026	0.0353	0.013	0.019	0.6703	0.6705	0.0534	0.0038	0.7179	0.0082	0.0	0.3518	0.0134	0.0
5perc_10repeat	0.05	0.343	0.6162	0.1123	0.0079	0.1022	0.1489	0.1212	0.6689	0.6686	0.0875	0.0062	0.6449	0.0185	0.0	0.3268	0.0203	0.0
50perc_2repeat	0.05	0.3321	0.6204	0.1071	0.0076	0.0927	0.1381	0.1109	0.6689	0.6684	0.085	0.006	0.6525	0.0144	0.0	0.3959	0.015	0.0
30perc_2repeat	0.1	0.3116	0.6591	0.0512	0.0036	0.044	0.0265	0.0331	0.6702	0.6778	0.0581	0.0041	0.7046	0.0085	0.0	0.3752	0.0121	0.0
15perc_2repeat	0.1	0.3201	0.6577	0.0632	0.0045	0.0652	0.0348	0.0454	0.6703	0.6708	0.061	0.0043	0.7242	0.0083	0.0	0.3989	0.0135	0.0
5perc_5repeat	0.1	0.3133	0.6656	0.0343	0.0024	0.0426	0.0118	0.0185	0.6703	0.6789	0.0605	0.0043	0.7271	0.0076	0.0	0.3802	0.0135	0.0
15perc_10repeat	0.1	0.3104	0.665	0.0348	0.0025	0.0367	0.014	0.0203	0.6685	0.6709	0.0596	0.0042	0.7166	0.0079	0.0	0.3516	0.0135	0.0
100perc_2repeat	0.05	0.3118	0.6438	0.078	0.0055	0.0644	0.0693	0.0668	0.6689	0.6794	0.0756	0.0053	0.6598	0.0126	0.0	0.4069	0.0126	0.0
100perc_5repeat	0.05	0.3282	0.6269	0.1013	0.0072	0.1107	0.1173	0.1139	0.6689	0.6784	0.0843	0.006	0.6575	0.0131	0.0	0.4351	0.0131	0.0
40perc_2repeat	0.05	0.346	0.6124	0.1198	0.0085	0.1103	0.1627	0.1315	0.6689	0.6666	0.1014	0.0072	0.6544	0.0146	0.0	0.4089	0.017	0.0
90perc_5repeat	0.05	0.3358	0.6151	0.118	0.0083	0.096	0.155	0.1185	0.6689	0.6528	0.0963	0.0068	0.6353	0.013	0.0	0.4247	0.0135	0.0
5perc_5repeat	0.05	0.3335	0.6308	0.0973	0.0069	0.0743	0.1096	0.0886	0.6689	0.6707	0.0822	0.0058	0.6757	0.0168	0.0	0.3661	0.0196	0.0
5perc_2repeat	0.05	0.3386	0.6203	0.1061	0.0075	0.1021	0.1374	0.1171	0.6689	0.6701	0.0837	0.0059	0.6598	0.0167	0.0	0.37	0.0172	0.0
60perc_2repeat	0.05	0.3206	0.6338	0.0929	0.0066	0.0933	0.1008	0.0969	0.6689	0.6712	0.0841	0.0059	0.6543	0.0136	0.0	0.3972	0.015	0.0
50perc_10repeat	0.05	0.3377	0.6186	0.1062	0.0075	0.1114	0.1398	0.124	0.6672	0.6725	0.0825	0.0058	0.644	0.0179	0.0	0.3473	0.0178	0.0
15perc_5repeat	0.05	0.3419	0.6178	0.1132	0.008	0.0913	0.1465	0.1125	0.6689	0.6613	0.0843	0.006	0.6533	0.0178	0.0	0.3461	0.0196	0.0
60perc_10repeat	0.05	0.3427	0.6209	0.1123	0.0079	0.0886	0.1353	0.1071	0.6689	0.677	0.0857	0.0061	0.6857	0.0154	0.0	0.3912	0.0172	0.0
40perc_10repeat	0.05	0.3487	0.608	0.1208	0.0085	0.106	0.1737	0.1316	0.6689	0.6631	0.0891	0.0063	0.6398	0.0175	0.0	0.3489	0.0196	0.0
50perc_5repeat	0.05	0.322	0.6382	0.0877	0.0062	0.0604	0.0874	0.0714	0.6689	0.6788	0.0906	0.0064	0.6726	0.015	0.0	0.3867	0.0167	0.0
5perc_2repeat	0.2	0.3147	0.6692	0.0262	0.0019	0.0019	0.0044	0.0026	0.6714	0.6705	0.0386	0.0027	0.7267	0.0045	0.0	0.3887	0.0065	0.0
50perc_2repeat	0.1	0.3089	0.6694	0.0127	0.0009	0.037	0.0034	0.0062	0.6703	0.6779	0.0621	0.0044	0.718	0.0078	0.0	0.392	0.0118	0.0
40perc_10repeat	0.1	0.3111	0.6585	0.0579	0.0041	0.0635	0.0334	0.0438	0.6703	0.6704	0.0638	0.0045	0.6978	0.0089	0.0	0.3513	0.0137	0.0
50perc_5repeat	0.1	0.3138	0.6607	0.0523	0.0037	0.0409	0.027	0.0325	0.6703	0.6757	0.0562	0.004	0.7126	0.0079	0.0	0.3809	0.0135	0.0
70perc_2repeat	0.1	0.3172	0.6569	0.0618	0.0044	0.0443	0.0363	0.0399	0.6703	0.675	0.0594	0.0042	0.7059	0.0085	0.0	0.3963	0.0128	0.0
60perc_2repeat	0.1	0.315	0.6597	0.0582	0.0041	0.0512	0.0323	0.0396	0.6703	0.667	0.0576	0.0041	0.7072	0.008	0.0	0.3894	0.0112	0.0
60perc_5repeat	0.1	0.3107	0.6657	0.0309	0.0022	0.0462	0.012	0.0191	0.6703	0.675	0.0558	0.0039	0.7095	0.0082	0.0	0.367	0.0133	0.0
70perc_5repeat	0.1	0.3113	0.6583	0.0611	0.0043	0.0639	0.0355	0.0457	0.6703	0.6665	0.0648	0.0046	0.6977	0.0087	0.0	0.3779	0.0116	0.0
80perc_2repeat	0.1	0.3166	0.6569	0.0608	0.0043	0.0424	0.0361	0.039	0.6685	0.676	0.055	0.0039	0.7033	0.0075	0.0	0.3767	0.0122	0.0
90perc_2repeat	0.1	0.3127	0.6612	0.0568	0.004	0.056	0.0281	0.0375	0.6711	0.6696	0.0628	0.0044	0.7051	0.0073	0.0	0.3898	0.012	0.0
90perc_5repeat	0.1	0.3171	0.6585	0.0597	0.0042	0.0366	0.0331	0.0348	0.6703	0.6692	0.0596	0.0042	0.71	0.0075	0.0	0.4009	0.0106	0.0
80perc_5repeat	0.1	0.3159	0.6574	0.0614	0.0043	0.0476	0.0358	0.0409	0.6703	0.6688	0.0695	0.0049	0.7041	0.0084	0.0	0.379	0.0128	0.0
100perc_5repeat	0.1	0.3098	0.6673	0.022	0.0016	0.0299	0.0061	0.0102	0.6685	0.6785	0.0562	0.004	0.7131	0.0079	0.0	0.3784	0.0115	0.0
100perc_2repeat	0.1	0.3088	0.6649	0.0358	0.0025	0.0286	0.0128	0.0177	0.6703	0.6767	0.0597	0.0042	0.6978	0.0077	0.0	0.3729	0.0105	0.0
90perc_10repeat	0.1	0.3126	0.6637	0.0458	0.0032	0.035	0.0184	0.0241	0.6703	0.6744	0.065	0.0046	0.7145	0.0077	0.0	0.3887	0.0109	0.0
50perc_10repeat	0.1	0.322	0.6503	0.0778	0.0055	0.0745	0.0547	0.0631	0.6703	0.6704	0.0639	0.0045	0.7178	0.0088	0.0	0.4134	0.0148	0.0
100perc_10repeat	0.1	0.3098	0.6651	0.037	0.0026	0.0338	0.0138	0.0196	0.6703	0.6748	0.0576	0.0041	0.7002	0.0074	0.0	0.3796	0.0111	0.0
60perc_10repeat	0.1	0.3153	0.6617	0.0471	0.0033	0.0358	0.0223	0.0275	0.6703	0.678	0.0572	0.004	0.7133	0.0079	0.0	0.344	0.0135	0.0
70perc_10repeat	0.1	0.3119	0.6581	0.0588	0.0042	0.0556	0.0328	0.0412	0.6703	0.6739	0.0581	0.0041	0.6992	0.009	0.0	0.3699	0.0123	0.0
80perc_10repeat	0.1	0.311	0.66	0.0549	0.0039	0.0423	0.0293	0.0346	0.6703	0.6657	0.0644	0.0046	0.7048	0.0089	0.0	0.3876	0.0121	0.0
15perc_2repeat	0.2	0.3143	0.671	0.0091	0.0006	0.0033	0.0	0.0001	0.6714	0.6706	0.0362	0.0026	0.7288	0.0045	0.0	0.4004	0.0067	0.0
5perc_5repeat	0.2	0.3154	0.6706	0.0088	0.0006	0.0106	0.0001	0.0001	0.6714	0.6726	0.0352	0.0025	0.7314	0.0042	0.0	0.3829	0.0068	0.0
15perc_5repeat	0.2	0.3145	0.6712	0.0087	0.0006	0.0004	0.0	0.0	0.6714	0.669	0.0347	0.0025	0.7291	0.004	0.0	0.3901	0.007	0.0
5perc_10repeat	0.2	0.3141	0.6711	0.0102	0.0007	0.0087	0.0002	0.0004	0.6714	0.6698	0.0413	0.0029	0.7283	0.0042	0.0	0.3889	0.0082	0.0
15perc_10repeat	0.2	0.3151	0.6707	0.0096	0.0007	0.0047	0.0	0.0001	0.6714	0.6723	0.0383	0.0027	0.7305	0.0041	0.0	0.3811	0.0076	0.0
80perc_5repeat	0.2	0.3138	0.6713	0.0088	0.0006	0.0126	0.0001	0.0003	0.6714	0.6701	0.04	0.0028	0.7226	0.0041	0.0	0.389	0.0077	0.0
5perc_2repeat	0.25	0.3159	0.6705	0.0101	0.0007	0.0012	0.0	0.0	0.671	0.6725	0.0306	0.0022	0.7287	0.0031	0.0	0.3876	0.0052	0.0
30perc_2repeat	0.2	0.3153	0.6699	0.01	0.0007	0.0078	0.0002	0.0005	0.6694	0.6753	0.0418	0.003	0.7265	0.0046	0.0	0.3761	0.0072	0.0
15perc_2repeat	0.25	0.3119	0.6724	0.0115	0.0008	0.007	0.0001	0.0002	0.6731	0.6662	0.0343	0.0024	0.719	0.004	0.0	0.3959	0.0058	0.0
30perc_2repeat	0.25	0.315	0.6706	0.0111	0.0008	0.0018	0.0	0.0	0.671	0.6727	0.0353	0.0025	0.7265	0.0037	0.0	0.3851	0.0058	0.0
40perc_2repeat	0.25	0.3136	0.6715	0.0105	0.0007	0.005	0.0001	0.0001	0.671	0.6701	0.0331	0.0023	0.7214	0.0034	0.0	0.3896	0.0057	0.0
90perc_2repeat	0.2	0.3156	0.6699	0.0099	0.0007	0.0058	0.0002	0.0003	0.6694	0.6748	0.0437	0.0031	0.7326	0.0045	0.0	0.393	0.0067	0.0
80perc_10repeat	0.2	0.3151	0.6685	0.0215	0.0015	0.0126	0.0025	0.0042	0.6694	0.6742	0.0441	0.0031	0.7264	0.0045	0.0	0.3957	0.0072	0.0
100perc_5repeat	0.2	0.3127	0.6717	0.0093	0.0007	0.0095	0.0002	0.0005	0.6714	0.668	0.0374	0.0026	0.7178	0.0038	0.0	0.4036	0.0069	0.0
90perc_5repeat	0.2	0.3156	0.6699	0.0091	0.0006	0.0047	0.0001	0.0002	0.6694	0.6754	0.0391	0.0028	0.725	0.004	0.0	0.394	0.0068	0.0
100perc_2repeat	0.2	0.3139	0.6711	0.0097	0.0007	0.0026	0.0	0.0	0.6714	0.6705	0.039	0.0028	0.7234	0.0042	0.0	0.3946	0.006	0.0
90perc_10repeat	0.2	0.3121	0.6718	0.0097	0.0007	0.0182	0.0004	0.0007	0.6714	0.6679	0.0425	0.003	0.7154	0.0042	0.0	0.3924	0.0078	0.0
