Label	trainingSize	Label1	Error
100perc_2repeat	0.25	averageLearningBias	0.1559
100perc_2repeat	0.25	averageLearningVariance	0.2375
100perc_2repeat	0.25	averageTotalBias	0.2284
100perc_2repeat	0.25	averageTotalVariance	0.1108
100perc_2repeat	0.25	averageInferenceBias	0.0724
100perc_2repeat	0.25	averageInferenceVariance	0.1267
60perc_10repeat	0.45	meanSquaredLoss	0.2539
60perc_10repeat	0.45	averageLearningBias	0.2144
60perc_10repeat	0.45	averageLearningVariance	0.2482
60perc_10repeat	0.45	averageTotalBias	0.2388
60perc_10repeat	0.45	averageTotalVariance	0.0138
60perc_10repeat	0.45	averageInferenceBias	0.0244
60perc_10repeat	0.45	averageInferenceVariance	0.2344
original	0.25	meanSquaredLoss	0.383
original	0.25	averageLearningBias	0.2065
original	0.25	averageLearningVariance	0.2474
original	0.25	averageTotalBias	0.2208
original	0.25	averageTotalVariance	0.0783
original	0.25	averageInferenceBias	0.0142
original	0.25	averageInferenceVariance	0.1691
60perc_10repeat	0.4	meanSquaredLoss	0.2582
60perc_10repeat	0.4	averageLearningBias	0.2185
60perc_10repeat	0.4	averageLearningVariance	0.2485
60perc_10repeat	0.4	averageTotalBias	0.2413
60perc_10repeat	0.4	averageTotalVariance	0.0156
60perc_10repeat	0.4	averageInferenceBias	0.0228
60perc_10repeat	0.4	averageInferenceVariance	0.233
60perc_10repeat	0.3	meanSquaredLoss	0.264
60perc_10repeat	0.3	averageLearningBias	0.2168
60perc_10repeat	0.3	averageLearningVariance	0.2485
60perc_10repeat	0.3	averageTotalBias	0.2433
60perc_10repeat	0.3	averageTotalVariance	0.0189
60perc_10repeat	0.3	averageInferenceBias	0.0265
60perc_10repeat	0.3	averageInferenceVariance	0.2296
100perc_2repeat	0.2	meanSquaredLoss	0.3912
100perc_2repeat	0.2	averageLearningBias	0.1591
100perc_2repeat	0.2	averageLearningVariance	0.2381
100perc_2repeat	0.2	averageTotalBias	0.2347
100perc_2repeat	0.2	averageTotalVariance	0.1074
100perc_2repeat	0.2	averageInferenceBias	0.0756
100perc_2repeat	0.2	averageInferenceVariance	0.1307
100perc_2repeat	0.5	meanSquaredLoss	0.2578
100perc_2repeat	0.5	averageLearningBias	0.1499
100perc_2repeat	0.5	averageLearningVariance	0.2366
100perc_2repeat	0.5	averageTotalBias	0.1711
100perc_2repeat	0.5	averageTotalVariance	0.0752
100perc_2repeat	0.5	averageInferenceBias	0.0212
100perc_2repeat	0.5	averageInferenceVariance	0.1615
60perc_10repeat	0.35	meanSquaredLoss	0.2595
60perc_10repeat	0.35	averageLearningBias	0.2172
60perc_10repeat	0.35	averageLearningVariance	0.2485
60perc_10repeat	0.35	averageTotalBias	0.2415
60perc_10repeat	0.35	averageTotalVariance	0.0165
60perc_10repeat	0.35	averageInferenceBias	0.0243
60perc_10repeat	0.35	averageInferenceVariance	0.232
60perc_10repeat	0.8	meanSquaredLoss	0.2373
60perc_10repeat	0.8	averageLearningBias	0.224
60perc_10repeat	0.8	averageLearningVariance	0.2476
60perc_10repeat	0.8	averageTotalBias	0.2303
60perc_10repeat	0.8	averageTotalVariance	0.0062
60perc_10repeat	0.8	averageInferenceBias	0.0063
60perc_10repeat	0.8	averageInferenceVariance	0.2414
60perc_10repeat	0.2	meanSquaredLoss	0.2836
60perc_10repeat	0.2	averageLearningBias	0.2177
60perc_10repeat	0.2	averageLearningVariance	0.2485
60perc_10repeat	0.2	averageTotalBias	0.2456
60perc_10repeat	0.2	averageTotalVariance	0.0351
60perc_10repeat	0.2	averageInferenceBias	0.0279
60perc_10repeat	0.2	averageInferenceVariance	0.2134
100perc_2repeat	0.4	meanSquaredLoss	0.2951
100perc_2repeat	0.4	averageLearningBias	0.1528
100perc_2repeat	0.4	averageLearningVariance	0.2374
100perc_2repeat	0.4	averageTotalBias	0.191
100perc_2repeat	0.4	averageTotalVariance	0.0805
100perc_2repeat	0.4	averageInferenceBias	0.0381
100perc_2repeat	0.4	averageInferenceVariance	0.1569
original	0.3	meanSquaredLoss	0.3662
original	0.3	averageLearningBias	0.2019
