Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
0perc_0repeat	0.4	0.5525	0.052	0.0037	0.6622	0.2098	0.3186
0perc_0repeat	0.4	0.5486	0.0534	0.0038	0.6387	0.252	0.3614
0perc_0repeat	0.4	0.5528	0.0507	0.0036	0.6752	0.2108	0.3213
0perc_0repeat	0.4	0.5543	0.0494	0.0035	0.6515	0.2293	0.3392
0perc_0repeat	0.4	0.553	0.0483	0.0034	0.6431	0.1939	0.2979
0perc_0repeat	0.4	0.5524	0.053	0.0037	0.6399	0.2258	0.3338
0perc_0repeat	0.4	0.5619	0.0517	0.0037	0.6798	0.232	0.346
0perc_0repeat	0.4	0.5487	0.0473	0.0033	0.6309	0.2017	0.3057
0perc_0repeat	0.4	0.558	0.057	0.004	0.653	0.2521	0.3638
0perc_0repeat	0.4	0.5548	0.0595	0.0042	0.6327	0.2833	0.3914
0perc_0repeat	0.4	0.5614	0.0552	0.0039	0.6597	0.218	0.3276
0perc_0repeat	0.4	0.556	0.0517	0.0037	0.6307	0.2183	0.3244
0perc_0repeat	0.4	0.5532	0.052	0.0037	0.6541	0.2214	0.3308
0perc_0repeat	0.4	0.5535	0.0505	0.0036	0.6704	0.213	0.3233
0perc_0repeat	0.4	0.5514	0.0512	0.0036	0.6407	0.2118	0.3184
0perc_0repeat	0.4	0.5511	0.0493	0.0035	0.6638	0.2109	0.3201
0perc_0repeat	0.4	0.5605	0.0519	0.0037	0.6553	0.2286	0.339
0perc_0repeat	0.4	0.5532	0.0551	0.0039	0.6715	0.2274	0.3397
0perc_0repeat	0.4	0.5561	0.0543	0.0038	0.6447	0.2705	0.3811
0perc_0repeat	0.4	0.5566	0.0522	0.0037	0.6439	0.2564	0.3668
0perc_0repeat	0.4	0.5535	0.0518	0.0037	0.6531	0.2278	0.3378
0perc_0repeat	0.4	0.5492	0.0481	0.0034	0.647	0.2067	0.3133
0perc_0repeat	0.4	0.5529	0.0511	0.0036	0.6631	0.2197	0.3301
0perc_0repeat	0.4	0.5501	0.0577	0.0041	0.6223	0.2813	0.3875
0perc_0repeat	0.4	0.5531	0.0528	0.0037	0.6512	0.2122	0.3201
0perc_0repeat	0.4	0.5519	0.0498	0.0035	0.6424	0.1983	0.3031
0perc_0repeat	0.4	0.5516	0.052	0.0037	0.6587	0.2306	0.3416
0perc_0repeat	0.4	0.5535	0.0523	0.0037	0.6556	0.2153	0.3242
0perc_0repeat	0.4	0.5579	0.0519	0.0037	0.6589	0.2295	0.3405
0perc_0repeat	0.4	0.5547	0.0562	0.004	0.6189	0.2299	0.3353
0perc_0repeat	0.4	0.5494	0.0493	0.0035	0.6531	0.1939	0.299
