Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
Median_0perc_0repeat	0.4	0.5356	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5463	0.0539	0.0108	0.6102	0.1649	0.2596
Median_0perc_0repeat	0.4	0.5331	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5412	0.0259	0.0052	0.6523	0.1017	0.176
Median_0perc_0repeat	0.4	0.5353	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5515	0.055	0.011	0.564	0.2706	0.3657
Median_0perc_0repeat	0.4	0.5244	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5462	0.0423	0.0085	0.6473	0.1661	0.2643
Median_0perc_0repeat	0.4	0.5337	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5612	0.0571	0.0114	0.7048	0.277	0.3977
Median_0perc_0repeat	0.4	0.5394	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.554	0.0431	0.0086	0.7042	0.1805	0.2874
Median_0perc_0repeat	0.4	0.5504	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.565	0.0524	0.0105	0.6762	0.2154	0.3267
Median_0perc_0repeat	0.4	0.5555	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.552	0.0475	0.0095	0.6703	0.1472	0.2415
Median_0perc_0repeat	0.4	0.5369	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5618	0.0564	0.0113	0.6529	0.2294	0.3395
Median_0perc_0repeat	0.4	0.5531	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5502	0.0439	0.0088	0.642	0.2184	0.326
Median_0perc_0repeat	0.4	0.5504	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5568	0.056	0.0112	0.6516	0.276	0.3877
Median_0perc_0repeat	0.4	0.544	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5502	0.0412	0.0082	0.7162	0.2524	0.3732
Median_0perc_0repeat	0.4	0.5431	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5575	0.0554	0.0111	0.696	0.2448	0.3622
Median_0perc_0repeat	0.4	0.5561	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5562	0.0546	0.0109	0.6093	0.309	0.4101
Median_0perc_0repeat	0.4	0.5373	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5674	0.0626	0.0125	0.6027	0.2596	0.3629
Median_0perc_0repeat	0.4	0.57	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5652	0.0499	0.01	0.6486	0.2093	0.3165
Median_0perc_0repeat	0.4	0.5422	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5614	0.0417	0.0083	0.7072	0.2211	0.3369
Median_0perc_0repeat	0.4	0.5495	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5514	0.0396	0.0079	0.7024	0.0999	0.1749
Median_0perc_0repeat	0.4	0.5414	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5661	0.0508	0.0102	0.6714	0.2342	0.3473
Median_0perc_0repeat	0.4	0.553	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.565	0.0479	0.0096	0.6825	0.1932	0.3011
Median_0perc_0repeat	0.4	0.5574	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5498	0.0511	0.0102	0.6918	0.1831	0.2896
Median_0perc_0repeat	0.4	0.539	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5515	0.0523	0.0105	0.6521	0.1828	0.2856
Median_0perc_0repeat	0.4	0.5382	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.555	0.0625	0.0125	0.6854	0.217	0.3297
Median_0perc_0repeat	0.4	0.5372	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5499	0.0495	0.0099	0.6797	0.252	0.3677
Median_0perc_0repeat	0.4	0.5446	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5473	0.0628	0.0126	0.661	0.3216	0.4327
Median_0perc_0repeat	0.4	0.5388	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5615	0.0527	0.0105	0.6372	0.1734	0.2727
Median_0perc_0repeat	0.4	0.5559	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5471	0.0466	0.0093	0.6698	0.1316	0.22
Median_0perc_0repeat	0.4	0.5475	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5551	0.0438	0.0088	0.6736	0.2707	0.3862
Median_0perc_0repeat	0.4	0.5475	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5417	0.0508	0.0102	0.5784	0.1274	0.2088
Median_0perc_0repeat	0.4	0.5215	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5706	0.0608	0.0122	0.691	0.2891	0.4077
Median_0perc_0repeat	0.4	0.5543	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5558	0.0571	0.0114	0.6985	0.2429	0.3604
Median_0perc_0repeat	0.4	0.5461	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5716	0.0547	0.0109	0.6288	0.1677	0.2648
Median_0perc_0repeat	0.4	0.5643	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5827	0.0606	0.0121	0.6537	0.2959	0.4074
Median_0perc_0repeat	0.4	0.5741	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5472	0.0517	0.0103	0.6457	0.2232	0.3317
Median_0perc_0repeat	0.4	0.5363	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5657	0.0553	0.0111	0.6854	0.1999	0.3095
Median_0perc_0repeat	0.4	0.5329	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5385	0.0449	0.009	0.6218	0.1901	0.2912
