100perc_10repeat	0.1	0.2423	0.6521	0.0597	0.0189	0.6624	0.6421	0.6521	0.7211	0.0344	0.0109	0.5662	0.0598	0.0189	0.6487	0.0802	0.0254	0.0	0.0	0.0	0.3781	0.3916
60perc_2repeat	0.1	0.2395	0.6461	0.0757	0.0239	0.6418	0.7153	0.6766	0.7351	0.0217	0.0069	0.5485	0.0587	0.0186	0.6671	0.0476	0.0151	0.0	0.0	0.0	0.3439	0.3954
70perc_5repeat	0.1	0.2467	0.6432	0.0707	0.0224	0.6872	0.5588	0.6164	0.7253	0.0313	0.0099	0.5863	0.0771	0.0244	0.7094	0.0307	0.0097	0.0	0.0	0.0	0.3673	0.361
15perc_10repeat	0.1	0.2277	0.658	0.0556	0.0176	0.6765	0.6245	0.6494	0.7195	0.0348	0.011	0.5811	0.0595	0.0188	0.6905	0.0287	0.0091	0.0	0.0	0.0	0.3464	0.3691
90perc_10repeat	0.1	0.2206	0.6903	0.0652	0.0206	0.6996	0.6678	0.6833	0.7332	0.0225	0.0071	0.6153	0.0902	0.0285	0.6864	0.0485	0.0153	0.0	0.0	0.0	0.3521	0.3384
100perc_5repeat	0.1	0.2332	0.6718	0.0726	0.0229	0.7021	0.6165	0.6565	0.731	0.0215	0.0068	0.5877	0.0728	0.023	0.6926	0.0631	0.02	0.0	0.0	0.0	0.4006	0.3568
15perc_5repeat	0.1	0.2244	0.6789	0.0432	0.0136	0.6714	0.6967	0.6838	0.7323	0.0252	0.008	0.5568	0.0478	0.0151	0.6696	0.0497	0.0157	0.0	0.0	0.0	0.3954	0.3953
50perc_10repeat	0.1	0.2371	0.6592	0.0495	0.0156	0.694	0.5822	0.6332	0.7321	0.0237	0.0075	0.5721	0.0376	0.0119	0.7285	0.0194	0.0061	0.0	0.0	0.0	0.4074	0.3749
40perc_5repeat	0.1	0.2353	0.6672	0.0568	0.018	0.6776	0.6367	0.6565	0.7258	0.0268	0.0085	0.5723	0.075	0.0237	0.6733	0.0602	0.019	0.0	0.0	0.0	0.3442	0.3835
80perc_2repeat	0.1	0.2212	0.6766	0.0358	0.0113	0.6707	0.6665	0.6686	0.7353	0.0207	0.0066	0.5414	0.0344	0.0109	0.6765	0.0616	0.0195	0.0	0.0	0.0	0.348	0.3973
