Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
0.9train_90perc_2repeat	0.9	0.2013	0.0252	0.0018	0.0	0.0	0.0	0.1987	0.4946	0.006	0.0004	0.584	0.0006	0.0	0.5965	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2003	0.024	0.0017	0.0	0.0	0.0	0.1994	0.4946	0.0067	0.0005	0.584	0.0006	0.0	0.5956	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2028	0.0278	0.002	0.0	0.0	0.0	0.2022	0.4947	0.0061	0.0004	0.5844	0.0006	0.0	0.5961	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2033	0.0244	0.0017	0.0	0.0	0.0	0.2028	0.4943	0.0064	0.0005	0.584	0.0006	0.0	0.5973	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2044	0.024	0.0017	0.0	0.0	0.0	0.2022	0.495	0.0063	0.0004	0.5847	0.0006	0.0	0.5963	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2023	0.025	0.0018	0.0	0.0	0.0	0.2005	0.4944	0.0063	0.0004	0.5847	0.0006	0.0	0.5968	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.1998	0.0233	0.0016	0.0	0.0	0.0	0.1992	0.4942	0.006	0.0004	0.5839	0.0006	0.0	0.5968	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2014	0.0262	0.0019	0.0	0.0	0.0	0.2004	0.4941	0.0056	0.0004	0.5832	0.0006	0.0	0.5961	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2039	0.0241	0.0017	0.0	0.0	0.0	0.2035	0.4942	0.0066	0.0005	0.5845	0.0006	0.0	0.5972	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2014	0.0249	0.0018	0.0	0.0	0.0	0.1985	0.4943	0.0066	0.0005	0.5836	0.0007	0.0	0.5959	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2053	0.0253	0.0018	0.0	0.0	0.0	0.2049	0.4939	0.0065	0.0005	0.5839	0.0006	0.0	0.5979	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2043	0.0234	0.0017	0.0	0.0	0.0	0.2052	0.4949	0.0066	0.0005	0.5855	0.0006	0.0	0.5971	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2027	0.0235	0.0017	0.0	0.0	0.0	0.2005	0.4943	0.0056	0.0004	0.5845	0.0006	0.0	0.5965	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.2031	0.0247	0.0017	0.0	0.0	0.0	0.1998	0.495	0.0059	0.0004	0.5852	0.0006	0.0	0.5965	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.2021	0.024	0.0017	0.0	0.0	0.0	0.2013	0.4944	0.0059	0.0004	0.584	0.0006	0.0	0.596	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2026	0.0239	0.0017	0.0	0.0	0.0	0.2013	0.4948	0.0061	0.0004	0.5837	0.0006	0.0	0.5961	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.1986	0.0235	0.0017	0.0	0.0	0.0	0.1962	0.4946	0.006	0.0004	0.583	0.0006	0.0	0.5962	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2013	0.0256	0.0018	0.0	0.0	0.0	0.1974	0.4947	0.0063	0.0004	0.5845	0.0006	0.0	0.596	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2052	0.025	0.0018	0.0	0.0	0.0	0.2025	0.4949	0.0056	0.0004	0.5852	0.0005	0.0	0.5975	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.204	0.0228	0.0016	0.0	0.0	0.0	0.2029	0.4936	0.0068	0.0005	0.5838	0.0006	0.0	0.5977	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.202	0.0259	0.0018	0.0	0.0	0.0	0.1966	0.4949	0.006	0.0004	0.5844	0.0007	0.0	0.5968	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2045	0.0262	0.0019	0.0	0.0	0.0	0.2029	0.495	0.0061	0.0004	0.5845	0.0006	0.0	0.5972	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.1998	0.0266	0.0019	0.0	0.0	0.0	0.1959	0.4942	0.0065	0.0005	0.5836	0.0006	0.0	0.5964	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2047	0.0237	0.0017	0.0	0.0	0.0	0.2047	0.4947	0.006	0.0004	0.5843	0.0006	0.0	0.5961	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2018	0.0252	0.0018	0.0	0.0	0.0	0.201	0.4948	0.0062	0.0004	0.5842	0.0006	0.0	0.5961	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2029	0.0244	0.0017	0.0	0.0	0.0	0.202	0.4947	0.0063	0.0004	0.584	0.0006	0.0	0.5964	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2023	0.0239	0.0017	0.0	0.0	0.0	0.2028	0.4942	0.0062	0.0004	0.5843	0.0006	0.0	0.5972	0.0007	0.0
