Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
80perc_10repeat	0.05	0.3151	0.6456	0.0771	0.0055	0.0489	0.0645	0.0556	0.6689	0.6805	0.0853	0.006	0.6677	0.0128	0.0	0.3019	0.0121	0.0
60perc_10repeat	0.05	0.3142	0.6443	0.0806	0.0057	0.0596	0.0711	0.0648	0.6692	0.6663	0.0787	0.0056	0.6644	0.0123	0.0	0.3161	0.0136	0.0
70perc_10repeat	0.05	0.3245	0.6354	0.0968	0.0068	0.0505	0.0962	0.0662	0.6706	0.6645	0.0775	0.0055	0.6689	0.0134	0.0	0.3131	0.0137	0.0
15perc_10repeat	0.05	0.334	0.6347	0.0966	0.0068	0.0816	0.1004	0.09	0.6689	0.6679	0.08	0.0057	0.6839	0.0161	0.0	0.3329	0.021	0.0
30perc_10repeat	0.05	0.331	0.6294	0.0983	0.0069	0.0782	0.1134	0.0926	0.6689	0.67	0.0767	0.0054	0.6635	0.0167	0.0	0.2912	0.0181	0.0
50perc_5repeat	0.1	0.309	0.6697	0.0151	0.0011	0.0138	0.003	0.005	0.6703	0.6692	0.0521	0.0037	0.7019	0.0064	0.0	0.3482	0.0087	0.0
50perc_2repeat	0.1	0.3086	0.6664	0.038	0.0027	0.0213	0.0133	0.0164	0.672	0.6662	0.0561	0.004	0.691	0.0067	0.0	0.3424	0.0099	0.0
50perc_2repeat	0.05	0.3275	0.6322	0.0963	0.0068	0.0728	0.1044	0.0858	0.6689	0.6773	0.0843	0.006	0.6746	0.0137	0.0	0.3568	0.0152	0.0
50perc_10repeat	0.1	0.3115	0.6638	0.0441	0.0031	0.0212	0.0188	0.0199	0.6703	0.6702	0.0619	0.0044	0.6998	0.0073	0.0	0.3495	0.0091	0.0
5perc_10repeat	0.05	0.3329	0.6308	0.098	0.0069	0.104	0.1118	0.1077	0.6689	0.6585	0.0805	0.0057	0.6697	0.0167	0.0	0.3237	0.0212	0.0
40perc_2repeat	0.1	0.3083	0.6682	0.0279	0.002	0.0154	0.0071	0.0097	0.6703	0.6708	0.0604	0.0043	0.7005	0.007	0.0	0.3623	0.0093	0.0
5perc_2repeat	0.1	0.3225	0.6538	0.0713	0.005	0.0464	0.0458	0.0461	0.6703	0.6732	0.0545	0.0039	0.7147	0.0083	0.0	0.3795	0.0129	0.0
40perc_5repeat	0.1	0.3151	0.6582	0.0616	0.0044	0.0213	0.031	0.0253	0.6685	0.674	0.0549	0.0039	0.7006	0.0073	0.0	0.358	0.0105	0.0
30perc_2repeat	0.1	0.3099	0.6623	0.0458	0.0032	0.0269	0.0213	0.0238	0.6703	0.666	0.0556	0.0039	0.7014	0.0077	0.0	0.359	0.0112	0.0
5perc_10repeat	0.1	0.3114	0.6622	0.0485	0.0034	0.0296	0.0223	0.0254	0.6703	0.6643	0.053	0.0037	0.7118	0.0082	0.0	0.3507	0.0134	0.0
5perc_2repeat	0.05	0.335	0.6193	0.1077	0.0076	0.0911	0.1406	0.1105	0.6689	0.6716	0.0827	0.0058	0.6511	0.0176	0.0	0.3844	0.0184	0.0
60perc_5repeat	0.05	0.332	0.621	0.1082	0.0077	0.0925	0.135	0.1098	0.6689	0.6669	0.0812	0.0057	0.646	0.0149	0.0	0.3497	0.0156	0.0
40perc_2repeat	0.05	0.3336	0.6249	0.1067	0.0075	0.0931	0.1252	0.1068	0.6689	0.6647	0.0804	0.0057	0.6725	0.0137	0.0	0.3847	0.0163	0.0
15perc_5repeat	0.05	0.3292	0.641	0.0812	0.0057	0.0749	0.0794	0.0771	0.6689	0.6835	0.0704	0.005	0.6995	0.0164	0.0	0.3384	0.0188	0.0
5perc_5repeat	0.05	0.3426	0.6224	0.1047	0.0074	0.092	0.1329	0.1087	0.6689	0.6684	0.0861	0.0061	0.6624	0.0171	0.0	0.3267	0.0209	0.0
100perc_10repeat	0.05	0.3134	0.6406	0.092	0.0065	0.0529	0.0823	0.0644	0.6689	0.6671	0.0854	0.006	0.6533	0.0108	0.0	0.3099	0.0108	0.0
60perc_2repeat	0.05	0.3236	0.6244	0.0999	0.0071	0.0842	0.1249	0.1006	0.6689	0.6674	0.0841	0.0059	0.6498	0.0149	0.0	0.3623	0.014	0.0
40perc_10repeat	0.05	0.334	0.6236	0.107	0.0076	0.0821	0.1271	0.0998	0.6689	0.6755	0.0856	0.0061	0.6669	0.0158	0.0	0.3559	0.0167	0.0
50perc_10repeat	0.05	0.3345	0.6188	0.109	0.0077	0.1043	0.142	0.1203	0.6689	0.6627	0.0844	0.006	0.6509	0.0142	0.0	0.3339	0.0159	0.0
90perc_10repeat	0.05	0.317	0.6366	0.0949	0.0067	0.0553	0.092	0.0691	0.6706	0.6658	0.0759	0.0054	0.6571	0.0113	0.0	0.3263	0.0126	0.0
50perc_5repeat	0.05	0.3293	0.6262	0.1038	0.0073	0.085	0.1231	0.1006	0.6689	0.6726	0.0768	0.0054	0.6707	0.0135	0.0	0.3558	0.0157	0.0
5perc_2repeat	0.2	0.3147	0.6707	0.0089	0.0006	0.0146	0.0014	0.0026	0.6694	0.6719	0.0362	0.0026	0.7295	0.0041	0.0	0.3893	0.0071	0.0
15perc_2repeat	0.2	0.3155	0.6696	0.0103	0.0007	0.0052	0.0	0.0001	0.6694	0.6763	0.041	0.0029	0.7245	0.0043	0.0	0.3709	0.0063	0.0
30perc_2repeat	0.2	0.3144	0.6708	0.0097	0.0007	0.0068	0.0001	0.0002	0.6694	0.6716	0.0389	0.0027	0.7164	0.0039	0.0	0.3699	0.0068	0.0
60perc_2repeat	0.1	0.3087	0.6662	0.0363	0.0026	0.0317	0.0125	0.0179	0.6703	0.6698	0.0576	0.0041	0.695	0.007	0.0	0.3538	0.0098	0.0
5perc_5repeat	0.2	0.3139	0.6715	0.0094	0.0007	0.0079	0.0001	0.0001	0.6714	0.6689	0.0375	0.0027	0.727	0.0041	0.0	0.3855	0.0061	0.0
30perc_5repeat	0.2	0.3131	0.6713	0.0091	0.0006	0.0029	0.0	0.0	0.6724	0.6695	0.0364	0.0026	0.713	0.0038	0.0	0.371	0.0058	0.0
15perc_5repeat	0.2	0.3147	0.6705	0.0089	0.0006	0.0112	0.0001	0.0001	0.6714	0.6729	0.0355	0.0025	0.7264	0.0042	0.0	0.3896	0.0066	0.0
70perc_2repeat	0.1	0.3087	0.6604	0.0577	0.0041	0.0286	0.0292	0.0289	0.6703	0.6621	0.0574	0.0041	0.6764	0.0069	0.0	0.3514	0.0098	0.0
60perc_5repeat	0.1	0.3103	0.6686	0.0259	0.0018	0.0075	0.0051	0.0061	0.6703	0.6753	0.0562	0.004	0.703	0.0065	0.0	0.3282	0.0087	0.0
80perc_2repeat	0.1	0.3091	0.6651	0.0423	0.003	0.0143	0.0147	0.0145	0.6703	0.6744	0.0555	0.0039	0.6861	0.0069	0.0	0.3382	0.0092	0.0
90perc_2repeat	0.1	0.3052	0.67	0.0099	0.0007	0.0106	0.0023	0.0038	0.672	0.6676	0.0606	0.0043	0.6897	0.0067	0.0	0.3365	0.0085	0.0
80perc_5repeat	0.1	0.3053	0.6671	0.0381	0.0027	0.0129	0.0138	0.0133	0.672	0.658	0.0566	0.004	0.6793	0.0057	0.0	0.3338	0.0077	0.0
70perc_5repeat	0.1	0.3115	0.6639	0.0468	0.0033	0.0076	0.0178	0.0106	0.6703	0.6721	0.0579	0.0041	0.6906	0.0065	0.0	0.333	0.0084	0.0
100perc_2repeat	0.1	0.3065	0.6613	0.055	0.0039	0.0185	0.0258	0.0216	0.6703	0.6683	0.0592	0.0042	0.6725	0.007	0.0	0.3333	0.0083	0.0
5perc_10repeat	0.2	0.3155	0.6689	0.0249	0.0018	0.0113	0.0042	0.0061	0.6714	0.6723	0.04	0.0028	0.7301	0.0043	0.0	0.3894	0.0072	0.0
60perc_10repeat	0.1	0.3114	0.6681	0.0254	0.0018	0.0063	0.0054	0.0058	0.6703	0.6736	0.0478	0.0034	0.7047	0.0057	0.0	0.3315	0.0077	0.0
100perc_5repeat	0.1	0.3074	0.6685	0.0249	0.0018	0.0034	0.0053	0.0042	0.6703	0.6715	0.0608	0.0043	0.6867	0.0056	0.0	0.3212	0.007	0.0
15perc_10repeat	0.2	0.3146	0.6706	0.0091	0.0006	0.006	0.0	0.0001	0.6694	0.6723	0.0365	0.0026	0.7229	0.0039	0.0	0.3825	0.0066	0.0
90perc_5repeat	0.1	0.3103	0.6667	0.0358	0.0025	0.0059	0.0108	0.0077	0.672	0.6719	0.0534	0.0038	0.6841	0.0052	0.0	0.3287	0.0072	0.0
80perc_10repeat	0.1	0.31	0.6679	0.0301	0.0021	0.0054	0.0079	0.0064	0.6703	0.6711	0.0571	0.004	0.6889	0.0057	0.0	0.3197	0.0071	0.0
70perc_10repeat	0.1	0.3062	0.6718	0.0061	0.0004	0.0042	0.0004	0.0007	0.672	0.6615	0.0539	0.0038	0.6872	0.0054	0.0	0.3275	0.0068	0.0
30perc_10repeat	0.2	0.3136	0.6708	0.0092	0.0007	0.0018	0.0	0.0	0.6704	0.6715	0.0368	0.0026	0.71	0.0034	0.0	0.3636	0.0056	0.0
90perc_10repeat	0.1	0.3068	0.6682	0.0319	0.0023	0.0038	0.009	0.0053	0.6703	0.6661	0.0545	0.0039	0.6819	0.0054	0.0	0.3339	0.0066	0.0
100perc_10repeat	0.1	0.3066	0.6663	0.0416	0.0029	0.0048	0.0135	0.0071	0.672	0.6652	0.0538	0.0038	0.6732	0.0053	0.0	0.3244	0.0061	0.0
40perc_2repeat	0.2	0.3114	0.6718	0.0088	0.0006	0.0024	0.0	0.0001	0.6714	0.6677	0.0351	0.0025	0.7067	0.0041	0.0	0.3706	0.0056	0.0
