Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
60perc_10repeat	0.1	0.2779	0.6707	0.2004	0.0142	0.7323	0.6288	0.6766	0.5335	0.5006	0.0124	0.0009	0.5482	0.0017	0.0	0.5446	0.0018	0.0
30perc_10repeat	0.05	0.3581	0.6	0.1725	0.0122	0.5614	0.6865	0.6177	0.5191	0.4901	0.0331	0.0023	0.5601	0.0069	0.0	0.5988	0.006	0.0
50perc_10repeat	0.05	0.354	0.5467	0.1214	0.0086	0.4968	0.5648	0.5287	0.5188	0.4962	0.0193	0.0014	0.5235	0.0029	0.0	0.5294	0.003	0.0
15perc_10repeat	0.05	0.2805	0.7025	0.2151	0.0152	0.6636	0.7266	0.6936	0.5272	0.4852	0.0508	0.0036	0.6955	0.0075	0.0	0.7011	0.0072	0.0
40perc_10repeat	0.05	0.3795	0.5455	0.1259	0.0089	0.4816	0.585	0.5283	0.5167	0.4909	0.0242	0.0017	0.5325	0.0048	0.0	0.5498	0.0044	0.0
05perc_2repeat	0.1	0.0802	0.9123	0.1119	0.0079	0.9043	0.9534	0.9282	0.9468	0.4837	0.0386	0.0027	0.8371	0.0048	0.0	0.8496	0.0036	0.0
90perc_2repeat	0.1	0.0443	0.949	0.0035	0.0002	0.9314	0.9739	0.9521	0.9492	0.5039	0.015	0.0011	0.8032	0.0028	0.0	0.8017	0.0031	0.0
90perc_5repeat	0.1	0.0531	0.9403	0.0555	0.0039	0.9314	0.9555	0.9433	0.9483	0.5104	0.023	0.0016	0.7798	0.0031	0.0	0.773	0.0034	0.0
90perc_10repeat	0.1	0.0756	0.9175	0.113	0.008	0.9287	0.9046	0.9165	0.9486	0.5157	0.0264	0.0019	0.7713	0.0035	0.0	0.7426	0.0038	0.0
05perc_10repeat	0.05	0.1888	0.8013	0.2041	0.0144	0.7981	0.8128	0.8054	0.9413	0.4772	0.0566	0.004	0.8055	0.0073	0.0	0.809	0.0072	0.0
60perc_5repeat	0.05	0.3062	0.6433	0.1994	0.0141	0.6228	0.593	0.6075	0.5219	0.5004	0.022	0.0016	0.5747	0.0037	0.0	0.5638	0.0036	0.0
100perc_2repeat	0.1	0.0442	0.9496	0.0034	0.0002	0.932	0.9742	0.9526	0.9498	0.5083	0.0125	0.0009	0.9019	0.0028	0.0	0.899	0.003	0.0
30perc_5repeat	0.1	0.2806	0.6908	0.21	0.0148	0.734	0.7788	0.7557	0.5299	0.4863	0.0277	0.002	0.5927	0.0048	0.0	0.6292	0.0039	0.0
60perc_5repeat	0.1	0.2162	0.7584	0.2089	0.0148	0.7966	0.7781	0.7872	0.9177	0.4985	0.0155	0.0011	0.5738	0.0021	0.0	0.5773	0.0022	0.0
70perc_5repeat	0.1	0.1159	0.8788	0.1504	0.0106	0.8846	0.8865	0.8855	0.9455	0.5032	0.0169	0.0012	0.6177	0.0024	0.0	0.6161	0.0025	0.0
30perc_10repeat	0.1	0.282	0.6865	0.2113	0.0149	0.6912	0.7452	0.7172	0.526	0.4882	0.0232	0.0016	0.5828	0.0042	0.0	0.6004	0.0038	0.0
15perc_10repeat	0.1	0.1531	0.8359	0.1847	0.0131	0.8456	0.8676	0.8565	0.9429	0.4869	0.0317	0.0022	0.7011	0.0041	0.0	0.7111	0.0043	0.0
40perc_10repeat	0.1	0.3424	0.5906	0.1682	0.0119	0.5784	0.639	0.6072	0.5194	0.4944	0.0166	0.0012	0.5441	0.003	0.0	0.5474	0.0027	0.0
05perc_5repeat	0.05	0.1943	0.7969	0.2061	0.0146	0.8013	0.8251	0.813	0.9416	0.4879	0.0595	0.0042	0.8166	0.0076	0.0	0.8275	0.0064	0.0
90perc_5repeat	0.05	0.1168	0.8729	0.1556	0.011	0.8775	0.8695	0.8735	0.947	0.5098	0.0304	0.0021	0.7639	0.0047	0.0	0.7494	0.0051	0.0
60perc_2repeat	0.05	0.2837	0.6857	0.2138	0.0151	0.65	0.6812	0.6652	0.525	0.5007	0.0316	0.0022	0.6321	0.0049	0.0	0.6268	0.0051	0.0
