0perc_0repeat	0.9	0.4159	0.1979	0.2423	0.2651	0.1035	0.0672	-0.1387
60perc_10repeat	0.9	0.4254	0.2153	0.2452	0.2259	0.1992	0.0105	-0.046
0perc_0repeat	0.8	0.3781	0.1947	0.2448	0.2619	0.1083	0.0672	-0.1365
60perc_10repeat	0.8	0.4252	0.2176	0.2471	0.2259	0.1991	0.0083	-0.048
0perc_0repeat	0.7	0.3774	0.1933	0.245	0.262	0.1044	0.0688	-0.1405
60perc_10repeat	0.7	0.4268	0.2182	0.2479	0.229	0.1976	0.0108	-0.0503
100perc_2repeat	0.9	0.4007	0.1485	0.2321	0.2432	0.1284	0.0947	-0.1037
100perc_2repeat	0.8	0.3744	0.1482	0.235	0.2399	0.1299	0.0917	-0.1052
0perc_0repeat	0.6	0.3589	0.1971	0.246	0.254	0.0855	0.0569	-0.1605
60perc_10repeat	0.6	0.4199	0.2201	0.2483	0.2299	0.1896	0.0098	-0.0587
100perc_2repeat	0.6	0.3682	0.1465	0.2354	0.2453	0.1109	0.0988	-0.1245
100perc_2repeat	0.7	0.3696	0.1467	0.2354	0.2452	0.1172	0.0985	-0.1182
0perc_0repeat	0.5	0.3144	0.1937	0.2457	0.2475	0.0614	0.0538	-0.1843
100perc_2repeat	0.5	0.3473	0.1503	0.2367	0.2398	0.1065	0.0895	-0.1302
60perc_10repeat	0.5	0.4253	0.2175	0.2484	0.2279	0.1972	0.0104	-0.0512
100perc_2repeat	0.45	0.327	0.1493	0.2363	0.241	0.0847	0.0917	-0.1517
0perc_0repeat	0.45	0.3097	0.1969	0.2462	0.245	0.0591	0.0482	-0.1871
0perc_0repeat	0.4	0.2982	0.2004	0.2467	0.2464	0.0454	0.046	-0.2013
60perc_10repeat	0.45	0.4183	0.2175	0.2485	0.2288	0.1893	0.0112	-0.0593
100perc_2repeat	0.4	0.3364	0.1511	0.2367	0.2418	0.0933	0.0906	-0.1434
60perc_10repeat	0.4	0.413	0.2158	0.2484	0.2265	0.1863	0.0107	-0.0621
60perc_10repeat	0.35	0.4115	0.2174	0.2485	0.2279	0.1833	0.0106	-0.0651
0perc_0repeat	0.35	0.2963	0.1991	0.2464	0.246	0.042	0.0468	-0.2044
100perc_2repeat	0.35	0.3218	0.1512	0.2367	0.2415	0.0785	0.0903	-0.1582
100perc_2repeat	0.3	0.3169	0.1539	0.2373	0.2422	0.0729	0.0883	-0.1644
0perc_0repeat	0.3	0.2895	0.2014	0.2468	0.2444	0.0356	0.043	-0.2112
0perc_0repeat	0.25	0.2923	0.202	0.2469	0.2445	0.0341	0.0424	-0.2127
60perc_10repeat	0.25	0.4128	0.2186	0.2486	0.2284	0.1841	0.0098	-0.0645
100perc_2repeat	0.25	0.322	0.1529	0.237	0.2422	0.0775	0.0892	-0.1595
60perc_10repeat	0.2	0.4077	0.2184	0.2486	0.2282	0.1792	0.0098	-0.0694
0perc_0repeat	0.2	0.2939	0.2085	0.2476	0.242	0.0354	0.0335	-0.2122
100perc_2repeat	0.2	0.3244	0.1598	0.2382	0.2413	0.0803	0.0814	-0.1578
100perc_2repeat	0.1	0.353	0.1741	0.2395	0.2421	0.1048	0.068	-0.1347
0perc_0repeat	0.1	0.3547	0.2134	0.248	0.2347	0.091	0.0213	-0.157
60perc_10repeat	0.3	0.4164	0.2171	0.2485	0.2283	0.1878	0.0112	-0.0607
60perc_10repeat	0.1	0.3994	0.2254	0.2481	0.2304	0.1681	0.005	-0.08
100perc_2repeat	0.05	0.4092	0.1915	0.241	0.2406	0.1426	0.0491	-0.0984
60perc_10repeat	0.05	0.3968	0.2291	0.247	0.2346	0.1573	0.0055	-0.0897
0perc_0repeat	0.05	0.4198	0.2209	0.2486	0.2288	0.1637	0.0079	-0.0849
