0.9	0.1724	0.7417	0.0171	0.0012	0.6606	0.4367	0.5258
0.8	0.1713	0.7442	0.0102	0.0007	0.6541	0.4639	0.5428
0.7	0.1706	0.7472	0.0077	0.0005	0.6492	0.4923	0.56
0.6	0.1715	0.7469	0.007	0.0005	0.6371	0.5235	0.5748
0.5	0.1721	0.7492	0.0053	0.0004	0.6298	0.5633	0.5947
0.4	0.1741	0.751	0.0056	0.0004	0.6228	0.6099	0.6163
0.3	0.1796	0.7468	0.0079	0.0006	0.6034	0.6672	0.6337
0.2	0.1943	0.7296	0.0264	0.0019	0.572	0.7325	0.6424
0.1	0.235	0.6824	0.0727	0.0051	0.5292	0.7796	0.6305
0.05	0.307	0.6089	0.1194	0.0084	0.4907	0.7498	0.5932
